Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Monta Ellis,GSW,2005-2006, 6-3,SG,20,49,886,18.0816326531,132,318,.415,28,82,.341,42,59,.712,22,0.448979591837,83,1.69387755102,105,2.14285714286,78,1.59183673469,32,0.65306122449,11,0.224489795918,58,1.18367346939,69,334,6.81632653061,
Monta Ellis,GSW,2006-2007, 6-3,SG,21,77,2638,34.2597402597,480,1010,.475,39,143,.273,273,358,.763,62,0.805194805195,181,2.35064935065,243,3.15584415584,319,4.14285714286,132,1.71428571429,21,0.272727272727,221,2.87012987013,210,1272,16.5194805195,
Monta Ellis,GSW,2007-2008, 6-3,SG,22,81,3071,37.9135802469,652,1227,.531,12,52,.231,320,417,.767,133,1.64197530864,271,3.34567901235,404,4.98765432099,315,3.88888888889,124,1.53086419753,27,0.333333333333,173,2.13580246914,195,1636,20.1975308642,
Monta Ellis,GSW,2008-2009, 6-3,SG,23,25,892,35.68,194,430,.451,8,26,.308,78,94,.830,14,0.56,94,3.76,108,4.32,93,3.72,39,1.56,8,0.32,67,2.68,67,474,18.96,
Monta Ellis,GSW,2009-2010, 6-3,SG,24,64,2647,41.359375,631,1406,.449,77,228,.338,292,388,.753,47,0.734375,210,3.28125,257,4.015625,340,5.3125,143,2.234375,25,0.390625,243,3.796875,189,1631,25.484375,
Monta Ellis,GSW,2010-2011, 6-3,SG,25,80,3227,40.3375,726,1611,.451,137,379,.361,340,431,.789,44,0.55,237,2.9625,281,3.5125,450,5.625,168,2.1,23,0.2875,252,3.15,203,1929,24.1125,
Monta Ellis,TOT,2011-2012, 6-3,SG,26,58,2120,36.5517241379,450,1040,.433,62,201,.308,219,275,.796,20,0.344827586207,180,3.10344827586,200,3.44827586207,346,5.96551724138,85,1.46551724138,18,0.310344827586,177,3.05172413793,136,1181,20.3620689655,
Monta Ellis,GSW,2011-2012, 6-3,SG,26,37,1365,36.8918918919,305,704,.433,50,156,.321,151,186,.812,16,0.432432432432,111,3.0,127,3.43243243243,223,6.02702702703,56,1.51351351351,12,0.324324324324,123,3.32432432432,84,811,21.9189189189,
Monta Ellis,MIL,2011-2012, 6-3,SG,26,21,755,35.9523809524,145,336,.432,12,45,.267,68,89,.764,4,0.190476190476,69,3.28571428571,73,3.47619047619,123,5.85714285714,29,1.38095238095,6,0.285714285714,54,2.57142857143,52,370,17.619047619,
Monta Ellis,MIL,2012-2013, 6-3,SG,27,63,2379,37.7619047619,467,1115,.419,54,224,.241,237,302,.785,37,0.587301587302,207,3.28571428571,244,3.87301587302,370,5.87301587302,126,2.0,29,0.460317460317,192,3.04761904762,130,1225,19.4444444444,
