Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Monty Williams,NYK,1994-1995, 6-8,SF,23,41,503,12.2682926829,60,133,.451,0,8,.000,17,38,.447,42,1.0243902439,56,1.36585365854,98,2.39024390244,49,1.19512195122,20,0.487804878049,4,0.0975609756098,41,1.0,87,137,3.34146341463,
Monty Williams,TOT,1995-1996, 6-8,SF,24,31,184,5.93548387097,27,68,.397,0,1,.000,14,20,.700,20,0.645161290323,20,0.645161290323,40,1.29032258065,8,0.258064516129,6,0.193548387097,2,0.0645161290323,18,0.58064516129,26,68,2.1935483871,
Monty Williams,NYK,1995-1996, 6-8,SF,24,14,62,4.42857142857,7,22,.318,0,0,.000,5,8,.625,9,0.642857142857,8,0.571428571429,17,1.21428571429,4,0.285714285714,2,0.142857142857,0,0.0,5,0.357142857143,9,19,1.35714285714,
Monty Williams,SAS,1995-1996, 6-8,SF,24,17,122,7.17647058824,20,46,.435,0,1,.000,9,12,.750,11,0.647058823529,12,0.705882352941,23,1.35294117647,4,0.235294117647,4,0.235294117647,2,0.117647058824,13,0.764705882353,17,49,2.88235294118,
Monty Williams,SAS,1996-1997, 6-8,SF,25,65,1345,20.6923076923,234,460,.509,0,1,.000,120,186,.645,98,1.50769230769,108,1.66153846154,206,3.16923076923,91,1.4,55,0.846153846154,52,0.8,116,1.78461538462,161,588,9.04615384615,
Monty Williams,SAS,1997-1998, 6-8,SF,26,72,1314,18.25,165,368,.448,1,2,.500,122,182,.670,67,0.930555555556,112,1.55555555556,179,2.48611111111,89,1.23611111111,34,0.472222222222,24,0.333333333333,82,1.13888888889,133,453,6.29166666667,
Monty Williams,DEN,1998-1999, 6-8,SF,27,1,6,6.0,0,2,.000,0,0,.000,1,2,.500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,1.0,
Monty Williams,ORL,1999-2000, 6-8,SF,28,75,1501,20.0133333333,263,538,.489,2,5,.400,123,166,.741,96,1.28,154,2.05333333333,250,3.33333333333,106,1.41333333333,46,0.613333333333,17,0.226666666667,109,1.45333333333,187,651,8.68,
Monty Williams,ORL,2000-2001, 6-8,SF,29,82,1211,14.7682926829,162,364,.445,1,13,.077,85,133,.639,86,1.0487804878,157,1.91463414634,243,2.96341463415,79,0.963414634146,29,0.353658536585,16,0.19512195122,85,1.03658536585,136,410,5.0,
Monty Williams,ORL,2001-2002, 6-8,SF,30,68,1284,18.8823529412,198,362,.547,0,4,.000,88,134,.657,80,1.17647058824,155,2.27941176471,235,3.45588235294,96,1.41176470588,49,0.720588235294,17,0.25,86,1.26470588235,134,484,7.11764705882,
Monty Williams,PHI,2002-2003, 6-8,SF,31,21,276,13.1428571429,34,80,.425,0,2,.000,24,32,.750,12,0.571428571429,33,1.57142857143,45,2.14285714286,26,1.2380952381,12,0.571428571429,5,0.238095238095,17,0.809523809524,33,92,4.38095238095,
