Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Moses Malone,UTS,1974-1975, 6-10,C,19,83,3205,38.6144578313,591,1035,.571,0,1,.000,375,591,.635,455,5.48192771084,754,9.0843373494,1209,14.5662650602,82,0.987951807229,85,1.02409638554,128,1.5421686747,320,3.85542168675,288,1557,18.7590361446,
Moses Malone,SSL,1975-1976, 6-10,PF,20,43,1168,27.1627906977,251,490,.512,0,2,.000,112,183,.612,196,4.55813953488,217,5.04651162791,413,9.60465116279,58,1.3488372093,25,0.581395348837,28,0.651162790698,140,3.25581395349,113,614,14.2790697674,
Moses Malone,TOT,1976-1977, 6-10,C,21,82,2506,30.5609756098,389,810,.480,.000,.000,.000,305,440,.693,437,5.32926829268,635,7.74390243902,1072,13.0731707317,89,1.08536585366,67,0.817073170732,181,2.20731707317,.000,0.0,275,1083,13.2073170732,
Moses Malone,BUF,1976-1977, 6-10,C,21,2,6,3.0,0,0,.000,.000,.000,.000,0,0,.000,0,0.0,1,0.5,1,0.5,0,0.0,0,0.0,0,0.0,.000,0.0,1,0,0.0,
Moses Malone,HOU,1976-1977, 6-10,C,21,80,2500,31.25,389,810,.480,.000,.000,.000,305,440,.693,437,5.4625,634,7.925,1071,13.3875,89,1.1125,67,0.8375,181,2.2625,.000,0.0,274,1083,13.5375,
Moses Malone,HOU,1977-1978, 6-10,C,22,59,2107,35.7118644068,413,828,.499,.000,.000,.000,318,443,.718,380,6.4406779661,506,8.57627118644,886,15.0169491525,31,0.525423728814,48,0.813559322034,76,1.28813559322,220,3.72881355932,179,1144,19.3898305085,
Moses Malone,HOU,1978-1979, 6-10,C,23,82,3390,41.3414634146,716,1325,.540,.000,.000,.000,599,811,.739,587,7.15853658537,857,10.4512195122,1444,17.6097560976,147,1.79268292683,79,0.963414634146,119,1.4512195122,326,3.9756097561,223,2031,24.7682926829,
Moses Malone,HOU,1979-1980, 6-10,C,24,82,3140,38.2926829268,778,1549,.502,0,6,.000,563,783,.719,573,6.98780487805,617,7.5243902439,1190,14.512195122,147,1.79268292683,80,0.975609756098,107,1.30487804878,300,3.65853658537,210,2119,25.8414634146,
Moses Malone,HOU,1980-1981, 6-10,C,25,80,3245,40.5625,806,1545,.522,1,3,.333,609,804,.757,474,5.925,706,8.825,1180,14.75,141,1.7625,83,1.0375,150,1.875,308,3.85,223,2222,27.775,
Moses Malone,HOU,1981-1982, 6-10,C,26,81,3398,41.950617284,945,1822,.519,0,6,.000,630,827,.762,558,6.88888888889,630,7.77777777778,1188,14.6666666667,142,1.75308641975,76,0.938271604938,125,1.54320987654,294,3.62962962963,208,2520,31.1111111111,
Moses Malone,PHI,1982-1983, 6-10,C,27,78,2922,37.4615384615,654,1305,.501,0,1,.000,600,788,.761,445,5.70512820513,749,9.60256410256,1194,15.3076923077,101,1.29487179487,89,1.14102564103,157,2.01282051282,264,3.38461538462,206,1908,24.4615384615,
Moses Malone,PHI,1983-1984, 6-10,C,28,71,2613,36.8028169014,532,1101,.483,0,4,.000,545,727,.750,352,4.95774647887,598,8.42253521127,950,13.3802816901,96,1.35211267606,71,1.0,110,1.54929577465,250,3.52112676056,188,1609,22.661971831,
