Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Nate Robinson,NYK,2005-2006, 5-9,PG,21,72,1544,21.4444444444,230,565,.407,58,146,.397,152,202,.752,56,0.777777777778,111,1.54166666667,167,2.31944444444,147,2.04166666667,59,0.819444444444,1,0.0138888888889,114,1.58333333333,201,670,9.30555555556,
Nate Robinson,NYK,2006-2007, 5-9,PG,22,64,1356,21.1875,227,523,.434,83,213,.390,108,139,.777,55,0.859375,97,1.515625,152,2.375,90,1.40625,50,0.78125,6,0.09375,72,1.125,160,645,10.078125,
Nate Robinson,NYK,2007-2008, 5-9,PG,23,72,1883,26.1527777778,331,782,.423,97,292,.332,154,196,.786,51,0.708333333333,171,2.375,222,3.08333333333,212,2.94444444444,60,0.833333333333,1,0.0138888888889,103,1.43055555556,186,913,12.6805555556,
Nate Robinson,NYK,2008-2009, 5-9,PG,24,74,2209,29.8513513514,449,1028,.437,125,385,.325,249,296,.841,98,1.32432432432,192,2.59459459459,290,3.91891891892,301,4.06756756757,95,1.28378378378,6,0.0810810810811,139,1.87837837838,206,1272,17.1891891892,
Nate Robinson,TOT,2009-2010, 5-9,PG,25,56,1115,19.9107142857,215,493,.436,87,223,.390,50,67,.746,28,0.5,82,1.46428571429,110,1.96428571429,163,2.91071428571,49,0.875,5,0.0892857142857,73,1.30357142857,116,567,10.125,
Nate Robinson,NYK,2009-2010, 5-9,PG,25,30,733,24.4333333333,152,336,.452,51,136,.375,42,54,.778,23,0.766666666667,49,1.63333333333,72,2.4,112,3.73333333333,27,0.9,5,0.166666666667,53,1.76666666667,66,397,13.2333333333,
Nate Robinson,BOS,2009-2010, 5-9,PG,25,26,382,14.6923076923,63,157,.401,36,87,.414,8,13,.615,5,0.192307692308,33,1.26923076923,38,1.46153846154,51,1.96153846154,22,0.846153846154,0,0.0,20,0.769230769231,50,170,6.53846153846,
Nate Robinson,TOT,2010-2011, 5-9,PG,26,59,1013,17.1694915254,150,376,.399,65,200,.325,36,44,.818,15,0.254237288136,75,1.27118644068,90,1.52542372881,111,1.8813559322,29,0.491525423729,4,0.0677966101695,68,1.15254237288,115,401,6.79661016949,
Nate Robinson,BOS,2010-2011, 5-9,PG,26,55,983,17.8727272727,146,361,.404,63,192,.328,33,40,.825,15,0.272727272727,74,1.34545454545,89,1.61818181818,105,1.90909090909,29,0.527272727273,4,0.0727272727273,66,1.2,107,388,7.05454545455,
Nate Robinson,OKC,2010-2011, 5-9,PG,26,4,30,7.5,4,15,.267,2,8,.250,3,4,.750,0,0.0,1,0.25,1,0.25,6,1.5,0,0.0,0,0.0,2,0.5,8,13,3.25,
Nate Robinson,GSW,2011-2012, 5-9,PG,27,51,1192,23.3725490196,205,484,.424,66,181,.365,94,113,.832,15,0.294117647059,85,1.66666666667,100,1.96078431373,231,4.52941176471,59,1.1568627451,2,0.0392156862745,75,1.47058823529,118,570,11.1764705882,
Nate Robinson,CHI,2012-2013, 5-9,PG,28,64,1548,24.1875,281,665,.423,93,249,.373,106,128,.828,21,0.328125,123,1.921875,144,2.25,269,4.203125,73,1.140625,8,0.125,100,1.5625,154,761,11.890625,
