Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Nate Williams,CIN,1971-1972, 6-5,SG,21,81,2173,26.8271604938,418,968,.432,.000,.000,.000,127,172,.738,.000,0.0,.000,0.0,372,4.59259259259,174,2.14814814815,.000,0.0,.000,0.0,.000,0.0,300,963,11.8888888889,
Nate Williams,KCO,1972-1973, 6-5,SG,22,80,1879,23.4875,417,874,.477,.000,.000,.000,106,133,.797,.000,0.0,.000,0.0,339,4.2375,128,1.6,.000,0.0,.000,0.0,.000,0.0,272,940,11.75,
Nate Williams,KCO,1973-1974, 6-5,SF,23,82,2513,30.6463414634,538,1165,.462,.000,.000,.000,193,236,.818,118,1.43902439024,226,2.75609756098,344,4.19512195122,182,2.21951219512,149,1.81707317073,34,0.414634146341,.000,0.0,290,1269,15.4756097561,
Nate Williams,TOT,1974-1975, 6-5,SG,24,85,1945,22.8823529412,474,988,.480,.000,.000,.000,181,220,.823,102,1.2,235,2.76470588235,337,3.96470588235,145,1.70588235294,97,1.14117647059,30,0.352941176471,.000,0.0,251,1129,13.2823529412,
Nate Williams,KCO,1974-1975, 6-5,SG,24,50,1131,22.62,265,584,.454,.000,.000,.000,97,118,.822,58,1.16,121,2.42,179,3.58,78,1.56,53,1.06,24,0.48,.000,0.0,152,627,12.54,
Nate Williams,NOJ,1974-1975, 6-5,SG,24,35,814,23.2571428571,209,404,.517,.000,.000,.000,84,102,.824,44,1.25714285714,114,3.25714285714,158,4.51428571429,67,1.91428571429,44,1.25714285714,6,0.171428571429,.000,0.0,99,502,14.3428571429,
Nate Williams,NOJ,1975-1976, 6-5,SF,25,81,1935,23.8888888889,421,948,.444,.000,.000,.000,197,239,.824,135,1.66666666667,225,2.77777777778,360,4.44444444444,107,1.32098765432,109,1.34567901235,17,0.20987654321,.000,0.0,253,1039,12.8271604938,
Nate Williams,NOJ,1976-1977, 6-5,SF,26,79,1776,22.4810126582,414,917,.451,.000,.000,.000,146,194,.753,107,1.35443037975,199,2.51898734177,306,3.87341772152,92,1.16455696203,76,0.962025316456,16,0.20253164557,.000,0.0,200,974,12.3291139241,
Nate Williams,TOT,1977-1978, 6-5,SG,27,73,1249,17.1095890411,312,724,.431,.000,.000,.000,101,121,.835,65,0.890410958904,139,1.90410958904,204,2.79452054795,74,1.01369863014,57,0.780821917808,34,0.465753424658,83,1.13698630137,181,725,9.93150684932,
Nate Williams,NOJ,1977-1978, 6-5,SG,27,27,434,16.0740740741,90,214,.421,.000,.000,.000,31,37,.838,27,1.0,63,2.33333333333,90,3.33333333333,34,1.25925925926,21,0.777777777778,12,0.444444444444,25,0.925925925926,61,211,7.81481481481,
Nate Williams,GSW,1977-1978, 6-5,SG,27,46,815,17.7173913043,222,510,.435,.000,.000,.000,70,84,.833,38,0.826086956522,76,1.65217391304,114,2.47826086957,40,0.869565217391,36,0.782608695652,22,0.478260869565,58,1.26086956522,120,514,11.1739130435,
Nate Williams,GSW,1978-1979, 6-5,SG,28,81,1299,16.037037037,284,567,.501,.000,.000,.000,102,117,.872,68,0.83950617284,139,1.71604938272,207,2.55555555556,61,0.753086419753,55,0.679012345679,5,0.0617283950617,93,1.14814814815,169,670,8.27160493827,
