Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Nick Van Exel,LAL,1993-1994, 6-1,PG,22,81,2700,33.3333333333,413,1049,.394,123,364,.338,150,192,.781,47,0.58024691358,191,2.35802469136,238,2.93827160494,466,5.75308641975,85,1.04938271605,8,0.0987654320988,145,1.79012345679,154,1099,13.5679012346,
Nick Van Exel,LAL,1994-1995, 6-1,PG,23,80,2944,36.8,465,1107,.420,183,511,.358,235,300,.783,27,0.3375,196,2.45,223,2.7875,660,8.25,97,1.2125,6,0.075,220,2.75,157,1348,16.85,
Nick Van Exel,LAL,1995-1996, 6-1,PG,24,74,2513,33.9594594595,396,950,.417,144,403,.357,163,204,.799,29,0.391891891892,152,2.05405405405,181,2.44594594595,509,6.87837837838,70,0.945945945946,10,0.135135135135,156,2.10810810811,115,1099,14.8513513514,
Nick Van Exel,LAL,1996-1997, 6-1,PG,25,79,2937,37.1772151899,432,1075,.402,177,468,.378,165,200,.825,44,0.556962025316,182,2.30379746835,226,2.86075949367,672,8.50632911392,75,0.949367088608,10,0.126582278481,212,2.6835443038,110,1206,15.2658227848,
Nick Van Exel,LAL,1997-1998, 6-1,PG,26,64,2053,32.078125,311,743,.419,123,316,.389,136,172,.791,31,0.484375,163,2.546875,194,3.03125,442,6.90625,64,1.0,6,0.09375,104,1.625,120,881,13.765625,
Nick Van Exel,DEN,1998-1999, 6-1,PG,27,50,1802,36.04,306,769,.398,72,234,.308,142,175,.811,14,0.28,99,1.98,113,2.26,368,7.36,40,0.8,3,0.06,121,2.42,90,826,16.52,
Nick Van Exel,DEN,1999-2000, 6-1,PG,28,79,2950,37.3417721519,473,1213,.390,133,401,.332,196,240,.817,34,0.430379746835,277,3.50632911392,311,3.93670886076,714,9.03797468354,68,0.860759493671,11,0.139240506329,221,2.79746835443,148,1275,16.1392405063,
Nick Van Exel,DEN,2000-2001, 6-1,PG,29,71,2688,37.8591549296,460,1112,.414,135,358,.377,204,249,.819,44,0.619718309859,197,2.77464788732,241,3.39436619718,600,8.45070422535,61,0.859154929577,18,0.253521126761,165,2.32394366197,109,1259,17.7323943662,
Nick Van Exel,TOT,2001-2002, 6-1,PG,30,72,2496,34.6666666667,501,1226,.409,119,350,.340,201,251,.801,28,0.388888888889,226,3.13888888889,254,3.52777777778,478,6.63888888889,44,0.611111111111,11,0.152777777778,156,2.16666666667,104,1322,18.3611111111,
Nick Van Exel,DEN,2001-2002, 6-1,PG,30,45,1739,38.6444444444,372,912,.408,85,252,.337,136,174,.782,19,0.422222222222,150,3.33333333333,169,3.75555555556,365,8.11111111111,30,0.666666666667,7,0.155555555556,116,2.57777777778,69,965,21.4444444444,
Nick Van Exel,DAL,2001-2002, 6-1,SG,30,27,757,28.037037037,129,314,.411,34,98,.347,65,77,.844,9,0.333333333333,76,2.81481481481,85,3.14814814815,113,4.18518518519,14,0.518518518519,4,0.148148148148,40,1.48148148148,35,357,13.2222222222,
Nick Van Exel,DAL,2002-2003, 6-1,SG,31,73,2026,27.7534246575,342,831,.412,118,312,.378,110,144,.764,35,0.479452054795,173,2.3698630137,208,2.84931506849,312,4.27397260274,42,0.575342465753,4,0.0547945205479,123,1.68493150685,86,912,12.4931506849,
Nick Van Exel,GSW,2003-2004, 6-1,PG,32,39,1255,32.1794871795,187,479,.390,46,150,.307,70,99,.707,16,0.410256410256,88,2.25641025641,104,2.66666666667,206,5.28205128205,20,0.512820512821,2,0.0512820512821,78,2.0,57,490,12.5641025641,
Nick Van Exel,POR,2004-2005, 6-1,SG,33,53,1619,30.5471698113,214,561,.381,100,257,.389,58,74,.784,20,0.377358490566,141,2.66037735849,161,3.03773584906,227,4.28301886792,44,0.830188679245,0,0.0,92,1.7358490566,70,586,11.0566037736,
Nick Van Exel,SAS,2005-2006, 6-1,PG,34,65,986,15.1692307692,136,343,.397,55,154,.357,28,41,.683,6,0.0923076923077,85,1.30769230769,91,1.4,123,1.89230769231,16,0.246153846154,3,0.0461538461538,57,0.876923076923,60,355,5.46153846154,
