Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Norm Van Lier,CIN,1969-1970, 6-1,PG,22,81,2895,35.7407407407,302,749,.403,.000,.000,.000,166,224,.741,.000,0.0,.000,0.0,409,5.04938271605,500,6.17283950617,.000,0.0,.000,0.0,.000,0.0,329,770,9.50617283951,
Norm Van Lier,CIN,1970-1971, 6-1,SG,23,82,3324,40.5365853659,478,1138,.420,.000,.000,.000,359,440,.816,.000,0.0,.000,0.0,583,7.10975609756,832,10.1463414634,.000,0.0,.000,0.0,.000,0.0,343,1315,16.0365853659,
Norm Van Lier,TOT,1971-1972, 6-1,PG,24,79,2415,30.5696202532,334,761,.439,.000,.000,.000,237,300,.790,.000,0.0,.000,0.0,357,4.51898734177,542,6.86075949367,.000,0.0,.000,0.0,.000,0.0,239,905,11.4556962025,
Norm Van Lier,CIN,1971-1972, 6-1,PG,24,10,275,27.5,28,90,.311,.000,.000,.000,17,22,.773,.000,0.0,.000,0.0,58,5.8,51,5.1,.000,0.0,.000,0.0,.000,0.0,32,73,7.3,
Norm Van Lier,CHI,1971-1972, 6-1,PG,24,69,2140,31.0144927536,306,671,.456,.000,.000,.000,220,278,.791,.000,0.0,.000,0.0,299,4.33333333333,491,7.11594202899,.000,0.0,.000,0.0,.000,0.0,207,832,12.0579710145,
Norm Van Lier,CHI,1972-1973, 6-1,PG,25,80,2882,36.025,474,1064,.445,.000,.000,.000,166,211,.787,.000,0.0,.000,0.0,438,5.475,567,7.0875,.000,0.0,.000,0.0,.000,0.0,269,1114,13.925,
Norm Van Lier,CHI,1973-1974, 6-1,PG,26,80,2863,35.7875,427,1051,.406,.000,.000,.000,288,370,.778,114,1.425,263,3.2875,377,4.7125,548,6.85,162,2.025,7,0.0875,.000,0.0,282,1142,14.275,
Norm Van Lier,CHI,1974-1975, 6-1,PG,27,70,2590,37.0,407,970,.420,.000,.000,.000,236,298,.792,86,1.22857142857,242,3.45714285714,328,4.68571428571,403,5.75714285714,139,1.98571428571,14,0.2,.000,0.0,246,1050,15.0,
Norm Van Lier,CHI,1975-1976, 6-1,PG,28,76,3026,39.8157894737,361,987,.366,.000,.000,.000,235,319,.737,138,1.81578947368,272,3.57894736842,410,5.39473684211,500,6.57894736842,150,1.97368421053,26,0.342105263158,.000,0.0,298,957,12.5921052632,
Norm Van Lier,CHI,1976-1977, 6-1,PG,29,82,3097,37.7682926829,300,729,.412,.000,.000,.000,238,306,.778,108,1.31707317073,262,3.19512195122,370,4.51219512195,636,7.75609756098,129,1.57317073171,16,0.19512195122,.000,0.0,268,838,10.2195121951,
Norm Van Lier,CHI,1977-1978, 6-1,PG,30,78,2524,32.358974359,200,477,.419,.000,.000,.000,172,229,.751,86,1.10256410256,198,2.53846153846,284,3.64102564103,531,6.80769230769,144,1.84615384615,5,0.0641025641026,200,2.5641025641,279,572,7.33333333333,
Norm Van Lier,MIL,1978-1979, 6-1,PG,31,38,555,14.6052631579,30,77,.390,.000,.000,.000,47,52,.904,8,0.210526315789,32,0.842105263158,40,1.05263157895,158,4.15789473684,43,1.13157894737,3,0.0789473684211,49,1.28947368421,108,107,2.81578947368,
