Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Orlando Woolridge,CHI,1981-1982, 6-9,SF,22,75,1188,15.84,202,394,.513,0,3,.000,144,206,.699,82,1.09333333333,145,1.93333333333,227,3.02666666667,81,1.08,23,0.306666666667,24,0.32,107,1.42666666667,152,548,7.30666666667,
Orlando Woolridge,CHI,1982-1983, 6-9,SF,23,57,1627,28.5438596491,361,622,.580,0,3,.000,217,340,.638,122,2.14035087719,176,3.08771929825,298,5.22807017544,97,1.70175438596,38,0.666666666667,44,0.771929824561,157,2.75438596491,177,939,16.4736842105,
Orlando Woolridge,CHI,1983-1984, 6-9,SF,24,75,2544,33.92,570,1086,.525,1,2,.500,303,424,.715,130,1.73333333333,239,3.18666666667,369,4.92,136,1.81333333333,71,0.946666666667,60,0.8,188,2.50666666667,253,1444,19.2533333333,
Orlando Woolridge,CHI,1984-1985, 6-9,SF,25,77,2816,36.5714285714,679,1225,.554,0,5,.000,409,521,.785,158,2.05194805195,277,3.5974025974,435,5.64935064935,135,1.75324675325,58,0.753246753247,38,0.493506493506,178,2.31168831169,185,1767,22.9480519481,
Orlando Woolridge,CHI,1985-1986, 6-9,SF,26,70,2248,32.1142857143,540,1090,.495,4,23,.174,364,462,.788,150,2.14285714286,200,2.85714285714,350,5.0,213,3.04285714286,49,0.7,47,0.671428571429,174,2.48571428571,186,1448,20.6857142857,
Orlando Woolridge,NJN,1986-1987, 6-9,SF,27,75,2638,35.1733333333,556,1067,.521,1,8,.125,438,564,.777,118,1.57333333333,249,3.32,367,4.89333333333,261,3.48,54,0.72,86,1.14666666667,213,2.84,243,1551,20.68,
Orlando Woolridge,NJN,1987-1988, 6-9,SF,28,19,622,32.7368421053,110,247,.445,0,2,.000,92,130,.708,31,1.63157894737,60,3.15789473684,91,4.78947368421,71,3.73684210526,13,0.684210526316,20,1.05263157895,48,2.52631578947,73,312,16.4210526316,
Orlando Woolridge,LAL,1988-1989, 6-9,SF,29,74,1491,20.1486486486,231,494,.468,0,1,.000,253,343,.738,81,1.09459459459,189,2.55405405405,270,3.64864864865,58,0.783783783784,30,0.405405405405,65,0.878378378378,103,1.39189189189,130,715,9.66216216216,
Orlando Woolridge,LAL,1989-1990, 6-9,SF,30,62,1421,22.9193548387,306,550,.556,0,5,.000,176,240,.733,49,0.790322580645,136,2.1935483871,185,2.98387096774,96,1.54838709677,39,0.629032258065,46,0.741935483871,73,1.17741935484,160,788,12.7096774194,
Orlando Woolridge,DEN,1990-1991, 6-9,SF,31,53,1823,34.3962264151,490,983,.498,0,4,.000,350,439,.797,141,2.66037735849,220,4.15094339623,361,6.81132075472,119,2.24528301887,69,1.30188679245,23,0.433962264151,152,2.8679245283,145,1330,25.0943396226,
Orlando Woolridge,DET,1991-1992, 6-9,SF,32,82,2113,25.7682926829,452,907,.498,1,9,.111,241,353,.683,109,1.32926829268,151,1.84146341463,260,3.17073170732,88,1.07317073171,41,0.5,33,0.40243902439,133,1.62195121951,154,1146,13.9756097561,
Orlando Woolridge,TOT,1992-1993, 6-9,SF,33,58,1555,26.8103448276,289,599,.482,0,9,.000,120,177,.678,87,1.5,98,1.68965517241,185,3.18965517241,115,1.98275862069,27,0.465517241379,27,0.465517241379,79,1.36206896552,122,698,12.0344827586,
Orlando Woolridge,DET,1992-1993, 6-9,SF,33,50,1477,29.54,271,566,.479,0,9,.000,113,168,.673,84,1.68,92,1.84,176,3.52,112,2.24,26,0.52,25,0.5,73,1.46,114,655,13.1,
Orlando Woolridge,MIL,1992-1993, 6-9,SF,33,8,78,9.75,18,33,.545,0,0,.000,7,9,.778,3,0.375,6,0.75,9,1.125,3,0.375,1,0.125,2,0.25,6,0.75,8,43,5.375,
Orlando Woolridge,PHI,1993-1994, 6-9,SF,34,74,1955,26.4189189189,364,773,.471,1,14,.071,208,302,.689,103,1.39189189189,195,2.63513513514,298,4.02702702703,139,1.87837837838,41,0.554054054054,56,0.756756756757,142,1.91891891892,186,937,12.6621621622,
