Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Paul Arizin,PHW,1950-1951, 6-4,SF,22,65,.000,0.0,352,864,.407,.000,.000,.000,417,526,.793,.000,0.0,.000,0.0,640,9.84615384615,138,2.12307692308,.000,0.0,.000,0.0,.000,0.0,284,1121,17.2461538462,
Paul Arizin,PHW,1951-1952, 6-4,SF,23,66,2939,44.5303030303,548,1222,.448,.000,.000,.000,578,707,.818,.000,0.0,.000,0.0,745,11.2878787879,170,2.57575757576,.000,0.0,.000,0.0,.000,0.0,250,1674,25.3636363636,
Paul Arizin,PHW,1954-1955, 6-4,SF,26,72,2953,41.0138888889,529,1325,.399,.000,.000,.000,454,585,.776,.000,0.0,.000,0.0,675,9.375,210,2.91666666667,.000,0.0,.000,0.0,.000,0.0,270,1512,21.0,
Paul Arizin,PHW,1955-1956, 6-4,SF,27,72,2724,37.8333333333,617,1378,.448,.000,.000,.000,507,626,.810,.000,0.0,.000,0.0,539,7.48611111111,189,2.625,.000,0.0,.000,0.0,.000,0.0,282,1741,24.1805555556,
Paul Arizin,PHW,1956-1957, 6-4,SF,28,71,2767,38.9718309859,613,1451,.422,.000,.000,.000,591,713,.829,.000,0.0,.000,0.0,561,7.9014084507,150,2.11267605634,.000,0.0,.000,0.0,.000,0.0,274,1817,25.5915492958,
Paul Arizin,PHW,1957-1958, 6-4,SF,29,68,2377,34.9558823529,483,1229,.393,.000,.000,.000,440,544,.809,.000,0.0,.000,0.0,503,7.39705882353,135,1.98529411765,.000,0.0,.000,0.0,.000,0.0,235,1406,20.6764705882,
Paul Arizin,PHW,1958-1959, 6-4,SF,30,70,2799,39.9857142857,632,1466,.431,.000,.000,.000,587,722,.813,.000,0.0,.000,0.0,637,9.1,119,1.7,.000,0.0,.000,0.0,.000,0.0,264,1851,26.4428571429,
Paul Arizin,PHW,1959-1960, 6-4,SF,31,72,2618,36.3611111111,593,1400,.424,.000,.000,.000,420,526,.798,.000,0.0,.000,0.0,621,8.625,165,2.29166666667,.000,0.0,.000,0.0,.000,0.0,263,1606,22.3055555556,
Paul Arizin,PHW,1960-1961, 6-4,SF,32,79,2935,37.1518987342,650,1529,.425,.000,.000,.000,532,639,.833,.000,0.0,.000,0.0,681,8.62025316456,188,2.37974683544,.000,0.0,.000,0.0,.000,0.0,335,1832,23.1898734177,
Paul Arizin,PHW,1961-1962, 6-4,SF,33,78,2785,35.7051282051,611,1490,.410,.000,.000,.000,484,601,.805,.000,0.0,.000,0.0,527,6.75641025641,201,2.57692307692,.000,0.0,.000,0.0,.000,0.0,307,1706,21.8717948718,
