Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Paul Mokeski,HOU,1979-1980, 7-0,C,23,12,113,9.41666666667,11,33,.333,0,0,.000,7,9,.778,14,1.16666666667,15,1.25,29,2.41666666667,2,0.166666666667,1,0.0833333333333,6,0.5,10,0.833333333333,24,29,2.41666666667,
Paul Mokeski,DET,1980-1981, 7-0,C,24,80,1815,22.6875,224,458,.489,0,1,.000,120,200,.600,141,1.7625,277,3.4625,418,5.225,135,1.6875,38,0.475,73,0.9125,160,2.0,267,568,7.1,
Paul Mokeski,TOT,1981-1982, 7-0,C,25,67,868,12.9552238806,84,193,.435,0,3,.000,48,63,.762,59,0.880597014925,149,2.22388059701,208,3.10447761194,35,0.522388059701,33,0.492537313433,40,0.597014925373,55,0.820895522388,171,216,3.22388059701,
Paul Mokeski,DET,1981-1982, 7-0,C,25,39,523,13.4102564103,49,111,.441,0,1,.000,25,33,.758,35,0.897435897436,87,2.23076923077,122,3.12820512821,24,0.615384615385,13,0.333333333333,23,0.589743589744,39,1.0,103,123,3.15384615385,
Paul Mokeski,CLE,1981-1982, 7-0,C,25,28,345,12.3214285714,35,82,.427,0,2,.000,23,30,.767,24,0.857142857143,62,2.21428571429,86,3.07142857143,11,0.392857142857,20,0.714285714286,17,0.607142857143,16,0.571428571429,68,93,3.32142857143,
Paul Mokeski,TOT,1982-1983, 7-0,C,26,73,1128,15.4520547945,119,260,.458,0,1,.000,50,68,.735,76,1.04109589041,184,2.52054794521,260,3.56164383562,49,0.671232876712,21,0.287671232877,44,0.602739726027,67,0.917808219178,223,288,3.94520547945,
Paul Mokeski,CLE,1982-1983, 7-0,C,26,23,539,23.4347826087,55,121,.455,0,0,.000,16,26,.615,47,2.04347826087,91,3.95652173913,138,6.0,26,1.13043478261,12,0.521739130435,23,1.0,27,1.17391304348,85,126,5.47826086957,
Paul Mokeski,MIL,1982-1983, 7-0,C,26,50,589,11.78,64,139,.460,0,1,.000,34,42,.810,29,0.58,93,1.86,122,2.44,23,0.46,9,0.18,21,0.42,40,0.8,138,162,3.24,
Paul Mokeski,MIL,1983-1984, 7-0,C,27,68,838,12.3235294118,102,213,.479,1,3,.333,50,72,.694,51,0.75,115,1.69117647059,166,2.44117647059,44,0.647058823529,11,0.161764705882,29,0.426470588235,44,0.647058823529,168,255,3.75,
Paul Mokeski,MIL,1984-1985, 7-0,C,28,79,1586,20.0759493671,205,429,.478,0,2,.000,81,116,.698,107,1.35443037975,303,3.83544303797,410,5.18987341772,99,1.25316455696,28,0.354430379747,35,0.443037974684,85,1.07594936709,266,491,6.21518987342,
Paul Mokeski,MIL,1985-1986, 7-0,C,29,45,521,11.5777777778,59,139,.424,0,0,.000,25,34,.735,36,0.8,103,2.28888888889,139,3.08888888889,30,0.666666666667,6,0.133333333333,6,0.133333333333,25,0.555555555556,92,143,3.17777777778,
Paul Mokeski,MIL,1986-1987, 7-0,C,30,62,626,10.0967741935,52,129,.403,0,1,.000,46,64,.719,45,0.725806451613,93,1.5,138,2.22580645161,22,0.354838709677,18,0.290322580645,13,0.209677419355,22,0.354838709677,126,150,2.41935483871,
Paul Mokeski,MIL,1987-1988, 7-0,C,31,60,848,14.1333333333,100,210,.476,0,4,.000,51,72,.708,70,1.16666666667,151,2.51666666667,221,3.68333333333,22,0.366666666667,27,0.45,27,0.45,49,0.816666666667,194,251,4.18333333333,
Paul Mokeski,MIL,1988-1989, 7-0,C,32,74,690,9.32432432432,59,164,.360,7,26,.269,40,51,.784,63,0.851351351351,124,1.67567567568,187,2.52702702703,36,0.486486486486,29,0.391891891892,21,0.283783783784,35,0.472972972973,153,165,2.22972972973,
Paul Mokeski,CLE,1989-1990, 7-0,C,33,38,449,11.8157894737,63,150,.420,0,1,.000,25,36,.694,27,0.710526315789,72,1.89473684211,99,2.60526315789,17,0.447368421053,8,0.210526315789,10,0.263157894737,26,0.684210526316,76,151,3.97368421053,
Paul Mokeski,GSW,1990-1991, 7-0,C,34,36,257,7.13888888889,21,59,.356,3,9,.333,12,15,.800,20,0.555555555556,47,1.30555555556,67,1.86111111111,9,0.25,8,0.222222222222,3,0.0833333333333,7,0.194444444444,58,57,1.58333333333,
