Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Paul Silas,STL,1964-1965, 6-7,PF,21,79,1243,15.7341772152,140,375,.373,.000,.000,.000,83,164,.506,.000,0.0,.000,0.0,576,7.29113924051,48,0.607594936709,.000,0.0,.000,0.0,.000,0.0,161,363,4.59493670886,
Paul Silas,STL,1965-1966, 6-7,PF,22,46,586,12.7391304348,70,173,.405,.000,.000,.000,35,61,.574,.000,0.0,.000,0.0,236,5.13043478261,22,0.478260869565,.000,0.0,.000,0.0,.000,0.0,72,175,3.80434782609,
Paul Silas,STL,1966-1967, 6-7,PF,23,77,1570,20.3896103896,207,482,.429,.000,.000,.000,113,213,.531,.000,0.0,.000,0.0,669,8.68831168831,74,0.961038961039,.000,0.0,.000,0.0,.000,0.0,208,527,6.84415584416,
Paul Silas,STL,1967-1968, 6-7,PF,24,82,2652,32.3414634146,399,871,.458,.000,.000,.000,299,424,.705,.000,0.0,.000,0.0,958,11.6829268293,162,1.9756097561,.000,0.0,.000,0.0,.000,0.0,243,1097,13.3780487805,
Paul Silas,ATL,1968-1969, 6-7,PF,25,79,1853,23.4556962025,241,575,.419,.000,.000,.000,204,333,.613,.000,0.0,.000,0.0,745,9.43037974684,140,1.77215189873,.000,0.0,.000,0.0,.000,0.0,166,686,8.6835443038,
Paul Silas,PHO,1969-1970, 6-7,PF,26,78,2836,36.358974359,373,804,.464,.000,.000,.000,250,412,.607,.000,0.0,.000,0.0,916,11.7435897436,214,2.74358974359,.000,0.0,.000,0.0,.000,0.0,266,996,12.7692307692,
Paul Silas,PHO,1970-1971, 6-7,PF,27,81,2944,36.3456790123,338,789,.428,.000,.000,.000,285,416,.685,.000,0.0,.000,0.0,1015,12.5308641975,247,3.04938271605,.000,0.0,.000,0.0,.000,0.0,227,961,11.8641975309,
Paul Silas,PHO,1971-1972, 6-7,PF,28,80,3082,38.525,485,1031,.470,.000,.000,.000,433,560,.773,.000,0.0,.000,0.0,955,11.9375,343,4.2875,.000,0.0,.000,0.0,.000,0.0,201,1403,17.5375,
Paul Silas,BOS,1972-1973, 6-7,PF,29,80,2618,32.725,400,851,.470,.000,.000,.000,266,380,.700,.000,0.0,.000,0.0,1039,12.9875,251,3.1375,.000,0.0,.000,0.0,.000,0.0,197,1066,13.325,
Paul Silas,BOS,1973-1974, 6-7,PF,30,82,2599,31.6951219512,340,772,.440,.000,.000,.000,264,337,.783,334,4.07317073171,581,7.08536585366,915,11.1585365854,186,2.26829268293,63,0.768292682927,20,0.243902439024,.000,0.0,246,944,11.512195122,
Paul Silas,BOS,1974-1975, 6-7,PF,31,82,2661,32.4512195122,312,749,.417,.000,.000,.000,244,344,.709,348,4.24390243902,677,8.25609756098,1025,12.5,224,2.73170731707,60,0.731707317073,22,0.268292682927,.000,0.0,229,868,10.5853658537,
Paul Silas,BOS,1975-1976, 6-7,PF,32,81,2662,32.8641975309,315,740,.426,.000,.000,.000,236,333,.709,365,4.50617283951,660,8.14814814815,1025,12.6543209877,203,2.50617283951,56,0.691358024691,33,0.407407407407,.000,0.0,227,866,10.6913580247,
Paul Silas,DEN,1976-1977, 6-7,PF,33,81,1959,24.1851851852,206,572,.360,.000,.000,.000,170,255,.667,236,2.91358024691,370,4.56790123457,606,7.48148148148,132,1.62962962963,58,0.716049382716,23,0.283950617284,.000,0.0,183,582,7.18518518519,
Paul Silas,SEA,1977-1978, 6-7,PF,34,82,2172,26.487804878,184,464,.397,.000,.000,.000,109,186,.586,289,3.5243902439,377,4.59756097561,666,8.12195121951,145,1.76829268293,65,0.792682926829,16,0.19512195122,152,1.85365853659,182,477,5.81707317073,
Paul Silas,SEA,1978-1979, 6-7,PF,35,82,1957,23.8658536585,170,402,.423,.000,.000,.000,116,194,.598,259,3.15853658537,316,3.85365853659,575,7.01219512195,115,1.40243902439,31,0.378048780488,19,0.231707317073,98,1.19512195122,177,456,5.56097560976,
Paul Silas,SEA,1979-1980, 6-7,PF,36,82,1595,19.4512195122,113,299,.378,0,0,.000,89,136,.654,204,2.48780487805,232,2.82926829268,436,5.31707317073,66,0.80487804878,25,0.30487804878,5,0.0609756097561,83,1.01219512195,120,315,3.84146341463,
