Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Pervis Ellison,SAC,1989-1990, 6-9,C,22,34,866,25.4705882353,111,251,.442,0,2,.000,49,78,.628,64,1.88235294118,132,3.88235294118,196,5.76470588235,65,1.91176470588,16,0.470588235294,57,1.67647058824,62,1.82352941176,132,271,7.97058823529,
Pervis Ellison,WSB,1990-1991, 6-9,C,23,76,1942,25.5526315789,326,636,.513,0,6,.000,139,214,.650,224,2.94736842105,361,4.75,585,7.69736842105,102,1.34210526316,49,0.644736842105,157,2.06578947368,146,1.92105263158,268,791,10.4078947368,
Pervis Ellison,WSB,1991-1992, 6-9,C,24,66,2511,38.0454545455,547,1014,.539,1,3,.333,227,312,.728,217,3.28787878788,523,7.92424242424,740,11.2121212121,190,2.87878787879,62,0.939393939394,177,2.68181818182,196,2.9696969697,222,1322,20.0303030303,
Pervis Ellison,WSB,1992-1993, 6-9,C,25,49,1701,34.7142857143,341,655,.521,0,4,.000,170,242,.702,138,2.81632653061,295,6.02040816327,433,8.83673469388,117,2.38775510204,45,0.918367346939,108,2.20408163265,110,2.24489795918,154,852,17.387755102,
Pervis Ellison,WSB,1993-1994, 6-9,C,26,47,1178,25.0638297872,137,292,.469,0,3,.000,70,97,.722,77,1.63829787234,165,3.51063829787,242,5.14893617021,70,1.48936170213,25,0.531914893617,50,1.06382978723,73,1.55319148936,140,344,7.31914893617,
Pervis Ellison,BOS,1994-1995, 6-9,C,27,55,1083,19.6909090909,152,300,.507,0,2,.000,71,99,.717,124,2.25454545455,185,3.36363636364,309,5.61818181818,34,0.618181818182,22,0.4,54,0.981818181818,76,1.38181818182,179,375,6.81818181818,
Pervis Ellison,BOS,1995-1996, 6-9,C,28,69,1431,20.7391304348,145,295,.492,0,0,.000,75,117,.641,151,2.1884057971,300,4.34782608696,451,6.53623188406,62,0.898550724638,39,0.565217391304,99,1.4347826087,84,1.21739130435,207,365,5.28985507246,
Pervis Ellison,BOS,1996-1997, 6-9,PF,29,6,125,20.8333333333,6,16,.375,0,0,.000,3,5,.600,9,1.5,17,2.83333333333,26,4.33333333333,4,0.666666666667,5,0.833333333333,9,1.5,7,1.16666666667,21,15,2.5,
Pervis Ellison,BOS,1997-1998, 6-9,PF,30,33,447,13.5454545455,40,70,.571,0,0,.000,20,34,.588,52,1.57575757576,57,1.72727272727,109,3.30303030303,31,0.939393939394,20,0.606060606061,31,0.939393939394,28,0.848484848485,90,100,3.0303030303,
Pervis Ellison,BOS,1999-2000, 6-9,C,32,30,269,8.96666666667,19,43,.442,0,0,.000,15,21,.714,29,0.966666666667,38,1.26666666667,67,2.23333333333,13,0.433333333333,10,0.333333333333,8,0.266666666667,13,0.433333333333,67,53,1.76666666667,
Pervis Ellison,SEA,2000-2001, 6-9,C,33,9,40,4.44444444444,2,7,.286,0,0,.000,2,2,1.000,2,0.222222222222,10,1.11111111111,12,1.33333333333,3,0.333333333333,0,0.0,2,0.222222222222,3,0.333333333333,13,6,0.666666666667,
