Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Pete Chilcutt,SAC,1991-1992, 6-10,PF,23,69,817,11.8405797101,113,250,.452,2,2,1.000,23,28,.821,78,1.13043478261,109,1.57971014493,187,2.71014492754,38,0.550724637681,32,0.463768115942,17,0.246376811594,41,0.594202898551,70,251,3.63768115942,
Pete Chilcutt,SAC,1992-1993, 6-10,PF,24,59,834,14.1355932203,165,338,.488,0,0,.000,32,46,.696,80,1.35593220339,114,1.93220338983,194,3.28813559322,64,1.08474576271,22,0.372881355932,21,0.35593220339,54,0.915254237288,102,362,6.13559322034,
Pete Chilcutt,TOT,1993-1994, 6-10,PF,25,76,1365,17.9605263158,203,448,.453,3,15,.200,41,65,.631,129,1.69736842105,242,3.18421052632,371,4.88157894737,86,1.13157894737,53,0.697368421053,39,0.513157894737,74,0.973684210526,164,450,5.92105263158,
Pete Chilcutt,SAC,1993-1994, 6-10,PF,25,46,974,21.1739130435,152,328,.463,0,1,.000,31,52,.596,100,2.17391304348,171,3.71739130435,271,5.89130434783,71,1.54347826087,43,0.934782608696,28,0.608695652174,56,1.21739130435,116,335,7.28260869565,
Pete Chilcutt,DET,1993-1994, 6-10,PF,25,30,391,13.0333333333,51,120,.425,3,14,.214,10,13,.769,29,0.966666666667,71,2.36666666667,100,3.33333333333,15,0.5,10,0.333333333333,11,0.366666666667,18,0.6,48,115,3.83333333333,
Pete Chilcutt,HOU,1994-1995, 6-10,PF,26,68,1347,19.8088235294,146,328,.445,35,86,.407,31,42,.738,106,1.55882352941,211,3.10294117647,317,4.66176470588,66,0.970588235294,25,0.367647058824,43,0.632352941176,61,0.897058823529,117,358,5.26470588235,
Pete Chilcutt,HOU,1995-1996, 6-10,PF,27,74,651,8.7972972973,73,179,.408,37,98,.378,17,26,.654,51,0.689189189189,105,1.41891891892,156,2.10810810811,26,0.351351351351,19,0.256756756757,14,0.189189189189,22,0.297297297297,65,200,2.7027027027,
Pete Chilcutt,VAN,1996-1997, 6-10,PF,28,54,662,12.2592592593,72,165,.436,25,69,.362,13,22,.591,67,1.24074074074,89,1.64814814815,156,2.88888888889,47,0.87037037037,26,0.481481481481,17,0.314814814815,28,0.518518518519,52,182,3.37037037037,
Pete Chilcutt,VAN,1997-1998, 6-10,PF,29,82,1420,17.3170731707,156,359,.435,54,130,.415,39,59,.661,77,0.939024390244,229,2.79268292683,306,3.73170731707,104,1.26829268293,53,0.646341463415,37,0.451219512195,62,0.756097560976,158,405,4.93902439024,
Pete Chilcutt,VAN,1998-1999, 6-10,PF,30,46,697,15.152173913,63,172,.366,26,68,.382,14,17,.824,29,0.630434782609,88,1.91304347826,117,2.54347826087,30,0.652173913043,22,0.478260869565,12,0.260869565217,28,0.608695652174,52,166,3.60869565217,
Pete Chilcutt,TOT,1999-2000, 6-10,PF,31,56,601,10.7321428571,53,127,.417,6,26,.231,8,8,1.000,46,0.821428571429,85,1.51785714286,131,2.33928571429,27,0.482142857143,15,0.267857142857,10,0.178571428571,20,0.357142857143,73,120,2.14285714286,
Pete Chilcutt,UTA,1999-2000, 6-10,PF,31,26,224,8.61538461538,22,62,.355,1,10,.100,2,2,1.000,15,0.576923076923,28,1.07692307692,43,1.65384615385,10,0.384615384615,5,0.192307692308,4,0.153846153846,9,0.346153846154,31,47,1.80769230769,
Pete Chilcutt,CLE,1999-2000, 6-10,PF,31,6,30,5.0,0,2,.000,0,0,.000,0,0,.000,4,0.666666666667,5,0.833333333333,9,1.5,1,0.166666666667,0,0.0,0,0.0,0,0.0,3,0,0.0,
Pete Chilcutt,LAC,1999-2000, 6-10,PF,31,24,347,14.4583333333,31,63,.492,5,16,.313,6,6,1.000,27,1.125,52,2.16666666667,79,3.29166666667,16,0.666666666667,10,0.416666666667,6,0.25,11,0.458333333333,39,73,3.04166666667,
