Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Pete Maravich,ATL,1970-1971, 6-5,SG,23,81,2926,36.1234567901,738,1613,.458,.000,.000,.000,404,505,.800,.000,0.0,.000,0.0,298,3.67901234568,355,4.38271604938,.000,0.0,.000,0.0,.000,0.0,238,1880,23.2098765432,
Pete Maravich,ATL,1971-1972, 6-5,SG,24,66,2302,34.8787878788,460,1077,.427,.000,.000,.000,355,438,.811,.000,0.0,.000,0.0,256,3.87878787879,393,5.95454545455,.000,0.0,.000,0.0,.000,0.0,207,1275,19.3181818182,
Pete Maravich,ATL,1972-1973, 6-5,SG,25,79,3089,39.1012658228,789,1788,.441,.000,.000,.000,485,606,.800,.000,0.0,.000,0.0,346,4.37974683544,546,6.91139240506,.000,0.0,.000,0.0,.000,0.0,245,2063,26.1139240506,
Pete Maravich,ATL,1973-1974, 6-5,SG,26,76,2903,38.1973684211,819,1791,.457,.000,.000,.000,469,568,.826,98,1.28947368421,276,3.63157894737,374,4.92105263158,396,5.21052631579,111,1.46052631579,13,0.171052631579,.000,0.0,261,2107,27.7236842105,
Pete Maravich,NOJ,1974-1975, 6-5,SG,27,79,2853,36.1139240506,655,1562,.419,.000,.000,.000,390,481,.811,93,1.17721518987,329,4.16455696203,422,5.3417721519,488,6.17721518987,120,1.51898734177,18,0.227848101266,.000,0.0,227,1700,21.5189873418,
Pete Maravich,NOJ,1975-1976, 6-5,SG,28,62,2373,38.2741935484,604,1316,.459,.000,.000,.000,396,488,.811,46,0.741935483871,254,4.09677419355,300,4.83870967742,332,5.35483870968,87,1.40322580645,23,0.370967741935,.000,0.0,197,1604,25.8709677419,
Pete Maravich,NOJ,1976-1977, 6-5,SG,29,73,3041,41.6575342466,886,2047,.433,.000,.000,.000,501,600,.835,90,1.23287671233,284,3.8904109589,374,5.12328767123,392,5.3698630137,84,1.15068493151,22,0.301369863014,.000,0.0,191,2273,31.1369863014,
Pete Maravich,NOJ,1977-1978, 6-5,SG,30,50,2041,40.82,556,1253,.444,.000,.000,.000,240,276,.870,49,0.98,129,2.58,178,3.56,335,6.7,101,2.02,8,0.16,248,4.96,116,1352,27.04,
Pete Maravich,NOJ,1978-1979, 6-5,SG,31,49,1824,37.2244897959,436,1035,.421,.000,.000,.000,233,277,.841,33,0.673469387755,88,1.79591836735,121,2.4693877551,243,4.95918367347,60,1.22448979592,18,0.367346938776,200,4.08163265306,104,1105,22.5510204082,
Pete Maravich,TOT,1979-1980, 6-5,SG,32,43,964,22.4186046512,244,543,.449,10,15,.667,91,105,.867,17,0.395348837209,61,1.41860465116,78,1.81395348837,83,1.93023255814,24,0.558139534884,6,0.139534883721,82,1.90697674419,79,589,13.6976744186,
Pete Maravich,UTA,1979-1980, 6-5,SG,32,17,522,30.7058823529,121,294,.412,7,11,.636,41,50,.820,7,0.411764705882,33,1.94117647059,40,2.35294117647,54,3.17647058824,15,0.882352941176,4,0.235294117647,45,2.64705882353,30,290,17.0588235294,
Pete Maravich,BOS,1979-1980, 6-5,SG,32,26,442,17.0,123,249,.494,3,4,.750,50,55,.909,10,0.384615384615,28,1.07692307692,38,1.46153846154,29,1.11538461538,9,0.346153846154,2,0.0769230769231,37,1.42307692308,49,299,11.5,
