Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Phil Jordon,NYK,1956-1957, 6-10,,23,9,91,10.1111111111,18,49,.367,.000,.000,.000,8,12,.667,.000,0.0,.000,0.0,34,3.77777777778,2,0.222222222222,.000,0.0,.000,0.0,.000,0.0,15,44,4.88888888889,
Phil Jordon,TOT,1957-1958, 6-10,C,24,58,898,15.4827586207,193,467,.413,.000,.000,.000,64,93,.688,.000,0.0,.000,0.0,301,5.18965517241,37,0.637931034483,.000,0.0,.000,0.0,.000,0.0,108,450,7.75862068966,
Phil Jordon,NYK,1957-1958, 6-10,,24,12,75,6.25,16,34,.471,.000,.000,.000,5,6,.833,.000,0.0,.000,0.0,24,2.0,5,0.416666666667,.000,0.0,.000,0.0,.000,0.0,11,37,3.08333333333,
Phil Jordon,DET,1957-1958, 6-10,C,24,46,823,17.8913043478,177,433,.409,.000,.000,.000,59,87,.678,.000,0.0,.000,0.0,277,6.02173913043,32,0.695652173913,.000,0.0,.000,0.0,.000,0.0,97,413,8.97826086957,
Phil Jordon,DET,1958-1959, 6-10,PF,25,72,2058,28.5833333333,399,967,.413,.000,.000,.000,231,303,.762,.000,0.0,.000,0.0,594,8.25,83,1.15277777778,.000,0.0,.000,0.0,.000,0.0,193,1029,14.2916666667,
Phil Jordon,CIN,1959-1960, 6-10,C,26,75,2066,27.5466666667,381,970,.393,.000,.000,.000,242,338,.716,.000,0.0,.000,0.0,624,8.32,207,2.76,.000,0.0,.000,0.0,.000,0.0,227,1004,13.3866666667,
Phil Jordon,TOT,1960-1961, 6-10,C,27,79,2064,26.1265822785,360,940,.383,.000,.000,.000,206,297,.694,.000,0.0,.000,0.0,674,8.53164556962,181,2.29113924051,.000,0.0,.000,0.0,.000,0.0,273,926,11.7215189873,
Phil Jordon,CIN,1960-1961, 6-10,C,27,48,1140,23.75,202,511,.395,.000,.000,.000,117,170,.688,.000,0.0,.000,0.0,424,8.83333333333,107,2.22916666667,.000,0.0,.000,0.0,.000,0.0,150,521,10.8541666667,
Phil Jordon,NYK,1960-1961, 6-10,C,27,31,924,29.8064516129,158,429,.368,.000,.000,.000,89,127,.701,.000,0.0,.000,0.0,250,8.06451612903,74,2.38709677419,.000,0.0,.000,0.0,.000,0.0,123,405,13.064516129,
Phil Jordon,NYK,1961-1962, 6-10,C,28,76,2195,28.8815789474,403,1028,.392,.000,.000,.000,96,168,.571,.000,0.0,.000,0.0,482,6.34210526316,156,2.05263157895,.000,0.0,.000,0.0,.000,0.0,258,902,11.8684210526,
Phil Jordon,STL,1962-1963, 6-10,C,29,73,1420,19.4520547945,211,527,.400,.000,.000,.000,56,101,.554,.000,0.0,.000,0.0,319,4.3698630137,103,1.41095890411,.000,0.0,.000,0.0,.000,0.0,172,478,6.54794520548,
