Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Quintin Dailey,CHI,1982-1983, 6-3,SG,22,76,2081,27.3815789474,470,1008,.466,5,25,.200,206,282,.730,87,1.14473684211,173,2.27631578947,260,3.42105263158,280,3.68421052632,72,0.947368421053,10,0.131578947368,205,2.69736842105,248,1151,15.1447368421,
Quintin Dailey,CHI,1983-1984, 6-3,SG,23,82,2449,29.8658536585,583,1229,.474,4,32,.125,321,396,.811,61,0.743902439024,174,2.12195121951,235,2.86585365854,254,3.09756097561,109,1.32926829268,11,0.134146341463,220,2.68292682927,218,1491,18.1829268293,
Quintin Dailey,CHI,1984-1985, 6-3,SG,24,79,2101,26.5949367089,525,1111,.473,7,30,.233,205,251,.817,57,0.721518987342,151,1.91139240506,208,2.63291139241,191,2.41772151899,71,0.898734177215,5,0.0632911392405,154,1.94936708861,192,1262,15.9746835443,
Quintin Dailey,CHI,1985-1986, 6-3,SG,25,35,723,20.6571428571,203,470,.432,0,8,.000,163,198,.823,20,0.571428571429,48,1.37142857143,68,1.94285714286,67,1.91428571429,22,0.628571428571,5,0.142857142857,67,1.91428571429,86,569,16.2571428571,
Quintin Dailey,LAC,1986-1987, 6-3,SG,26,49,924,18.8571428571,200,491,.407,1,10,.100,119,155,.768,34,0.69387755102,49,1.0,83,1.69387755102,79,1.61224489796,43,0.877551020408,8,0.163265306122,71,1.44897959184,113,520,10.612244898,
Quintin Dailey,LAC,1987-1988, 6-3,SG,27,67,1282,19.1343283582,328,755,.434,2,12,.167,243,313,.776,62,0.925373134328,92,1.37313432836,154,2.29850746269,109,1.62686567164,69,1.02985074627,4,0.0597014925373,123,1.83582089552,128,901,13.447761194,
Quintin Dailey,LAC,1988-1989, 6-3,SG,28,69,1722,24.9565217391,448,964,.465,1,9,.111,217,286,.759,69,1.0,135,1.95652173913,204,2.95652173913,154,2.23188405797,90,1.30434782609,6,0.0869565217391,122,1.76811594203,152,1114,16.1449275362,
Quintin Dailey,SEA,1989-1990, 6-3,SG,29,30,491,16.3666666667,97,240,.404,1,5,.200,52,66,.788,18,0.6,33,1.1,51,1.7,34,1.13333333333,12,0.4,0,0.0,34,1.13333333333,63,247,8.23333333333,
Quintin Dailey,SEA,1990-1991, 6-3,SG,30,30,299,9.96666666667,73,155,.471,0,1,.000,38,62,.613,11,0.366666666667,21,0.7,32,1.06666666667,16,0.533333333333,7,0.233333333333,1,0.0333333333333,19,0.633333333333,25,184,6.13333333333,
Quintin Dailey,SEA,1991-1992, 6-3,SG,31,11,98,8.90909090909,9,37,.243,0,1,.000,13,16,.813,2,0.181818181818,10,0.909090909091,12,1.09090909091,4,0.363636363636,5,0.454545454545,1,0.0909090909091,10,0.909090909091,6,31,2.81818181818,
