Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Rafer Alston,MIL,1999-2000, 6-2,PG,23,27,361,13.3703703704,27,95,.284,3,14,.214,3,4,.750,5,0.185185185185,18,0.666666666667,23,0.851851851852,70,2.59259259259,12,0.444444444444,0,0.0,29,1.07407407407,29,60,2.22222222222,
Rafer Alston,MIL,2000-2001, 6-2,PG,24,37,288,7.78378378378,30,84,.357,8,30,.267,9,13,.692,4,0.108108108108,27,0.72972972973,31,0.837837837838,68,1.83783783784,13,0.351351351351,0,0.0,20,0.540540540541,27,77,2.08108108108,
Rafer Alston,MIL,2001-2002, 6-2,PG,25,50,600,12.0,66,191,.346,27,71,.380,18,29,.621,10,0.2,62,1.24,72,1.44,143,2.86,32,0.64,2,0.04,40,0.8,42,177,3.54,
Rafer Alston,TOR,2002-2003, 6-2,PG,26,47,980,20.8510638298,139,335,.415,51,130,.392,37,54,.685,21,0.446808510638,86,1.82978723404,107,2.27659574468,192,4.08510638298,38,0.808510638298,15,0.31914893617,86,1.82978723404,120,366,7.78723404255,
Rafer Alston,MIA,2003-2004, 6-2,PG,27,82,2581,31.4756097561,287,764,.376,161,434,.371,103,134,.769,26,0.317073170732,200,2.43902439024,226,2.75609756098,372,4.53658536585,114,1.39024390244,18,0.219512195122,128,1.56097560976,212,838,10.2195121951,
Rafer Alston,TOR,2004-2005, 6-2,PG,28,80,2717,33.9625,403,974,.414,139,389,.357,191,258,.740,42,0.525,237,2.9625,279,3.4875,514,6.425,118,1.475,7,0.0875,170,2.125,212,1136,14.2,
Rafer Alston,HOU,2005-2006, 6-2,PG,29,63,2431,38.5873015873,280,738,.379,102,312,.327,99,143,.692,36,0.571428571429,219,3.47619047619,255,4.04761904762,425,6.74603174603,101,1.60317460317,15,0.238095238095,157,2.49206349206,194,761,12.0793650794,
Rafer Alston,HOU,2006-2007, 6-2,PG,30,82,3040,37.0731707317,383,1020,.375,192,529,.363,130,177,.734,29,0.353658536585,253,3.08536585366,282,3.43902439024,444,5.41463414634,129,1.57317073171,10,0.121951219512,170,2.07317073171,195,1088,13.2682926829,
Rafer Alston,HOU,2007-2008, 6-2,PG,31,74,2526,34.1351351351,364,924,.394,143,407,.351,98,137,.715,28,0.378378378378,232,3.13513513514,260,3.51351351351,392,5.2972972973,98,1.32432432432,18,0.243243243243,160,2.16216216216,139,969,13.0945945946,
Rafer Alston,TOT,2008-2009, 6-2,PG,32,77,2447,31.7792207792,316,820,.385,112,331,.338,156,208,.750,33,0.428571428571,194,2.51948051948,227,2.94805194805,406,5.27272727273,108,1.4025974026,10,0.12987012987,140,1.81818181818,135,900,11.6883116883,
Rafer Alston,HOU,2008-2009, 6-2,PG,32,48,1591,33.1458333333,193,522,.370,80,230,.348,86,109,.789,25,0.520833333333,119,2.47916666667,144,3.0,258,5.375,57,1.1875,7,0.145833333333,88,1.83333333333,72,552,11.5,
Rafer Alston,ORL,2008-2009, 6-2,PG,32,29,856,29.5172413793,123,298,.413,32,101,.317,70,99,.707,8,0.275862068966,75,2.58620689655,83,2.86206896552,148,5.10344827586,51,1.75862068966,3,0.103448275862,52,1.79310344828,63,348,12.0,
Rafer Alston,TOT,2009-2010, 6-2,PG,33,52,1421,27.3269230769,155,446,.348,58,168,.345,59,81,.728,13,0.25,116,2.23076923077,129,2.48076923077,176,3.38461538462,50,0.961538461538,10,0.192307692308,95,1.82692307692,103,427,8.21153846154,
Rafer Alston,NJN,2009-2010, 6-2,PG,33,27,766,28.3703703704,95,277,.343,28,87,.322,44,54,.815,9,0.333333333333,66,2.44444444444,75,2.77777777778,104,3.85185185185,27,1.0,5,0.185185185185,61,2.25925925926,50,262,9.7037037037,
Rafer Alston,MIA,2009-2010, 6-2,PG,33,25,655,26.2,60,169,.355,30,81,.370,15,27,.556,4,0.16,50,2.0,54,2.16,72,2.88,23,0.92,5,0.2,34,1.36,53,165,6.6,
