Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Raja Bell,PHI,2000-2001, 6-5,SG,24,5,30,6.0,2,7,.286,1,3,.333,0,0,.000,0,0.0,1,0.2,1,0.2,0,0.0,1,0.2,0,0.0,2,0.4,1,5,1.0,
Raja Bell,PHI,2001-2002, 6-5,SG,25,74,890,12.027027027,103,240,.429,12,44,.273,36,48,.750,31,0.418918918919,80,1.08108108108,111,1.5,71,0.959459459459,21,0.283783783784,4,0.0540540540541,48,0.648648648649,109,254,3.43243243243,
Raja Bell,DAL,2002-2003, 6-5,SG,26,75,1173,15.64,93,211,.441,21,51,.412,23,34,.676,47,0.626666666667,98,1.30666666667,145,1.93333333333,57,0.76,52,0.693333333333,8,0.106666666667,43,0.573333333333,134,230,3.06666666667,
Raja Bell,UTA,2003-2004, 6-5,SG,27,82,2020,24.6341463415,329,805,.409,62,166,.373,195,248,.786,60,0.731707317073,181,2.20731707317,241,2.93902439024,107,1.30487804878,63,0.768292682927,13,0.158536585366,111,1.35365853659,262,915,11.1585365854,
Raja Bell,UTA,2004-2005, 6-5,SG,28,63,1790,28.4126984127,303,667,.454,54,134,.403,112,150,.747,48,0.761904761905,153,2.42857142857,201,3.19047619048,91,1.44444444444,44,0.698412698413,8,0.126984126984,79,1.25396825397,205,772,12.253968254,
Raja Bell,PHO,2005-2006, 6-5,SG,29,79,2959,37.4556962025,425,930,.457,197,446,.442,115,146,.788,44,0.556962025316,209,2.64556962025,253,3.20253164557,207,2.62025316456,76,0.962025316456,22,0.278481012658,89,1.12658227848,248,1162,14.7088607595,
Raja Bell,PHO,2006-2007, 6-5,SG,30,78,2917,37.3974358974,410,950,.432,205,496,.413,118,152,.776,48,0.615384615385,203,2.60256410256,251,3.21794871795,196,2.51282051282,50,0.641025641026,22,0.282051282051,83,1.0641025641,233,1143,14.6538461538,
Raja Bell,PHO,2007-2008, 6-5,SG,31,75,2646,35.28,317,753,.421,176,439,.401,79,91,.868,47,0.626666666667,227,3.02666666667,274,3.65333333333,168,2.24,54,0.72,27,0.36,65,0.866666666667,220,889,11.8533333333,
Raja Bell,TOT,2008-2009, 6-5,SG,32,67,2315,34.552238806,299,684,.437,114,271,.421,87,102,.853,41,0.611940298507,202,3.01492537313,243,3.62686567164,142,2.11940298507,50,0.746268656716,8,0.119402985075,86,1.28358208955,166,799,11.9253731343,
Raja Bell,PHO,2008-2009, 6-5,SG,32,22,712,32.3636363636,76,177,.429,44,94,.468,16,21,.762,8,0.363636363636,56,2.54545454545,64,2.90909090909,29,1.31818181818,13,0.590909090909,2,0.0909090909091,18,0.818181818182,57,212,9.63636363636,
Raja Bell,CHA,2008-2009, 6-5,SG,32,45,1603,35.6222222222,223,507,.440,70,177,.395,71,81,.877,33,0.733333333333,146,3.24444444444,179,3.97777777778,113,2.51111111111,37,0.822222222222,6,0.133333333333,68,1.51111111111,109,587,13.0444444444,
Raja Bell,TOT,2009-2010, 6-5,SG,33,6,180,30.0,28,61,.459,12,27,.444,3,3,1.000,5,0.833333333333,18,3.0,23,3.83333333333,13,2.16666666667,4,0.666666666667,2,0.333333333333,5,0.833333333333,15,71,11.8333333333,
Raja Bell,CHA,2009-2010, 6-5,SG,33,5,157,31.4,24,55,.436,9,24,.375,3,3,1.000,5,1.0,16,3.2,21,4.2,10,2.0,4,0.8,2,0.4,5,1.0,13,60,12.0,
Raja Bell,GSW,2009-2010, 6-5,SG,33,1,23,23.0,4,6,.667,3,3,1.000,0,0,.000,0,0.0,2,2.0,2,2.0,3,3.0,0,0.0,0,0.0,0,0.0,2,11,11.0,
Raja Bell,UTA,2010-2011, 6-5,SG,34,68,2097,30.8382352941,191,467,.409,68,193,.352,91,102,.892,31,0.455882352941,145,2.13235294118,176,2.58823529412,118,1.73529411765,56,0.823529411765,14,0.205882352941,63,0.926470588235,169,541,7.95588235294,
Raja Bell,UTA,2011-2012, 6-5,SG,35,34,796,23.4117647059,81,174,.466,34,87,.391,21,25,.840,6,0.176470588235,43,1.26470588235,49,1.44117647059,38,1.11764705882,13,0.382352941176,2,0.0588235294118,21,0.617647058824,78,217,6.38235294118,
