Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Ralph Sampson,HOU,1983-1984, 7-4,C,23,82,2693,32.8414634146,716,1369,.523,1,4,.250,287,434,.661,293,3.57317073171,620,7.56097560976,913,11.1341463415,163,1.98780487805,70,0.853658536585,197,2.40243902439,294,3.58536585366,339,1720,20.9756097561,
Ralph Sampson,HOU,1984-1985, 7-4,PF,24,82,3086,37.6341463415,753,1499,.502,0,6,.000,303,448,.676,227,2.76829268293,626,7.63414634146,853,10.4024390244,224,2.73170731707,81,0.987804878049,168,2.0487804878,326,3.9756097561,306,1809,22.0609756098,
Ralph Sampson,HOU,1985-1986, 7-4,PF,25,79,2864,36.253164557,624,1280,.488,2,15,.133,241,376,.641,258,3.26582278481,621,7.86075949367,879,11.1265822785,283,3.58227848101,99,1.25316455696,129,1.63291139241,285,3.60759493671,308,1491,18.8734177215,
Ralph Sampson,HOU,1986-1987, 7-4,PF,26,43,1326,30.8372093023,277,566,.489,0,3,.000,118,189,.624,88,2.04651162791,284,6.60465116279,372,8.6511627907,120,2.79069767442,40,0.93023255814,58,1.3488372093,126,2.93023255814,169,672,15.6279069767,
Ralph Sampson,TOT,1987-1988, 7-4,C-,27,48,1663,34.6458333333,299,682,.438,2,11,.182,149,196,.760,140,2.91666666667,322,6.70833333333,462,9.625,122,2.54166666667,41,0.854166666667,88,1.83333333333,171,3.5625,164,749,15.6041666667,
Ralph Sampson,HOU,1987-1988, 7-4,PF,27,19,705,37.1052631579,119,271,.439,2,6,.333,63,85,.741,58,3.05263157895,114,6.0,172,9.05263157895,37,1.94736842105,17,0.894736842105,33,1.73684210526,62,3.26315789474,63,303,15.9473684211,
Ralph Sampson,GSW,1987-1988, 7-4,C,27,29,958,33.0344827586,180,411,.438,0,5,.000,86,111,.775,82,2.8275862069,208,7.1724137931,290,10.0,85,2.93103448276,24,0.827586206897,55,1.89655172414,109,3.75862068966,101,446,15.3793103448,
Ralph Sampson,GSW,1988-1989, 7-4,C,28,61,1086,17.8032786885,164,365,.449,3,8,.375,62,95,.653,105,1.72131147541,202,3.31147540984,307,5.03278688525,77,1.26229508197,31,0.508196721311,65,1.06557377049,90,1.47540983607,170,393,6.44262295082,
Ralph Sampson,SAC,1989-1990, 7-4,C,29,26,417,16.0384615385,48,129,.372,1,4,.250,12,23,.522,11,0.423076923077,73,2.80769230769,84,3.23076923077,28,1.07692307692,14,0.538461538462,22,0.846153846154,34,1.30769230769,66,109,4.19230769231,
Ralph Sampson,SAC,1990-1991, 7-4,C,30,25,348,13.92,34,93,.366,1,5,.200,5,19,.263,41,1.64,70,2.8,111,4.44,17,0.68,11,0.44,17,0.68,27,1.08,54,74,2.96,
Ralph Sampson,WSB,1991-1992, 7-4,C,31,10,108,10.8,9,29,.310,0,2,.000,4,6,.667,11,1.1,19,1.9,30,3.0,4,0.4,3,0.3,8,0.8,10,1.0,14,22,2.2,
