Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Ralph Simpson,DNR,1970-1971, 6-5,SG,21,81,1820,22.4691358025,460,1108,.415,17,60,.283,215,285,.754,125,1.54320987654,106,1.30864197531,231,2.85185185185,168,2.07407407407,.000,0.0,.000,0.0,186,2.2962962963,152,1152,14.2222222222,
Ralph Simpson,DNR,1971-1972, 6-5,SG,22,84,3006,35.7857142857,920,2000,.460,3,22,.136,457,568,.805,171,2.03571428571,227,2.70238095238,398,4.7380952381,258,3.07142857143,.000,0.0,.000,0.0,266,3.16666666667,244,2300,27.380952381,
Ralph Simpson,DNR,1972-1973, 6-5,SG,23,81,2589,31.962962963,732,1670,.438,5,24,.208,421,556,.757,140,1.72839506173,231,2.85185185185,371,4.58024691358,222,2.74074074074,127,1.56790123457,.000,0.0,283,3.49382716049,241,1890,23.3333333333,
Ralph Simpson,DNR,1973-1974, 6-5,SF,24,75,2244,29.92,597,1395,.428,2,24,.083,208,276,.754,113,1.50666666667,213,2.84,326,4.34666666667,191,2.54666666667,103,1.37333333333,12,0.16,196,2.61333333333,190,1404,18.72,
Ralph Simpson,DNA,1974-1975, 6-5,SG,25,82,2863,34.9146341463,694,1374,.505,1,12,.083,303,402,.754,108,1.31707317073,283,3.4512195122,391,4.76829268293,442,5.39024390244,166,2.0243902439,19,0.231707317073,314,3.82926829268,214,1692,20.6341463415,
Ralph Simpson,DNA,1975-1976, 6-5,SG,26,84,3121,37.1547619048,619,1211,.511,4,24,.167,273,350,.780,121,1.44047619048,333,3.96428571429,454,5.40476190476,597,7.10714285714,153,1.82142857143,23,0.27380952381,360,4.28571428571,183,1515,18.0357142857,
Ralph Simpson,DET,1976-1977, 6-5,SG,27,77,1597,20.7402597403,356,834,.427,.000,.000,.000,138,195,.708,48,0.623376623377,133,1.72727272727,181,2.35064935065,180,2.33766233766,68,0.883116883117,5,0.0649350649351,.000,0.0,100,850,11.038961039,
Ralph Simpson,TOT,1977-1978, 6-5,SG,28,64,1323,20.671875,216,576,.375,.000,.000,.000,85,104,.817,53,0.828125,104,1.625,157,2.453125,159,2.484375,75,1.171875,7,0.109375,126,1.96875,90,517,8.078125,
Ralph Simpson,DET,1977-1978, 6-5,SG,28,32,739,23.09375,143,346,.413,.000,.000,.000,54,64,.844,27,0.84375,55,1.71875,82,2.5625,87,2.71875,32,1.0,3,0.09375,78,2.4375,48,340,10.625,
Ralph Simpson,DEN,1977-1978, 6-5,SG,28,32,584,18.25,73,230,.317,.000,.000,.000,31,40,.775,26,0.8125,49,1.53125,75,2.34375,72,2.25,43,1.34375,4,0.125,48,1.5,42,177,5.53125,
Ralph Simpson,TOT,1978-1979, 6-5,SG,29,69,979,14.1884057971,174,433,.402,.000,.000,.000,76,111,.685,35,0.507246376812,61,0.884057971014,96,1.39130434783,126,1.82608695652,37,0.536231884058,5,0.0724637681159,100,1.44927536232,57,424,6.14492753623,
Ralph Simpson,PHI,1978-1979, 6-5,SG,29,37,452,12.2162162162,87,196,.444,.000,.000,.000,28,40,.700,16,0.432432432432,19,0.513513513514,35,0.945945945946,58,1.56756756757,25,0.675675675676,1,0.027027027027,47,1.27027027027,27,202,5.45945945946,
Ralph Simpson,NJN,1978-1979, 6-5,SG,29,32,527,16.46875,87,237,.367,.000,.000,.000,48,71,.676,19,0.59375,42,1.3125,61,1.90625,68,2.125,12,0.375,4,0.125,53,1.65625,30,222,6.9375,
Ralph Simpson,NJN,1979-1980, 6-5,SG,30,8,81,10.125,18,47,.383,0,2,.000,5,10,.500,6,0.75,5,0.625,11,1.375,14,1.75,9,1.125,0,0.0,12,1.5,3,41,5.125,
