Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Randy Smith,BUF,1971-1972, 6-3,SF,23,76,2094,27.5526315789,432,896,.482,.000,.000,.000,158,254,.622,.000,0.0,.000,0.0,368,4.84210526316,189,2.48684210526,.000,0.0,.000,0.0,.000,0.0,202,1022,13.4473684211,
Randy Smith,BUF,1972-1973, 6-3,SG,24,82,2603,31.743902439,511,1154,.443,.000,.000,.000,192,264,.727,.000,0.0,.000,0.0,391,4.76829268293,422,5.14634146341,.000,0.0,.000,0.0,.000,0.0,247,1214,14.8048780488,
Randy Smith,BUF,1973-1974, 6-3,SG,25,82,2745,33.4756097561,531,1079,.492,.000,.000,.000,205,288,.712,87,1.06097560976,228,2.78048780488,315,3.84146341463,383,4.67073170732,203,2.4756097561,4,0.0487804878049,.000,0.0,261,1267,15.4512195122,
Randy Smith,BUF,1974-1975, 6-3,SG,26,82,3001,36.5975609756,610,1261,.484,.000,.000,.000,236,295,.800,95,1.15853658537,249,3.03658536585,344,4.19512195122,534,6.51219512195,137,1.67073170732,3,0.0365853658537,.000,0.0,247,1456,17.756097561,
Randy Smith,BUF,1975-1976, 6-3,SG,27,82,3167,38.6219512195,702,1422,.494,.000,.000,.000,383,469,.817,104,1.26829268293,313,3.81707317073,417,5.08536585366,484,5.90243902439,153,1.86585365854,4,0.0487804878049,.000,0.0,274,1787,21.7926829268,
Randy Smith,BUF,1976-1977, 6-3,SG,28,82,3094,37.7317073171,702,1504,.467,.000,.000,.000,294,386,.762,134,1.63414634146,323,3.93902439024,457,5.57317073171,441,5.37804878049,176,2.14634146341,8,0.0975609756098,.000,0.0,264,1698,20.7073170732,
Randy Smith,BUF,1977-1978, 6-3,SG,29,82,3314,40.4146341463,789,1697,.465,.000,.000,.000,443,554,.800,110,1.34146341463,200,2.43902439024,310,3.78048780488,458,5.58536585366,172,2.09756097561,11,0.134146341463,286,3.48780487805,224,2021,24.6463414634,
Randy Smith,SDC,1978-1979, 6-3,SG,30,82,3111,37.9390243902,693,1523,.455,.000,.000,.000,292,359,.813,102,1.24390243902,193,2.35365853659,295,3.59756097561,395,4.81707317073,177,2.15853658537,5,0.0609756097561,255,3.10975609756,177,1678,20.4634146341,
Randy Smith,CLE,1979-1980, 6-3,SG,31,82,2677,32.6463414634,599,1326,.452,10,53,.189,233,283,.823,93,1.13414634146,163,1.98780487805,256,3.12195121951,363,4.42682926829,125,1.5243902439,7,0.0853658536585,200,2.43902439024,190,1441,17.5731707317,
Randy Smith,CLE,1980-1981, 6-3,SG,32,82,2199,26.8170731707,486,1043,.466,1,28,.036,221,271,.815,46,0.560975609756,147,1.79268292683,193,2.35365853659,357,4.35365853659,113,1.37804878049,14,0.170731707317,195,2.37804878049,132,1194,14.5609756098,
Randy Smith,NYK,1981-1982, 6-3,SG,33,82,2033,24.7926829268,348,748,.465,3,11,.273,122,151,.808,53,0.646341463415,102,1.24390243902,155,1.89024390244,255,3.10975609756,91,1.10975609756,1,0.0121951219512,124,1.51219512195,199,821,10.012195122,
Randy Smith,TOT,1982-1983, 6-3,SG,34,80,1406,17.575,273,565,.483,3,18,.167,114,131,.870,37,0.4625,59,0.7375,96,1.2,206,2.575,56,0.7,0,0.0,98,1.225,139,663,8.2875,
Randy Smith,SDC,1982-1983, 6-3,SG,34,65,1264,19.4461538462,244,499,.489,3,16,.188,101,117,.863,35,0.538461538462,53,0.815384615385,88,1.35384615385,192,2.95384615385,54,0.830769230769,0,0.0,89,1.36923076923,122,592,9.10769230769,
Randy Smith,ATL,1982-1983, 6-3,SG,34,15,142,9.46666666667,29,66,.439,0,2,.000,13,14,.929,2,0.133333333333,6,0.4,8,0.533333333333,14,0.933333333333,2,0.133333333333,0,0.0,9,0.6,17,71,4.73333333333,
