Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Randy Wittman,ATL,1983-1984, 6-6,SG,24,78,1071,13.7307692308,160,318,.503,2,5,.400,28,46,.609,14,0.179487179487,57,0.730769230769,71,0.910256410256,71,0.910256410256,17,0.217948717949,0,0.0,32,0.410256410256,82,350,4.48717948718,
Randy Wittman,ATL,1984-1985, 6-6,SG,25,41,1168,28.487804878,187,352,.531,2,7,.286,30,41,.732,16,0.390243902439,57,1.39024390244,73,1.78048780488,125,3.0487804878,28,0.682926829268,7,0.170731707317,57,1.39024390244,58,406,9.90243902439,
Randy Wittman,ATL,1985-1986, 6-6,SG,26,81,2760,34.0740740741,467,881,.530,5,16,.313,104,135,.770,51,0.62962962963,119,1.46913580247,170,2.0987654321,306,3.77777777778,81,1.0,14,0.172839506173,114,1.40740740741,118,1043,12.8765432099,
Randy Wittman,ATL,1986-1987, 6-6,SG,27,71,2049,28.8591549296,398,792,.503,4,12,.333,100,127,.787,30,0.422535211268,94,1.32394366197,124,1.74647887324,211,2.97183098592,39,0.549295774648,16,0.225352112676,88,1.23943661972,107,900,12.676056338,
Randy Wittman,ATL,1987-1988, 6-6,SG,28,82,2412,29.4146341463,376,787,.478,0,0,.000,71,89,.798,39,0.475609756098,131,1.59756097561,170,2.07317073171,302,3.68292682927,50,0.609756097561,18,0.219512195122,82,1.0,117,823,10.0365853659,
Randy Wittman,TOT,1988-1989, 6-6,SF,29,64,1120,17.5,130,286,.455,3,6,.500,28,41,.683,26,0.40625,54,0.84375,80,1.25,111,1.734375,23,0.359375,2,0.03125,32,0.5,43,291,4.546875,
Randy Wittman,SAC,1988-1989, 6-6,SF,29,31,416,13.4193548387,50,117,.427,2,4,.500,16,22,.727,6,0.193548387097,20,0.645161290323,26,0.838709677419,32,1.03225806452,10,0.322580645161,0,0.0,12,0.387096774194,12,118,3.8064516129,
Randy Wittman,IND,1988-1989, 6-6,SF,29,33,704,21.3333333333,80,169,.473,1,2,.500,12,19,.632,20,0.606060606061,34,1.0303030303,54,1.63636363636,79,2.39393939394,13,0.393939393939,2,0.0606060606061,20,0.606060606061,31,173,5.24242424242,
Randy Wittman,IND,1989-1990, 6-6,SF,30,61,544,8.91803278689,62,122,.508,1,2,.500,5,6,.833,4,0.0655737704918,26,0.426229508197,30,0.491803278689,39,0.639344262295,7,0.114754098361,4,0.0655737704918,23,0.377049180328,21,130,2.13114754098,
Randy Wittman,IND,1990-1991, 6-6,SF,31,41,355,8.65853658537,35,79,.443,0,5,.000,4,6,.667,6,0.146341463415,27,0.658536585366,33,0.80487804878,25,0.609756097561,10,0.243902439024,4,0.0975609756098,10,0.243902439024,9,74,1.80487804878,
Randy Wittman,IND,1991-1992, 6-6,SG,32,24,115,4.79166666667,8,19,.421,0,0,.000,1,2,.500,1,0.0416666666667,8,0.333333333333,9,0.375,11,0.458333333333,2,0.0833333333333,0,0.0,3,0.125,4,17,0.708333333333,
