Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Ray Tolbert,TOT,1981-1982, 6-9,PF,23,64,607,9.484375,100,202,.495,0,2,.000,19,35,.543,50,0.78125,76,1.1875,126,1.96875,33,0.515625,12,0.1875,16,0.25,45,0.703125,83,219,3.421875,
Ray Tolbert,NJN,1981-1982, 6-9,PF,23,12,115,9.58333333333,20,44,.455,0,1,.000,4,8,.500,11,0.916666666667,16,1.33333333333,27,2.25,8,0.666666666667,4,0.333333333333,2,0.166666666667,12,1.0,19,44,3.66666666667,
Ray Tolbert,SEA,1981-1982, 6-9,PF,23,52,492,9.46153846154,80,158,.506,0,1,.000,15,27,.556,39,0.75,60,1.15384615385,99,1.90384615385,25,0.480769230769,8,0.153846153846,14,0.269230769231,33,0.634615384615,64,175,3.36538461538,
Ray Tolbert,TOT,1982-1983, 6-9,PF,24,73,1107,15.1643835616,157,314,.500,0,3,.000,52,103,.505,72,0.986301369863,170,2.32876712329,242,3.31506849315,50,0.684931506849,26,0.356164383562,47,0.643835616438,83,1.13698630137,153,366,5.01369863014,
Ray Tolbert,SEA,1982-1983, 6-9,PF,24,45,712,15.8222222222,100,190,.526,0,2,.000,24,44,.545,46,1.02222222222,105,2.33333333333,151,3.35555555556,31,0.688888888889,16,0.355555555556,24,0.533333333333,51,1.13333333333,97,224,4.97777777778,
Ray Tolbert,DET,1982-1983, 6-9,PF,24,28,395,14.1071428571,57,124,.460,0,1,.000,28,59,.475,26,0.928571428571,65,2.32142857143,91,3.25,19,0.678571428571,10,0.357142857143,23,0.821428571429,32,1.14285714286,56,142,5.07142857143,
Ray Tolbert,DET,1983-1984, 6-9,PF,25,49,475,9.69387755102,64,121,.529,0,1,.000,23,45,.511,45,0.918367346939,53,1.08163265306,98,2.0,26,0.530612244898,12,0.244897959184,20,0.408163265306,26,0.530612244898,88,151,3.08163265306,
Ray Tolbert,TOT,1987-1988, 6-9,PF,29,25,259,10.36,35,69,.507,0,0,.000,19,30,.633,23,0.92,32,1.28,55,2.2,10,0.4,8,0.32,5,0.2,21,0.84,39,89,3.56,
Ray Tolbert,NYK,1987-1988, 6-9,PF,29,11,177,16.0909090909,19,41,.463,0,0,.000,9,17,.529,14,1.27272727273,21,1.90909090909,35,3.18181818182,5,0.454545454545,5,0.454545454545,2,0.181818181818,10,0.909090909091,25,47,4.27272727273,
Ray Tolbert,LAL,1987-1988, 6-9,PF,29,14,82,5.85714285714,16,28,.571,0,0,.000,10,13,.769,9,0.642857142857,11,0.785714285714,20,1.42857142857,5,0.357142857143,3,0.214285714286,3,0.214285714286,11,0.785714285714,14,42,3.0,
Ray Tolbert,ATL,1988-1989, 6-9,PF,30,50,341,6.82,40,94,.426,0,0,.000,23,37,.622,31,0.62,57,1.14,88,1.76,16,0.32,13,0.26,13,0.26,35,0.7,55,103,2.06,
