Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Raymond Felton,CHA,2005-2006, 6-1,PG,21,80,2406,30.075,345,883,.391,97,271,.358,161,222,.725,77,0.9625,188,2.35,265,3.3125,446,5.575,102,1.275,8,0.1,182,2.275,181,948,11.85,
Raymond Felton,CHA,2006-2007, 6-1,PG,22,78,2832,36.3076923077,393,1024,.384,103,312,.330,204,256,.797,51,0.653846153846,216,2.76923076923,267,3.42307692308,545,6.98717948718,118,1.51282051282,10,0.128205128205,230,2.94871794872,180,1093,14.0128205128,
Raymond Felton,CHA,2007-2008, 6-1,PG,23,79,2972,37.6202531646,412,997,.413,56,200,.280,260,325,.800,37,0.46835443038,199,2.51898734177,236,2.98734177215,583,7.37974683544,96,1.21518987342,12,0.151898734177,213,2.69620253165,184,1140,14.4303797468,
Raymond Felton,CHA,2008-2009, 6-1,PG,24,82,3086,37.6341463415,442,1083,.408,59,207,.285,219,272,.805,54,0.658536585366,256,3.12195121951,310,3.78048780488,553,6.74390243902,126,1.53658536585,30,0.365853658537,228,2.78048780488,191,1162,14.1707317073,
Raymond Felton,CHA,2009-2010, 6-1,PG,25,80,2643,33.0375,388,846,.459,60,156,.385,132,173,.763,53,0.6625,235,2.9375,288,3.6,446,5.575,123,1.5375,22,0.275,168,2.1,172,968,12.1,
Raymond Felton,TOT,2010-2011, 6-1,PG,26,75,2737,36.4933333333,427,1005,.425,116,329,.353,194,241,.805,48,0.64,221,2.94666666667,269,3.58666666667,625,8.33333333333,125,1.66666666667,11,0.146666666667,221,2.94666666667,150,1164,15.52,
Raymond Felton,NYK,2010-2011, 6-1,PG,26,54,2074,38.4074074074,339,801,.423,88,268,.328,157,181,.867,40,0.740740740741,154,2.85185185185,194,3.59259259259,488,9.03703703704,97,1.7962962963,11,0.203703703704,176,3.25925925926,113,923,17.0925925926,
Raymond Felton,DEN,2010-2011, 6-1,SG,26,21,663,31.5714285714,88,204,.431,28,61,.459,37,60,.617,8,0.380952380952,67,3.19047619048,75,3.57142857143,137,6.52380952381,28,1.33333333333,0,0.0,45,2.14285714286,37,241,11.4761904762,
Raymond Felton,POR,2011-2012, 6-1,PG,27,60,1906,31.7666666667,261,642,.407,62,203,.305,100,124,.806,27,0.45,122,2.03333333333,149,2.48333333333,390,6.5,78,1.3,10,0.166666666667,170,2.83333333333,122,684,11.4,
Raymond Felton,NYK,2012-2013, 6-1,PG,28,50,1688,33.76,288,699,.412,69,197,.350,83,106,.783,40,0.8,106,2.12,146,2.92,287,5.74,65,1.3,12,0.24,126,2.52,93,728,14.56,
