Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Red Kerr,SYR,1954-1955, 6-9,C,22,72,1529,21.2361111111,301,718,.419,.000,.000,.000,152,223,.682,.000,0.0,.000,0.0,474,6.58333333333,80,1.11111111111,.000,0.0,.000,0.0,.000,0.0,165,754,10.4722222222,
Red Kerr,SYR,1955-1956, 6-9,C,23,72,2114,29.3611111111,377,935,.403,.000,.000,.000,207,316,.655,.000,0.0,.000,0.0,607,8.43055555556,84,1.16666666667,.000,0.0,.000,0.0,.000,0.0,168,961,13.3472222222,
Red Kerr,SYR,1956-1957, 6-9,C,24,72,2191,30.4305555556,333,827,.403,.000,.000,.000,225,313,.719,.000,0.0,.000,0.0,807,11.2083333333,90,1.25,.000,0.0,.000,0.0,.000,0.0,190,891,12.375,
Red Kerr,SYR,1957-1958, 6-9,C,25,72,2384,33.1111111111,407,1020,.399,.000,.000,.000,280,422,.664,.000,0.0,.000,0.0,963,13.375,88,1.22222222222,.000,0.0,.000,0.0,.000,0.0,197,1094,15.1944444444,
Red Kerr,SYR,1958-1959, 6-9,C,26,72,2671,37.0972222222,502,1139,.441,.000,.000,.000,281,367,.766,.000,0.0,.000,0.0,1008,14.0,142,1.97222222222,.000,0.0,.000,0.0,.000,0.0,183,1285,17.8472222222,
Red Kerr,SYR,1959-1960, 6-9,C,27,75,2372,31.6266666667,436,1111,.392,.000,.000,.000,233,310,.752,.000,0.0,.000,0.0,913,12.1733333333,167,2.22666666667,.000,0.0,.000,0.0,.000,0.0,207,1105,14.7333333333,
Red Kerr,SYR,1960-1961, 6-9,C,28,79,2676,33.8734177215,419,1056,.397,.000,.000,.000,218,299,.729,.000,0.0,.000,0.0,951,12.0379746835,199,2.51898734177,.000,0.0,.000,0.0,.000,0.0,230,1056,13.3670886076,
Red Kerr,SYR,1961-1962, 6-9,C,29,80,2767,34.5875,541,1220,.443,.000,.000,.000,222,302,.735,.000,0.0,.000,0.0,1176,14.7,243,3.0375,.000,0.0,.000,0.0,.000,0.0,272,1304,16.3,
Red Kerr,SYR,1962-1963, 6-9,C,30,80,2561,32.0125,507,1069,.474,.000,.000,.000,241,320,.753,.000,0.0,.000,0.0,1039,12.9875,214,2.675,.000,0.0,.000,0.0,.000,0.0,208,1255,15.6875,
Red Kerr,PHI,1963-1964, 6-9,C,31,80,2938,36.725,536,1250,.429,.000,.000,.000,268,357,.751,.000,0.0,.000,0.0,1017,12.7125,275,3.4375,.000,0.0,.000,0.0,.000,0.0,187,1340,16.75,
Red Kerr,PHI,1964-1965, 6-9,C,32,80,1810,22.625,264,714,.370,.000,.000,.000,126,181,.696,.000,0.0,.000,0.0,551,6.8875,197,2.4625,.000,0.0,.000,0.0,.000,0.0,132,654,8.175,
Red Kerr,BAL,1965-1966, 6-9,C,33,71,1770,24.9295774648,286,692,.413,.000,.000,.000,209,272,.768,.000,0.0,.000,0.0,586,8.25352112676,225,3.16901408451,.000,0.0,.000,0.0,.000,0.0,148,781,11.0,
