Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Red Robbins,NOB,1967-1968, 6-8,C,23,73,2159,29.5753424658,448,918,.488,2,6,.333,245,308,.795,366,5.01369863014,528,7.23287671233,894,12.2465753425,73,1.0,.000,0.0,.000,0.0,115,1.57534246575,157,1143,15.6575342466,
Red Robbins,NOB,1968-1969, 6-8,C,24,76,2736,36.0,456,1035,.441,7,29,.241,291,361,.806,368,4.84210526316,656,8.63157894737,1024,13.4736842105,142,1.86842105263,.000,0.0,.000,0.0,121,1.59210526316,200,1210,15.9210526316,
Red Robbins,NOB,1969-1970, 6-8,PF,25,82,3266,39.8292682927,525,1091,.481,7,23,.304,285,366,.779,427,5.20731707317,905,11.0365853659,1332,16.243902439,182,2.21951219512,.000,0.0,.000,0.0,148,1.80487804878,251,1342,16.3658536585,
Red Robbins,UTS,1970-1971, 6-8,PF,26,82,2995,36.5243902439,396,908,.436,11,44,.250,227,272,.835,303,3.69512195122,673,8.20731707317,976,11.9024390244,178,2.17073170732,.000,0.0,.000,0.0,127,1.5487804878,203,1030,12.5609756098,
Red Robbins,UTS,1971-1972, 6-8,PF,27,78,2567,32.9102564103,379,752,.504,29,71,.408,167,201,.831,216,2.76923076923,495,6.34615384615,711,9.11538461538,124,1.58974358974,.000,0.0,.000,0.0,86,1.10256410256,171,954,12.2307692308,
Red Robbins,SDA,1972-1973, 6-8,C,28,58,1618,27.8965517241,218,525,.415,9,30,.300,131,155,.845,159,2.74137931034,258,4.44827586207,417,7.18965517241,99,1.70689655172,.000,0.0,.000,0.0,85,1.46551724138,134,576,9.93103448276,
Red Robbins,TOT,1973-1974, 6-8,C,29,80,1627,20.3375,276,577,.478,1,13,.077,116,136,.853,144,1.8,242,3.025,386,4.825,89,1.1125,40,0.5,34,0.425,89,1.1125,112,669,8.3625,
Red Robbins,SDA,1973-1974, 6-8,C,29,46,1012,22.0,179,376,.476,1,8,.125,75,87,.862,91,1.97826086957,155,3.36956521739,246,5.34782608696,58,1.26086956522,32,0.695652173913,27,0.586956521739,60,1.30434782609,74,434,9.4347826087,
Red Robbins,KEN,1973-1974, 6-8,C,29,34,615,18.0882352941,97,201,.483,0,5,.000,41,49,.837,53,1.55882352941,87,2.55882352941,140,4.11764705882,31,0.911764705882,8,0.235294117647,7,0.205882352941,29,0.852941176471,38,235,6.91176470588,
Red Robbins,TOT,1974-1975, 6-8,C,30,57,1777,31.1754385965,307,648,.474,3,10,.300,162,187,.866,153,2.68421052632,262,4.59649122807,415,7.28070175439,114,2.0,31,0.543859649123,31,0.543859649123,97,1.70175438596,106,779,13.6666666667,
Red Robbins,KEN,1974-1975, 6-8,C,30,4,29,7.25,12,21,.571,0,0,.000,6,6,1.000,8,2.0,3,0.75,11,2.75,1,0.25,2,0.5,1,0.25,2,0.5,4,30,7.5,
Red Robbins,VIR,1974-1975, 6-8,C,30,53,1748,32.9811320755,295,627,.470,3,10,.300,156,181,.862,145,2.7358490566,259,4.88679245283,404,7.62264150943,113,2.1320754717,29,0.547169811321,30,0.566037735849,95,1.79245283019,102,749,14.1320754717,
