Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Rich Kelley,NOJ,1975-1976, 7-0,C,22,75,1346,17.9466666667,184,379,.485,.000,.000,.000,159,205,.776,193,2.57333333333,335,4.46666666667,528,7.04,155,2.06666666667,52,0.693333333333,60,0.8,.000,0.0,209,527,7.02666666667,
Rich Kelley,NOJ,1976-1977, 7-0,C,23,76,1505,19.8026315789,184,386,.477,.000,.000,.000,156,197,.792,210,2.76315789474,377,4.96052631579,587,7.72368421053,208,2.73684210526,45,0.592105263158,63,0.828947368421,.000,0.0,244,524,6.89473684211,
Rich Kelley,NOJ,1977-1978, 7-0,C,24,82,2119,25.8414634146,304,602,.505,.000,.000,.000,225,289,.779,249,3.03658536585,510,6.21951219512,759,9.25609756098,233,2.84146341463,89,1.08536585366,129,1.57317073171,225,2.74390243902,293,833,10.1585365854,
Rich Kelley,NOJ,1978-1979, 7-0,C,25,80,2705,33.8125,440,870,.506,.000,.000,.000,373,458,.814,303,3.7875,723,9.0375,1026,12.825,285,3.5625,126,1.575,166,2.075,288,3.6,309,1253,15.6625,
Rich Kelley,TOT,1979-1980, 7-0,C,26,80,1839,22.9875,229,484,.473,0,3,.000,244,310,.787,200,2.5,315,3.9375,515,6.4375,178,2.225,78,0.975,96,1.2,198,2.475,273,702,8.775,
Rich Kelley,NJN,1979-1980, 7-0,C,26,57,1466,25.7192982456,186,399,.466,0,3,.000,197,250,.788,156,2.73684210526,241,4.22807017544,397,6.9649122807,128,2.24561403509,50,0.877192982456,79,1.38596491228,152,2.66666666667,215,569,9.98245614035,
Rich Kelley,PHO,1979-1980, 7-0,C,26,23,373,16.2173913043,43,85,.506,0,0,.000,47,60,.783,44,1.91304347826,74,3.21739130435,118,5.13043478261,50,2.17391304348,28,1.21739130435,17,0.739130434783,46,2.0,58,133,5.78260869565,
Rich Kelley,PHO,1980-1981, 7-0,C,27,81,1686,20.8148148148,196,387,.506,0,2,.000,175,231,.758,131,1.61728395062,310,3.82716049383,441,5.44444444444,282,3.48148148148,79,0.975308641975,63,0.777777777778,209,2.58024691358,210,567,7.0,
Rich Kelley,PHO,1981-1982, 7-0,C,28,81,1892,23.3580246914,236,505,.467,0,1,.000,167,223,.749,168,2.07407407407,329,4.06172839506,497,6.13580246914,293,3.61728395062,64,0.79012345679,71,0.876543209877,244,3.01234567901,292,639,7.88888888889,
Rich Kelley,TOT,1982-1983, 7-0,C,29,70,1345,19.2142857143,130,293,.444,0,0,.000,142,175,.811,131,1.87142857143,273,3.9,404,5.77142857143,138,1.97142857143,54,0.771428571429,39,0.557142857143,118,1.68571428571,221,402,5.74285714286,
Rich Kelley,DEN,1982-1983, 7-0,C,29,38,565,14.8684210526,59,141,.418,0,0,.000,55,70,.786,61,1.60526315789,111,2.92105263158,172,4.52631578947,59,1.55263157895,21,0.552631578947,18,0.473684210526,53,1.39473684211,115,173,4.55263157895,
Rich Kelley,UTA,1982-1983, 7-0,C,29,32,780,24.375,71,152,.467,0,0,.000,87,105,.829,70,2.1875,162,5.0625,232,7.25,79,2.46875,33,1.03125,21,0.65625,65,2.03125,106,229,7.15625,
Rich Kelley,UTA,1983-1984, 7-0,C,30,75,1674,22.32,132,264,.500,0,0,.000,124,162,.765,140,1.86666666667,350,4.66666666667,490,6.53333333333,157,2.09333333333,55,0.733333333333,29,0.386666666667,148,1.97333333333,273,388,5.17333333333,
Rich Kelley,UTA,1984-1985, 7-0,C,31,77,1276,16.5714285714,103,216,.477,0,2,.000,84,112,.750,118,1.53246753247,232,3.01298701299,350,4.54545454545,120,1.55844155844,42,0.545454545455,30,0.38961038961,124,1.61038961039,227,290,3.76623376623,
Rich Kelley,SAC,1985-1986, 7-0,C,32,37,324,8.75675675676,28,49,.571,0,2,.000,18,22,.818,29,0.783783783784,52,1.40540540541,81,2.18918918919,43,1.16216216216,10,0.27027027027,3,0.0810810810811,22,0.594594594595,62,74,2.0,
