Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Rickey Green,GSW,1977-1978, 6-0,PG,23,76,1098,14.4473684211,143,375,.381,.000,.000,.000,54,90,.600,49,0.644736842105,67,0.881578947368,116,1.52631578947,149,1.96052631579,58,0.763157894737,1,0.0131578947368,79,1.03947368421,95,340,4.47368421053,
Rickey Green,DET,1978-1979, 6-0,PG,24,27,431,15.962962963,67,177,.379,.000,.000,.000,45,67,.672,15,0.555555555556,25,0.925925925926,40,1.48148148148,63,2.33333333333,25,0.925925925926,1,0.037037037037,44,1.62962962963,37,179,6.62962962963,
Rickey Green,UTA,1980-1981, 6-0,PG,26,47,1307,27.8085106383,176,366,.481,0,1,.000,70,97,.722,30,0.63829787234,86,1.82978723404,116,2.46808510638,235,5.0,75,1.59574468085,1,0.0212765957447,83,1.76595744681,123,422,8.97872340426,
Rickey Green,UTA,1981-1982, 6-0,PG,27,81,2822,34.8395061728,500,1015,.493,0,8,.000,202,264,.765,85,1.04938271605,158,1.95061728395,243,3.0,630,7.77777777778,185,2.28395061728,9,0.111111111111,198,2.44444444444,183,1202,14.8395061728,
Rickey Green,UTA,1982-1983, 6-0,PG,28,78,2783,35.6794871795,464,942,.493,2,13,.154,185,232,.797,62,0.794871794872,161,2.0641025641,223,2.85897435897,697,8.9358974359,220,2.82051282051,4,0.0512820512821,222,2.84615384615,154,1115,14.2948717949,
Rickey Green,UTA,1983-1984, 6-0,PG,29,81,2768,34.1728395062,439,904,.486,2,17,.118,192,234,.821,56,0.691358024691,174,2.14814814815,230,2.83950617284,748,9.23456790123,215,2.65432098765,13,0.16049382716,172,2.12345679012,155,1072,13.2345679012,
Rickey Green,UTA,1984-1985, 6-0,PG,30,77,2431,31.5714285714,381,798,.477,6,20,.300,232,267,.869,37,0.480519480519,152,1.97402597403,189,2.45454545455,597,7.75324675325,132,1.71428571429,3,0.038961038961,177,2.2987012987,131,1000,12.987012987,
Rickey Green,UTA,1985-1986, 6-0,PG,31,80,2012,25.15,357,758,.471,5,29,.172,213,250,.852,32,0.4,103,1.2875,135,1.6875,411,5.1375,106,1.325,6,0.075,132,1.65,130,932,11.65,
Rickey Green,UTA,1986-1987, 6-0,PG,32,81,2090,25.8024691358,301,644,.467,7,19,.368,172,208,.827,38,0.469135802469,125,1.54320987654,163,2.01234567901,541,6.67901234568,110,1.35802469136,2,0.0246913580247,133,1.64197530864,108,781,9.64197530864,
Rickey Green,UTA,1987-1988, 6-0,PG,33,81,1116,13.7777777778,157,370,.424,4,19,.211,75,83,.904,14,0.172839506173,66,0.814814814815,80,0.987654320988,300,3.7037037037,57,0.703703703704,1,0.0123456790123,94,1.16049382716,83,393,4.85185185185,
Rickey Green,TOT,1988-1989, 6-0,PG,34,63,871,13.8253968254,129,264,.489,3,11,.273,30,33,.909,11,0.174603174603,58,0.920634920635,69,1.09523809524,187,2.96825396825,40,0.634920634921,2,0.031746031746,61,0.968253968254,35,291,4.61904761905,
Rickey Green,CHH,1988-1989, 6-0,PG,34,33,370,11.2121212121,57,132,.432,1,5,.200,13,14,.929,4,0.121212121212,19,0.575757575758,23,0.69696969697,82,2.48484848485,18,0.545454545455,0,0.0,28,0.848484848485,16,128,3.87878787879,
Rickey Green,MIL,1988-1989, 6-0,PG,34,30,501,16.7,72,132,.545,2,6,.333,17,19,.895,7,0.233333333333,39,1.3,46,1.53333333333,105,3.5,22,0.733333333333,2,0.0666666666667,33,1.1,19,163,5.43333333333,
Rickey Green,IND,1989-1990, 6-0,PG,35,69,927,13.4347826087,100,231,.433,1,11,.091,43,51,.843,9,0.130434782609,45,0.652173913043,54,0.782608695652,182,2.63768115942,51,0.739130434783,1,0.0144927536232,62,0.898550724638,60,244,3.53623188406,
Rickey Green,PHI,1990-1991, 6-0,PG,36,79,2248,28.4556962025,334,722,.463,8,36,.222,117,141,.830,33,0.417721518987,104,1.3164556962,137,1.73417721519,413,5.22784810127,57,0.721518987342,6,0.0759493670886,108,1.36708860759,130,793,10.0379746835,
Rickey Green,BOS,1991-1992, 6-0,PG,37,26,367,14.1153846154,46,103,.447,1,4,.250,13,18,.722,3,0.115384615385,21,0.807692307692,24,0.923076923077,68,2.61538461538,17,0.653846153846,1,0.0384615384615,18,0.692307692308,28,106,4.07692307692,
