Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Ricky Davis,CHH,1998-1999, 6-6,SG,19,46,557,12.1086956522,81,200,.405,2,12,.167,45,59,.763,40,0.869565217391,44,0.95652173913,84,1.82608695652,58,1.26086956522,30,0.652173913043,7,0.152173913043,54,1.17391304348,46,209,4.54347826087,
Ricky Davis,CHH,1999-2000, 6-6,SG,20,48,570,11.875,94,187,.503,0,4,.000,39,51,.765,29,0.604166666667,54,1.125,83,1.72916666667,62,1.29166666667,30,0.625,8,0.166666666667,46,0.958333333333,39,227,4.72916666667,
Ricky Davis,MIA,2000-2001, 6-6,SG,21,7,70,10.0,12,29,.414,1,1,1.000,7,8,.875,1,0.142857142857,6,0.857142857143,7,1.0,11,1.57142857143,5,0.714285714286,2,0.285714285714,5,0.714285714286,7,32,4.57142857143,
Ricky Davis,CLE,2001-2002, 6-6,SF,22,82,1954,23.8292682927,376,781,.481,11,35,.314,196,248,.790,63,0.768292682927,180,2.19512195122,243,2.96341463415,178,2.17073170732,69,0.841463414634,23,0.280487804878,148,1.80487804878,145,959,11.6951219512,
Ricky Davis,CLE,2002-2003, 6-6,SG,23,79,3131,39.6329113924,602,1470,.410,74,204,.363,348,465,.748,97,1.22784810127,293,3.70886075949,390,4.93670886076,436,5.51898734177,125,1.58227848101,36,0.455696202532,277,3.50632911392,180,1626,20.582278481,
Ricky Davis,TOT,2003-2004, 6-6,SF,24,79,2474,31.3164556962,446,950,.469,52,140,.371,196,273,.718,77,0.974683544304,281,3.55696202532,358,4.53164556962,259,3.27848101266,96,1.21518987342,22,0.278481012658,189,2.39240506329,171,1140,14.4303797468,
Ricky Davis,CLE,2003-2004, 6-6,SG,24,22,796,36.1818181818,134,311,.431,17,48,.354,51,75,.680,18,0.818181818182,103,4.68181818182,121,5.5,111,5.04545454545,25,1.13636363636,8,0.363636363636,68,3.09090909091,51,336,15.2727272727,
Ricky Davis,BOS,2003-2004, 6-6,SF,24,57,1678,29.4385964912,312,639,.488,35,92,.380,145,198,.732,59,1.0350877193,178,3.12280701754,237,4.15789473684,148,2.59649122807,71,1.24561403509,14,0.245614035088,121,2.12280701754,120,804,14.1052631579,
Ricky Davis,BOS,2004-2005, 6-6,SG,25,82,2696,32.8780487805,481,1041,.462,61,180,.339,286,351,.815,66,0.80487804878,183,2.23170731707,249,3.03658536585,246,3.0,89,1.08536585366,27,0.329268292683,205,2.5,174,1309,15.9634146341,
Ricky Davis,TOT,2005-2006, 6-6,SG,26,78,3207,41.1153846154,584,1304,.448,73,242,.302,275,345,.797,65,0.833333333333,286,3.66666666667,351,4.5,394,5.05128205128,91,1.16666666667,17,0.217948717949,213,2.73076923077,190,1516,19.4358974359,
Ricky Davis,BOS,2005-2006, 6-6,SG,26,42,1747,41.5952380952,329,709,.464,40,125,.320,129,164,.787,40,0.952380952381,147,3.5,187,4.45238095238,221,5.2619047619,49,1.16666666667,9,0.214285714286,115,2.7380952381,91,827,19.6904761905,
Ricky Davis,MIN,2005-2006, 6-6,SF,26,36,1460,40.5555555556,255,595,.429,33,117,.282,146,181,.807,25,0.694444444444,139,3.86111111111,164,4.55555555556,173,4.80555555556,42,1.16666666667,8,0.222222222222,98,2.72222222222,99,689,19.1388888889,
Ricky Davis,MIN,2006-2007, 6-6,SF,27,81,3021,37.2962962963,506,1089,.465,123,310,.397,239,285,.839,54,0.666666666667,261,3.22222222222,315,3.88888888889,385,4.75308641975,80,0.987654320988,23,0.283950617284,210,2.59259259259,189,1374,16.962962963,
Ricky Davis,MIA,2007-2008, 6-6,SF,28,82,2963,36.1341463415,420,971,.433,135,333,.405,155,197,.787,55,0.670731707317,298,3.63414634146,353,4.30487804878,276,3.36585365854,87,1.06097560976,14,0.170731707317,191,2.32926829268,187,1130,13.7804878049,
Ricky Davis,LAC,2008-2009, 6-6,SG,29,36,785,21.8055555556,83,245,.339,35,111,.315,31,36,.861,9,0.25,51,1.41666666667,60,1.66666666667,82,2.27777777778,19,0.527777777778,5,0.138888888889,39,1.08333333333,63,232,6.44444444444,
Ricky Davis,LAC,2009-2010, 6-6,SF,30,36,499,13.8611111111,62,143,.434,16,42,.381,18,31,.581,10,0.277777777778,47,1.30555555556,57,1.58333333333,39,1.08333333333,11,0.305555555556,3,0.0833333333333,29,0.805555555556,39,158,4.38888888889,
