Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Rod Higgins,CHI,1982-1983, 6-7,SF,23,82,2196,26.7804878049,313,698,.448,13,41,.317,209,264,.792,159,1.93902439024,207,2.5243902439,366,4.46341463415,175,2.13414634146,66,0.80487804878,65,0.792682926829,127,1.5487804878,248,848,10.3414634146,
Rod Higgins,CHI,1983-1984, 6-7,SF,24,78,1577,20.2179487179,193,432,.447,1,22,.045,113,156,.724,87,1.11538461538,119,1.52564102564,206,2.64102564103,116,1.48717948718,49,0.628205128205,29,0.371794871795,76,0.974358974359,161,500,6.41025641026,
Rod Higgins,CHI,1984-1985, 6-7,SF,25,68,942,13.8529411765,119,270,.441,10,37,.270,60,90,.667,55,0.808823529412,92,1.35294117647,147,2.16176470588,73,1.07352941176,21,0.308823529412,13,0.191176470588,49,0.720588235294,91,308,4.52941176471,
Rod Higgins,TOT,1985-1986, 6-7,SF,26,30,332,11.0666666667,39,106,.368,1,9,.111,19,27,.704,14,0.466666666667,37,1.23333333333,51,1.7,24,0.8,9,0.3,11,0.366666666667,13,0.433333333333,49,98,3.26666666667,
Rod Higgins,SEA,1985-1986, 6-7,SF,26,12,94,7.83333333333,9,27,.333,1,4,.250,3,5,.600,3,0.25,9,0.75,12,1.0,6,0.5,2,0.166666666667,1,0.0833333333333,4,0.333333333333,11,22,1.83333333333,
Rod Higgins,SAS,1985-1986, 6-7,SF,26,11,128,11.6363636364,18,40,.450,0,2,.000,11,16,.688,5,0.454545454545,19,1.72727272727,24,2.18181818182,12,1.09090909091,2,0.181818181818,3,0.272727272727,5,0.454545454545,21,47,4.27272727273,
Rod Higgins,NJN,1985-1986, 6-7,SF,26,2,29,14.5,3,16,.188,0,2,.000,0,0,.000,3,1.5,5,2.5,8,4.0,1,0.5,1,0.5,4,2.0,2,1.0,6,6,3.0,
Rod Higgins,CHI,1985-1986, 6-7,SF,26,5,81,16.2,9,23,.391,0,1,.000,5,6,.833,3,0.6,4,0.8,7,1.4,5,1.0,4,0.8,3,0.6,2,0.4,11,23,4.6,
Rod Higgins,GSW,1986-1987, 6-7,SF,27,73,1497,20.5068493151,214,412,.519,3,17,.176,200,240,.833,72,0.986301369863,165,2.2602739726,237,3.24657534247,96,1.31506849315,40,0.547945205479,21,0.287671232877,76,1.04109589041,145,631,8.64383561644,
Rod Higgins,GSW,1987-1988, 6-7,SF,28,68,2188,32.1764705882,381,725,.526,19,39,.487,273,322,.848,94,1.38235294118,199,2.92647058824,293,4.30882352941,188,2.76470588235,70,1.02941176471,31,0.455882352941,111,1.63235294118,188,1054,15.5,
Rod Higgins,GSW,1988-1989, 6-7,PF,29,81,1887,23.2962962963,301,633,.476,66,168,.393,188,229,.821,111,1.37037037037,265,3.27160493827,376,4.64197530864,160,1.97530864198,39,0.481481481481,42,0.518518518519,76,0.938271604938,172,856,10.5679012346,
Rod Higgins,GSW,1989-1990, 6-7,PF,30,82,1993,24.3048780488,304,632,.481,67,193,.347,234,285,.821,120,1.46341463415,302,3.68292682927,422,5.14634146341,129,1.57317073171,47,0.573170731707,53,0.646341463415,93,1.13414634146,184,909,11.0853658537,
Rod Higgins,GSW,1990-1991, 6-7,SF,31,82,2024,24.6829268293,259,559,.463,73,220,.332,185,226,.819,109,1.32926829268,245,2.98780487805,354,4.31707317073,113,1.37804878049,52,0.634146341463,37,0.451219512195,65,0.792682926829,198,776,9.46341463415,
Rod Higgins,GSW,1991-1992, 6-7,SF,32,25,535,21.4,87,211,.412,33,95,.347,48,59,.814,30,1.2,55,2.2,85,3.4,22,0.88,15,0.6,13,0.52,15,0.6,75,255,10.2,
Rod Higgins,SAC,1992-1993, 6-7,SF,33,69,1425,20.652173913,199,483,.412,43,133,.323,130,151,.861,66,0.95652173913,127,1.84057971014,193,2.79710144928,119,1.72463768116,51,0.739130434783,29,0.420289855072,63,0.913043478261,141,571,8.27536231884,
Rod Higgins,CLE,1993-1994, 6-7,SF,34,36,547,15.1944444444,71,163,.436,22,50,.440,31,42,.738,25,0.694444444444,57,1.58333333333,82,2.27777777778,36,1.0,25,0.694444444444,14,0.388888888889,21,0.583333333333,53,195,5.41666666667,
Rod Higgins,GSW,1994-1995, 6-7,SF,35,5,46,9.2,3,12,.250,1,6,.167,3,4,.750,4,0.8,3,0.6,7,1.4,3,0.6,1,0.2,1,0.2,1,0.2,7,10,2.0,
