Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Rodney Rogers,DEN,1993-1994, 6-7,SF,22,79,1406,17.7974683544,239,545,.439,35,92,.380,127,189,.672,90,1.13924050633,136,1.72151898734,226,2.86075949367,101,1.27848101266,63,0.79746835443,48,0.607594936709,131,1.6582278481,195,640,8.10126582278,
Rodney Rogers,DEN,1994-1995, 6-7,PF,23,80,2142,26.775,375,769,.488,50,148,.338,179,275,.651,132,1.65,253,3.1625,385,4.8125,161,2.0125,95,1.1875,46,0.575,173,2.1625,281,979,12.2375,
Rodney Rogers,LAC,1995-1996, 6-7,SF,24,67,1950,29.1044776119,306,641,.477,49,153,.320,113,180,.628,113,1.68656716418,173,2.58208955224,286,4.26865671642,167,2.49253731343,75,1.11940298507,35,0.522388059701,144,2.14925373134,216,774,11.552238806,
Rodney Rogers,LAC,1996-1997, 6-7,SF,25,81,2480,30.6172839506,408,884,.462,65,180,.361,191,288,.663,137,1.69135802469,274,3.38271604938,411,5.07407407407,222,2.74074074074,88,1.08641975309,61,0.753086419753,221,2.72839506173,272,1072,13.2345679012,
Rodney Rogers,LAC,1997-1998, 6-7,SF,26,76,2499,32.8815789474,426,935,.456,72,212,.340,225,328,.686,155,2.03947368421,269,3.53947368421,424,5.57894736842,202,2.65789473684,93,1.22368421053,38,0.5,193,2.53947368421,242,1149,15.1184210526,
Rodney Rogers,LAC,1998-1999, 6-7,SF,27,47,968,20.5957446809,131,297,.441,18,63,.286,68,101,.673,65,1.3829787234,114,2.42553191489,179,3.8085106383,77,1.63829787234,47,1.0,22,0.468085106383,66,1.40425531915,140,348,7.40425531915,
Rodney Rogers,PHO,1999-2000, 6-7,PF,28,82,2286,27.8780487805,428,881,.486,115,262,.439,159,249,.639,138,1.68292682927,309,3.76829268293,447,5.4512195122,170,2.07317073171,94,1.14634146341,47,0.573170731707,163,1.98780487805,290,1130,13.7804878049,
Rodney Rogers,PHO,2000-2001, 6-7,SF,29,82,2183,26.6219512195,377,876,.430,56,189,.296,188,247,.761,94,1.14634146341,265,3.23170731707,359,4.37804878049,180,2.19512195122,97,1.18292682927,47,0.573170731707,157,1.91463414634,269,998,12.1707317073,
Rodney Rogers,TOT,2001-2002, 6-7,SF,30,77,1880,24.4155844156,356,756,.471,88,235,.374,117,149,.785,129,1.67532467532,219,2.84415584416,348,4.51948051948,112,1.45454545455,66,0.857142857143,29,0.376623376623,108,1.4025974026,226,917,11.9090909091,
Rodney Rogers,PHO,2001-2002, 6-7,SF,30,50,1254,25.08,249,534,.466,49,140,.350,82,99,.828,95,1.9,146,2.92,241,4.82,72,1.44,50,1.0,17,0.34,66,1.32,148,629,12.58,
Rodney Rogers,BOS,2001-2002, 6-7,SF,30,27,626,23.1851851852,107,222,.482,39,95,.411,35,50,.700,34,1.25925925926,73,2.7037037037,107,3.96296296296,40,1.48148148148,16,0.592592592593,12,0.444444444444,42,1.55555555556,78,288,10.6666666667,
Rodney Rogers,NJN,2002-2003, 6-7,PF,31,68,1303,19.1617647059,183,455,.402,44,132,.333,68,90,.756,61,0.897058823529,202,2.97058823529,263,3.86764705882,107,1.57352941176,50,0.735294117647,31,0.455882352941,91,1.33823529412,192,478,7.02941176471,
Rodney Rogers,NJN,2003-2004, 6-7,PF,32,69,1409,20.4202898551,207,505,.410,50,152,.329,75,98,.765,100,1.44927536232,207,3.0,307,4.44927536232,137,1.98550724638,59,0.855072463768,27,0.391304347826,98,1.42028985507,183,539,7.8115942029,
Rodney Rogers,TOT,2004-2005, 6-7,SF,33,58,1367,23.5689655172,172,450,.382,48,168,.286,52,70,.743,61,1.05172413793,185,3.18965517241,246,4.24137931034,86,1.48275862069,41,0.706896551724,20,0.344827586207,86,1.48275862069,172,444,7.65517241379,
Rodney Rogers,NOH,2004-2005, 6-7,SF,33,30,882,29.4,109,289,.377,25,92,.272,32,42,.762,28,0.933333333333,114,3.8,142,4.73333333333,60,2.0,19,0.633333333333,12,0.4,66,2.2,103,275,9.16666666667,
Rodney Rogers,PHI,2004-2005, 6-7,PF,33,28,485,17.3214285714,63,161,.391,23,76,.303,20,28,.714,33,1.17857142857,71,2.53571428571,104,3.71428571429,26,0.928571428571,22,0.785714285714,8,0.285714285714,20,0.714285714286,69,169,6.03571428571,
