Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Roger Phegley,WSB,1978-1979, 6-6,SG,22,29,153,5.27586206897,28,78,.359,.000,.000,.000,24,29,.828,5,0.172413793103,17,0.586206896552,22,0.758620689655,15,0.51724137931,5,0.172413793103,2,0.0689655172414,17,0.586206896552,21,80,2.75862068966,
Roger Phegley,TOT,1979-1980, 6-6,SG,23,78,1512,19.3846153846,350,733,.477,4,9,.444,177,203,.872,75,0.961538461538,110,1.41025641026,185,2.37179487179,102,1.30769230769,34,0.435897435897,7,0.0897435897436,119,1.52564102564,158,881,11.2948717949,
Roger Phegley,WSB,1979-1980, 6-6,SG,23,50,971,19.42,224,473,.474,2,5,.400,104,120,.867,49,0.98,66,1.32,115,2.3,70,1.4,19,0.38,3,0.06,70,1.4,106,554,11.08,
Roger Phegley,NJN,1979-1980, 6-6,SG,23,28,541,19.3214285714,126,260,.485,2,4,.500,73,83,.880,26,0.928571428571,44,1.57142857143,70,2.5,32,1.14285714286,15,0.535714285714,4,0.142857142857,49,1.75,52,327,11.6785714286,
Roger Phegley,CLE,1980-1981, 6-6,SG,24,82,2269,27.6707317073,474,965,.491,8,28,.286,224,267,.839,90,1.09756097561,156,1.90243902439,246,3.0,184,2.24390243902,65,0.792682926829,15,0.182926829268,165,2.01219512195,262,1180,14.3902439024,
Roger Phegley,TOT,1981-1982, 6-6,SG,25,81,1183,14.6049382716,233,507,.460,5,31,.161,85,109,.780,61,0.753086419753,93,1.14814814815,154,1.9012345679,114,1.40740740741,36,0.444444444444,8,0.0987654320988,66,0.814814814815,152,556,6.86419753086,
Roger Phegley,CLE,1981-1982, 6-6,SG,25,27,566,20.962962963,104,214,.486,4,13,.308,36,45,.800,28,1.03703703704,43,1.59259259259,71,2.62962962963,53,1.96296296296,16,0.592592592593,2,0.0740740740741,33,1.22222222222,61,248,9.18518518519,
Roger Phegley,SAS,1981-1982, 6-6,SG,25,54,617,11.4259259259,129,293,.440,1,18,.056,49,64,.766,33,0.611111111111,50,0.925925925926,83,1.53703703704,61,1.12962962963,20,0.37037037037,6,0.111111111111,33,0.611111111111,91,308,5.7037037037,
Roger Phegley,SAS,1982-1983, 6-6,SG,26,62,599,9.66129032258,120,267,.449,3,14,.214,43,56,.768,39,0.629032258065,45,0.725806451613,84,1.35483870968,60,0.967741935484,30,0.483870967742,8,0.129032258065,49,0.790322580645,92,286,4.61290322581,
Roger Phegley,TOT,1983-1984, 6-6,SG,27,13,87,6.69230769231,11,35,.314,2,5,.400,4,4,1.000,2,0.153846153846,9,0.692307692308,11,0.846153846154,11,0.846153846154,1,0.0769230769231,0,0.0,6,0.461538461538,11,28,2.15384615385,
Roger Phegley,SAS,1983-1984, 6-6,SG,27,3,11,3.66666666667,2,4,.500,1,1,1.000,2,2,1.000,0,0.0,2,0.666666666667,2,0.666666666667,2,0.666666666667,0,0.0,0,0.0,1,0.333333333333,1,7,2.33333333333,
Roger Phegley,DAL,1983-1984, 6-6,SG,27,10,76,7.6,9,31,.290,1,4,.250,2,2,1.000,2,0.2,7,0.7,9,0.9,9,0.9,1,0.1,0,0.0,5,0.5,10,21,2.1,
