Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Ron Anderson,CLE,1984-1985, 6-7,SF,26,36,520,14.4444444444,84,195,.431,1,2,.500,41,50,.820,39,1.08333333333,49,1.36111111111,88,2.44444444444,34,0.944444444444,9,0.25,7,0.194444444444,34,0.944444444444,40,210,5.83333333333,
Ron Anderson,TOT,1985-1986, 6-7,SF,27,77,1676,21.7662337662,310,628,.494,2,9,.222,85,127,.669,130,1.68831168831,144,1.87012987013,274,3.55844155844,144,1.87012987013,56,0.727272727273,6,0.0779220779221,82,1.06493506494,125,707,9.18181818182,
Ron Anderson,CLE,1985-1986, 6-7,SF,27,17,207,12.1764705882,37,74,.500,0,1,.000,12,16,.750,5,0.294117647059,21,1.23529411765,26,1.52941176471,8,0.470588235294,1,0.0588235294118,0,0.0,6,0.352941176471,20,86,5.05882352941,
Ron Anderson,IND,1985-1986, 6-7,SF,27,60,1469,24.4833333333,273,554,.493,2,8,.250,73,111,.658,125,2.08333333333,123,2.05,248,4.13333333333,136,2.26666666667,55,0.916666666667,6,0.1,76,1.26666666667,105,621,10.35,
Ron Anderson,IND,1986-1987, 6-7,SF,28,63,721,11.4444444444,139,294,.473,0,5,.000,85,108,.787,73,1.15873015873,78,1.2380952381,151,2.39682539683,54,0.857142857143,31,0.492063492063,3,0.047619047619,55,0.873015873016,65,363,5.7619047619,
Ron Anderson,IND,1987-1988, 6-7,SF,29,74,1097,14.8243243243,217,436,.498,0,2,.000,108,141,.766,89,1.2027027027,127,1.71621621622,216,2.91891891892,78,1.05405405405,41,0.554054054054,6,0.0810810810811,73,0.986486486486,98,542,7.32432432432,
Ron Anderson,PHI,1988-1989, 6-7,SF,30,82,2618,31.9268292683,566,1152,.491,2,11,.182,196,229,.856,167,2.03658536585,239,2.91463414634,406,4.9512195122,139,1.69512195122,71,0.865853658537,23,0.280487804878,126,1.53658536585,166,1330,16.2195121951,
Ron Anderson,PHI,1989-1990, 6-7,SF,31,78,2089,26.7820512821,379,841,.451,3,21,.143,165,197,.838,81,1.03846153846,214,2.74358974359,295,3.78205128205,143,1.83333333333,72,0.923076923077,13,0.166666666667,78,1.0,143,926,11.8717948718,
Ron Anderson,PHI,1990-1991, 6-7,SF,32,82,2340,28.5365853659,512,1055,.485,9,43,.209,165,198,.833,103,1.25609756098,264,3.21951219512,367,4.4756097561,115,1.40243902439,65,0.792682926829,13,0.158536585366,100,1.21951219512,163,1198,14.6097560976,
Ron Anderson,PHI,1991-1992, 6-7,SF,33,82,2432,29.6585365854,469,1008,.465,42,127,.331,143,163,.877,96,1.17073170732,182,2.21951219512,278,3.39024390244,135,1.64634146341,86,1.0487804878,11,0.134146341463,109,1.32926829268,128,1123,13.6951219512,
Ron Anderson,PHI,1992-1993, 6-7,SF,34,69,1263,18.3043478261,225,544,.414,39,120,.325,72,89,.809,62,0.898550724638,122,1.76811594203,184,2.66666666667,93,1.34782608696,31,0.449275362319,5,0.0724637681159,63,0.913043478261,75,561,8.13043478261,
Ron Anderson,TOT,1993-1994, 6-7,SF,35,21,356,16.9523809524,35,86,.407,7,26,.269,19,23,.826,16,0.761904761905,37,1.7619047619,53,2.52380952381,17,0.809523809524,8,0.380952380952,3,0.142857142857,10,0.47619047619,16,96,4.57142857143,
Ron Anderson,NJN,1993-1994, 6-7,SF,35,11,176,16.0,15,43,.349,4,12,.333,10,12,.833,8,0.727272727273,18,1.63636363636,26,2.36363636364,6,0.545454545455,5,0.454545454545,2,0.181818181818,1,0.0909090909091,9,44,4.0,
Ron Anderson,WSB,1993-1994, 6-7,SF,35,10,180,18.0,20,43,.465,3,14,.214,9,11,.818,8,0.8,19,1.9,27,2.7,11,1.1,3,0.3,1,0.1,9,0.9,7,52,5.2,
