Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Ron Harper,CLE,1986-1987, 6-6,SG,23,82,3064,37.3658536585,734,1614,.455,20,94,.213,386,564,.684,169,2.06097560976,223,2.71951219512,392,4.78048780488,394,4.80487804878,209,2.5487804878,84,1.0243902439,345,4.20731707317,247,1874,22.8536585366,
Ron Harper,CLE,1987-1988, 6-6,SG,24,57,1830,32.1052631579,340,732,.464,3,20,.150,196,278,.705,64,1.12280701754,159,2.78947368421,223,3.91228070175,281,4.9298245614,122,2.14035087719,52,0.912280701754,158,2.77192982456,157,879,15.4210526316,
Ron Harper,CLE,1988-1989, 6-6,SG,25,82,2851,34.7682926829,587,1149,.511,29,116,.250,323,430,.751,122,1.48780487805,287,3.5,409,4.98780487805,434,5.29268292683,185,2.25609756098,74,0.90243902439,230,2.80487804878,224,1526,18.6097560976,
Ron Harper,TOT,1989-1990, 6-6,SG,26,35,1367,39.0571428571,301,637,.473,14,51,.275,182,231,.788,74,2.11428571429,132,3.77142857143,206,5.88571428571,182,5.2,81,2.31428571429,41,1.17142857143,100,2.85714285714,105,798,22.8,
Ron Harper,CLE,1989-1990, 6-6,SG,26,7,262,37.4285714286,61,138,.442,1,5,.200,31,41,.756,19,2.71428571429,29,4.14285714286,48,6.85714285714,49,7.0,14,2.0,9,1.28571428571,18,2.57142857143,25,154,22.0,
Ron Harper,LAC,1989-1990, 6-6,SG,26,28,1105,39.4642857143,240,499,.481,13,46,.283,151,190,.795,55,1.96428571429,103,3.67857142857,158,5.64285714286,133,4.75,67,2.39285714286,32,1.14285714286,82,2.92857142857,80,644,23.0,
Ron Harper,LAC,1990-1991, 6-6,SG,27,39,1383,35.4615384615,285,729,.391,48,148,.324,145,217,.668,58,1.48717948718,130,3.33333333333,188,4.82051282051,209,5.35897435897,66,1.69230769231,35,0.897435897436,129,3.30769230769,111,763,19.5641025641,
Ron Harper,LAC,1991-1992, 6-6,SG,28,82,3144,38.3414634146,569,1292,.440,64,211,.303,293,398,.736,120,1.46341463415,327,3.98780487805,447,5.4512195122,417,5.08536585366,152,1.85365853659,72,0.878048780488,252,3.07317073171,199,1495,18.2317073171,
Ron Harper,LAC,1992-1993, 6-6,SG,29,80,2970,37.125,542,1203,.451,52,186,.280,307,399,.769,117,1.4625,308,3.85,425,5.3125,360,4.5,177,2.2125,73,0.9125,222,2.775,212,1443,18.0375,
Ron Harper,LAC,1993-1994, 6-6,SG,30,75,2856,38.08,569,1335,.426,71,236,.301,299,418,.715,129,1.72,331,4.41333333333,460,6.13333333333,344,4.58666666667,144,1.92,54,0.72,242,3.22666666667,167,1508,20.1066666667,
Ron Harper,CHI,1994-1995, 6-6,SG,31,77,1536,19.9480519481,209,491,.426,31,110,.282,81,131,.618,51,0.662337662338,129,1.67532467532,180,2.33766233766,157,2.03896103896,97,1.25974025974,27,0.350649350649,100,1.2987012987,132,530,6.88311688312,
Ron Harper,CHI,1995-1996, 6-6,PG,32,80,1886,23.575,234,501,.467,28,104,.269,98,139,.705,74,0.925,139,1.7375,213,2.6625,208,2.6,105,1.3125,32,0.4,73,0.9125,137,594,7.425,
Ron Harper,CHI,1996-1997, 6-6,SG,33,76,1740,22.8947368421,177,406,.436,68,188,.362,58,82,.707,46,0.605263157895,147,1.93421052632,193,2.53947368421,191,2.51315789474,86,1.13157894737,38,0.5,50,0.657894736842,138,480,6.31578947368,
Ron Harper,CHI,1997-1998, 6-6,PG,34,82,2284,27.8536585366,293,665,.441,16,84,.190,162,216,.750,107,1.30487804878,183,2.23170731707,290,3.53658536585,241,2.93902439024,108,1.31707317073,48,0.585365853659,91,1.10975609756,181,764,9.31707317073,
Ron Harper,CHI,1998-1999, 6-6,SG,35,35,1107,31.6285714286,147,390,.377,27,85,.318,71,101,.703,49,1.4,131,3.74285714286,180,5.14285714286,115,3.28571428571,60,1.71428571429,35,1.0,65,1.85714285714,80,392,11.2,
Ron Harper,LAL,1999-2000, 6-6,PG,36,80,2042,25.525,212,531,.399,33,106,.311,100,147,.680,96,1.2,241,3.0125,337,4.2125,270,3.375,85,1.0625,39,0.4875,132,1.65,164,557,6.9625,
Ron Harper,LAL,2000-2001, 6-6,PG,37,47,1139,24.2340425532,127,271,.469,19,72,.264,34,48,.708,46,0.978723404255,120,2.55319148936,166,3.53191489362,113,2.40425531915,39,0.829787234043,25,0.531914893617,62,1.31914893617,70,307,6.53191489362,
