Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Ron Lee,PHO,1976-1977, 6-4,PG,24,82,1849,22.5487804878,347,786,.441,.000,.000,.000,142,210,.676,99,1.20731707317,200,2.43902439024,299,3.64634146341,263,3.20731707317,156,1.90243902439,33,0.40243902439,.000,0.0,276,836,10.1951219512,
Ron Lee,PHO,1977-1978, 6-4,PG,25,82,1928,23.512195122,417,950,.439,.000,.000,.000,170,228,.746,95,1.15853658537,159,1.93902439024,254,3.09756097561,305,3.71951219512,225,2.74390243902,17,0.207317073171,221,2.69512195122,257,1004,12.243902439,
Ron Lee,TOT,1978-1979, 6-4,PG,26,60,1346,22.4333333333,218,507,.430,.000,.000,.000,98,141,.695,63,1.05,105,1.75,168,2.8,205,3.41666666667,107,1.78333333333,6,0.1,165,2.75,182,534,8.9,
Ron Lee,PHO,1978-1979, 6-4,PG,26,43,948,22.0465116279,173,383,.452,.000,.000,.000,74,104,.712,42,0.976744186047,71,1.6511627907,113,2.62790697674,132,3.06976744186,69,1.60465116279,4,0.093023255814,116,2.6976744186,138,420,9.76744186047,
Ron Lee,NOJ,1978-1979, 6-4,PG,26,17,398,23.4117647059,45,124,.363,.000,.000,.000,24,37,.649,21,1.23529411765,34,2.0,55,3.23529411765,73,4.29411764706,38,2.23529411765,2,0.117647058824,49,2.88235294118,44,114,6.70588235294,
Ron Lee,TOT,1979-1980, 6-4,PG,27,61,1167,19.131147541,113,305,.370,22,59,.373,44,70,.629,40,0.655737704918,83,1.3606557377,123,2.01639344262,241,3.95081967213,99,1.62295081967,17,0.27868852459,101,1.65573770492,172,292,4.7868852459,
Ron Lee,ATL,1979-1980, 6-4,PG,27,30,364,12.1333333333,29,91,.319,0,3,.000,9,17,.529,11,0.366666666667,22,0.733333333333,33,1.1,67,2.23333333333,15,0.5,4,0.133333333333,33,1.1,65,67,2.23333333333,
Ron Lee,DET,1979-1980, 6-4,PG,27,31,803,25.9032258065,84,214,.393,22,56,.393,35,53,.660,29,0.935483870968,61,1.96774193548,90,2.90322580645,174,5.61290322581,84,2.70967741935,13,0.41935483871,68,2.1935483871,107,225,7.25806451613,
Ron Lee,DET,1980-1981, 6-4,PG,28,82,1829,22.3048780488,113,323,.350,2,13,.154,113,156,.724,65,0.792682926829,155,1.89024390244,220,2.68292682927,362,4.41463414634,166,2.0243902439,29,0.353658536585,173,2.10975609756,260,341,4.15853658537,
Ron Lee,DET,1981-1982, 6-4,PG,29,81,1467,18.1111111111,88,246,.358,18,59,.305,84,119,.706,35,0.432098765432,120,1.48148148148,155,1.91358024691,312,3.85185185185,116,1.43209876543,20,0.246913580247,123,1.51851851852,221,278,3.43209876543,
