Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Ron Mercer,BOS,1997-1998, 6-7,SG,21,80,2662,33.275,515,1145,.450,3,28,.107,188,224,.839,109,1.3625,171,2.1375,280,3.5,176,2.2,125,1.5625,17,0.2125,132,1.65,213,1221,15.2625,
Ron Mercer,BOS,1998-1999, 6-7,SG,22,41,1551,37.8292682927,305,707,.431,5,30,.167,83,105,.790,37,0.90243902439,118,2.87804878049,155,3.78048780488,104,2.53658536585,67,1.63414634146,12,0.292682926829,89,2.17073170732,81,698,17.0243902439,
Ron Mercer,TOT,1999-2000, 6-7,SG,23,68,2377,34.9558823529,460,1080,.426,15,48,.313,213,270,.789,64,0.941176470588,186,2.73529411765,250,3.67647058824,158,2.32352941176,75,1.10294117647,23,0.338235294118,151,2.22058823529,151,1148,16.8823529412,
Ron Mercer,DEN,1999-2000, 6-7,SG,23,37,1408,38.0540540541,272,612,.444,15,39,.385,119,151,.788,29,0.783783783784,123,3.32432432432,152,4.10810810811,104,2.81081081081,33,0.891891891892,15,0.405405405405,87,2.35135135135,75,678,18.3243243243,
Ron Mercer,ORL,1999-2000, 6-7,SG,23,31,969,31.2580645161,188,468,.402,0,9,.000,94,119,.790,35,1.12903225806,63,2.03225806452,98,3.16129032258,54,1.74193548387,42,1.35483870968,8,0.258064516129,64,2.06451612903,76,470,15.1612903226,
Ron Mercer,CHI,2000-2001, 6-7,SG,24,61,2535,41.5573770492,500,1121,.446,14,46,.304,188,228,.825,72,1.18032786885,164,2.68852459016,236,3.86885245902,201,3.29508196721,78,1.27868852459,27,0.44262295082,129,2.11475409836,148,1202,19.7049180328,
Ron Mercer,TOT,2001-2002, 6-7,SG,25,53,1716,32.3773584906,311,784,.397,18,62,.290,95,119,.798,50,0.943396226415,128,2.41509433962,178,3.35849056604,128,2.41509433962,32,0.603773584906,13,0.245283018868,88,1.66037735849,108,735,13.8679245283,
Ron Mercer,CHI,2001-2002, 6-7,SG,25,40,1503,37.575,286,717,.399,17,57,.298,84,108,.778,44,1.1,111,2.775,155,3.875,118,2.95,30,0.75,10,0.25,79,1.975,86,673,16.825,
Ron Mercer,IND,2001-2002, 6-7,SG,25,13,213,16.3846153846,25,67,.373,1,5,.200,11,11,1.000,6,0.461538461538,17,1.30769230769,23,1.76923076923,10,0.769230769231,2,0.153846153846,3,0.230769230769,9,0.692307692308,22,62,4.76923076923,
Ron Mercer,IND,2002-2003, 6-7,SG,26,72,1671,23.2083333333,244,597,.409,3,16,.188,65,81,.802,32,0.444444444444,122,1.69444444444,154,2.13888888889,112,1.55555555556,49,0.680555555556,14,0.194444444444,54,0.75,123,556,7.72222222222,
Ron Mercer,SAS,2003-2004, 6-7,SG,27,39,516,13.2307692308,90,211,.427,2,7,.286,13,17,.765,10,0.25641025641,39,1.0,49,1.25641025641,22,0.564102564103,14,0.358974358974,5,0.128205128205,26,0.666666666667,37,195,5.0,
Ron Mercer,NJN,2004-2005, 6-7,SF,28,18,390,21.6666666667,65,158,.411,0,3,.000,7,10,.700,9,0.5,31,1.72222222222,40,2.22222222222,20,1.11111111111,16,0.888888888889,2,0.111111111111,14,0.777777777778,20,137,7.61111111111,
