Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Royal Ivey,ATL,2004-2005, 6-3,PG,23,62,809,13.0483870968,85,198,.429,3,9,.333,47,67,.701,19,0.306451612903,65,1.04838709677,84,1.35483870968,103,1.66129032258,39,0.629032258065,7,0.112903225806,58,0.935483870968,140,220,3.54838709677,
Royal Ivey,ATL,2005-2006, 6-3,PG,24,73,978,13.397260274,116,264,.439,4,10,.400,24,33,.727,31,0.424657534247,65,0.890410958904,96,1.31506849315,74,1.01369863014,24,0.328767123288,7,0.0958904109589,23,0.315068493151,147,260,3.56164383562,
Royal Ivey,ATL,2006-2007, 6-3,PG,25,53,539,10.1698113208,64,143,.448,5,16,.313,24,35,.686,15,0.283018867925,36,0.679245283019,51,0.962264150943,45,0.849056603774,24,0.452830188679,4,0.0754716981132,31,0.584905660377,62,157,2.96226415094,
Royal Ivey,MIL,2007-2008, 6-3,PG,26,75,1437,19.16,149,378,.394,35,107,.327,85,117,.726,38,0.506666666667,80,1.06666666667,118,1.57333333333,160,2.13333333333,45,0.6,7,0.0933333333333,75,1.0,166,418,5.57333333333,
Royal Ivey,PHI,2008-2009, 6-3,SG,27,71,861,12.1267605634,69,208,.332,39,114,.342,34,43,.791,19,0.267605633803,57,0.802816901408,76,1.07042253521,43,0.605633802817,36,0.507042253521,7,0.0985915492958,23,0.323943661972,76,211,2.97183098592,
Royal Ivey,TOT,2009-2010, 6-3,SG,28,44,326,7.40909090909,35,83,.422,14,35,.400,9,12,.750,6,0.136363636364,28,0.636363636364,34,0.772727272727,27,0.613636363636,19,0.431818181818,2,0.0454545454545,11,0.25,39,93,2.11363636364,
Royal Ivey,PHI,2009-2010, 6-3,SG,28,26,236,9.07692307692,26,55,.473,12,24,.500,6,7,.857,5,0.192307692308,21,0.807692307692,26,1.0,17,0.653846153846,10,0.384615384615,2,0.0769230769231,5,0.192307692308,25,70,2.69230769231,
Royal Ivey,MIL,2009-2010, 6-3,SG,28,18,90,5.0,9,28,.321,2,11,.182,3,5,.600,1,0.0555555555556,7,0.388888888889,8,0.444444444444,10,0.555555555556,9,0.5,0,0.0,6,0.333333333333,14,23,1.27777777778,
Royal Ivey,OKC,2010-2011, 6-3,SG,29,25,155,6.2,16,38,.421,7,16,.438,2,2,1.000,2,0.08,14,0.56,16,0.64,7,0.28,6,0.24,1,0.04,5,0.2,17,41,1.64,
Royal Ivey,OKC,2011-2012, 6-3,SG,30,34,354,10.4117647059,26,73,.356,18,53,.340,1,8,.125,1,0.0294117647059,23,0.676470588235,24,0.705882352941,10,0.294117647059,14,0.411764705882,0,0.0,9,0.264705882353,36,71,2.08823529412,
Royal Ivey,PHI,2012-2013, 6-3,PG,31,43,571,13.2790697674,50,111,.450,31,69,.449,9,15,.600,14,0.325581395349,34,0.790697674419,48,1.11627906977,24,0.558139534884,19,0.441860465116,3,0.0697674418605,17,0.395348837209,62,140,3.25581395349,
