Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Rudy Tomjanovich,SDR,1970-1971, 6-8,PF,22,77,1062,13.7922077922,168,439,.383,.000,.000,.000,73,112,.652,.000,0.0,.000,0.0,381,4.94805194805,73,0.948051948052,.000,0.0,.000,0.0,.000,0.0,124,409,5.31168831169,
Rudy Tomjanovich,HOU,1971-1972, 6-8,PF,23,78,2689,34.4743589744,500,1010,.495,.000,.000,.000,172,238,.723,.000,0.0,.000,0.0,923,11.8333333333,117,1.5,.000,0.0,.000,0.0,.000,0.0,193,1172,15.0256410256,
Rudy Tomjanovich,HOU,1972-1973, 6-8,PF,24,81,2972,36.6913580247,655,1371,.478,.000,.000,.000,250,335,.746,.000,0.0,.000,0.0,938,11.5802469136,178,2.1975308642,.000,0.0,.000,0.0,.000,0.0,225,1560,19.2592592593,
Rudy Tomjanovich,HOU,1973-1974, 6-8,SF,25,80,3227,40.3375,788,1470,.536,.000,.000,.000,385,454,.848,230,2.875,487,6.0875,717,8.9625,250,3.125,89,1.1125,66,0.825,.000,0.0,230,1961,24.5125,
Rudy Tomjanovich,HOU,1974-1975, 6-8,PF,26,81,3134,38.6913580247,694,1323,.525,.000,.000,.000,289,366,.790,184,2.27160493827,429,5.2962962963,613,7.56790123457,236,2.91358024691,76,0.938271604938,24,0.296296296296,.000,0.0,230,1677,20.7037037037,
Rudy Tomjanovich,HOU,1975-1976, 6-8,PF,27,79,2912,36.8607594937,622,1202,.517,.000,.000,.000,221,288,.767,167,2.11392405063,499,6.3164556962,666,8.43037974684,188,2.37974683544,42,0.53164556962,19,0.240506329114,.000,0.0,206,1465,18.5443037975,
Rudy Tomjanovich,HOU,1976-1977, 6-8,PF,28,81,3130,38.6419753086,733,1437,.510,.000,.000,.000,287,342,.839,172,2.12345679012,512,6.32098765432,684,8.44444444444,172,2.12345679012,57,0.703703703704,27,0.333333333333,.000,0.0,198,1753,21.6419753086,
Rudy Tomjanovich,HOU,1977-1978, 6-8,SF,29,23,849,36.9130434783,217,447,.485,.000,.000,.000,61,81,.753,40,1.73913043478,98,4.26086956522,138,6.0,32,1.39130434783,15,0.652173913043,5,0.217391304348,38,1.65217391304,63,495,21.5217391304,
Rudy Tomjanovich,HOU,1978-1979, 6-8,PF,30,74,2641,35.6891891892,620,1200,.517,.000,.000,.000,168,221,.760,170,2.2972972973,402,5.43243243243,572,7.72972972973,137,1.85135135135,44,0.594594594595,18,0.243243243243,138,1.86486486486,186,1408,19.027027027,
Rudy Tomjanovich,HOU,1979-1980, 6-8,PF,31,62,1834,29.5806451613,370,778,.476,22,79,.278,118,147,.803,132,2.12903225806,226,3.64516129032,358,5.77419354839,109,1.75806451613,32,0.516129032258,10,0.161290322581,98,1.58064516129,161,880,14.1935483871,
Rudy Tomjanovich,HOU,1980-1981, 6-8,PF,32,52,1264,24.3076923077,263,563,.467,12,51,.235,65,82,.793,78,1.5,130,2.5,208,4.0,81,1.55769230769,19,0.365384615385,6,0.115384615385,58,1.11538461538,121,603,11.5961538462,
