Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Sam Bowie,POR,1984-1985, 7-1,C,23,76,2216,29.1578947368,299,557,.537,0,0,.000,160,225,.711,207,2.72368421053,449,5.90789473684,656,8.63157894737,215,2.82894736842,55,0.723684210526,203,2.67105263158,172,2.26315789474,278,758,9.97368421053,
Sam Bowie,POR,1985-1986, 7-1,C,24,38,1132,29.7894736842,167,345,.484,0,0,.000,114,161,.708,93,2.44736842105,234,6.15789473684,327,8.60526315789,99,2.60526315789,21,0.552631578947,96,2.52631578947,88,2.31578947368,142,448,11.7894736842,
Sam Bowie,POR,1986-1987, 7-1,C,25,5,163,32.6,30,66,.455,0,0,.000,20,30,.667,14,2.8,19,3.8,33,6.6,9,1.8,1,0.2,10,2.0,15,3.0,19,80,16.0,
Sam Bowie,POR,1988-1989, 7-1,C,27,20,412,20.6,69,153,.451,5,7,.714,28,49,.571,36,1.8,70,3.5,106,5.3,36,1.8,7,0.35,33,1.65,33,1.65,43,171,8.55,
Sam Bowie,NJN,1989-1990, 7-1,C,28,68,2207,32.4558823529,347,834,.416,10,31,.323,294,379,.776,206,3.02941176471,484,7.11764705882,690,10.1470588235,91,1.33823529412,38,0.558823529412,121,1.77941176471,125,1.83823529412,211,998,14.6764705882,
Sam Bowie,NJN,1990-1991, 7-1,C,29,62,1916,30.9032258065,314,723,.434,4,22,.182,169,231,.732,176,2.83870967742,304,4.90322580645,480,7.74193548387,147,2.37096774194,43,0.693548387097,90,1.45161290323,141,2.27419354839,175,801,12.9193548387,
Sam Bowie,NJN,1991-1992, 7-1,C,30,71,2179,30.6901408451,421,947,.445,8,25,.320,212,280,.757,203,2.85915492958,375,5.28169014085,578,8.14084507042,186,2.61971830986,41,0.577464788732,120,1.69014084507,150,2.11267605634,212,1062,14.9577464789,
Sam Bowie,NJN,1992-1993, 7-1,C,31,79,2092,26.4810126582,287,638,.450,2,6,.333,141,181,.779,158,2.0,398,5.03797468354,556,7.03797468354,127,1.60759493671,32,0.405063291139,128,1.62025316456,120,1.51898734177,226,717,9.07594936709,
Sam Bowie,LAL,1993-1994, 7-1,C,32,25,556,22.24,75,172,.436,1,4,.250,72,83,.867,27,1.08,104,4.16,131,5.24,47,1.88,4,0.16,28,1.12,43,1.72,65,223,8.92,
Sam Bowie,LAL,1994-1995, 7-1,C,33,67,1225,18.2835820896,118,267,.442,2,11,.182,68,89,.764,72,1.07462686567,216,3.22388059701,288,4.29850746269,118,1.76119402985,21,0.313432835821,80,1.19402985075,91,1.35820895522,182,306,4.5671641791,
