Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Sam Lacey,CIN,1970-1971, 6-10,C,22,81,2648,32.6913580247,467,1117,.418,.000,.000,.000,156,227,.687,.000,0.0,.000,0.0,913,11.2716049383,117,1.44444444444,.000,0.0,.000,0.0,.000,0.0,270,1090,13.4567901235,
Sam Lacey,CIN,1971-1972, 6-10,C,23,81,2832,34.962962963,410,972,.422,.000,.000,.000,119,169,.704,.000,0.0,.000,0.0,968,11.950617284,173,2.13580246914,.000,0.0,.000,0.0,.000,0.0,284,939,11.5925925926,
Sam Lacey,KCO,1972-1973, 6-10,C,24,79,2930,37.0886075949,471,994,.474,.000,.000,.000,126,178,.708,.000,0.0,.000,0.0,933,11.8101265823,189,2.39240506329,.000,0.0,.000,0.0,.000,0.0,283,1068,13.5189873418,
Sam Lacey,KCO,1973-1974, 6-10,C,25,79,3107,39.3291139241,467,982,.476,.000,.000,.000,185,247,.749,293,3.70886075949,762,9.64556962025,1055,13.3544303797,299,3.78481012658,126,1.59493670886,184,2.32911392405,.000,0.0,254,1119,14.164556962,
Sam Lacey,KCO,1974-1975, 6-10,C,26,81,3378,41.7037037037,392,917,.427,.000,.000,.000,144,191,.754,228,2.81481481481,921,11.3703703704,1149,14.1851851852,428,5.28395061728,139,1.71604938272,168,2.07407407407,.000,0.0,274,928,11.4567901235,
Sam Lacey,KCK,1975-1976, 6-10,C,27,81,3083,38.0617283951,409,1019,.401,.000,.000,.000,217,286,.759,218,2.69135802469,806,9.95061728395,1024,12.6419753086,378,4.66666666667,132,1.62962962963,134,1.65432098765,.000,0.0,286,1035,12.7777777778,
Sam Lacey,KCK,1976-1977, 6-10,C,28,82,2595,31.6463414634,327,774,.422,.000,.000,.000,215,282,.762,189,2.30487804878,545,6.64634146341,734,8.9512195122,386,4.70731707317,119,1.4512195122,133,1.62195121951,.000,0.0,292,869,10.5975609756,
Sam Lacey,KCK,1977-1978, 6-10,C,29,77,2131,27.6753246753,265,590,.449,.000,.000,.000,134,187,.717,155,2.01298701299,487,6.32467532468,642,8.33766233766,300,3.8961038961,120,1.55844155844,108,1.4025974026,186,2.41558441558,264,664,8.62337662338,
Sam Lacey,KCK,1978-1979, 6-10,C,30,82,2627,32.0365853659,350,697,.502,.000,.000,.000,167,226,.739,179,2.18292682927,523,6.37804878049,702,8.56097560976,430,5.24390243902,106,1.29268292683,141,1.71951219512,245,2.98780487805,309,867,10.5731707317,
Sam Lacey,KCK,1979-1980, 6-10,C,31,81,2412,29.7777777778,303,677,.448,0,1,.000,137,185,.741,172,2.12345679012,473,5.83950617284,645,7.96296296296,460,5.67901234568,111,1.37037037037,109,1.34567901235,211,2.6049382716,307,743,9.17283950617,
Sam Lacey,KCK,1980-1981, 6-10,C,32,82,2228,27.1707317073,237,536,.442,1,5,.200,92,117,.786,131,1.59756097561,453,5.5243902439,584,7.12195121951,399,4.86585365854,95,1.15853658537,120,1.46341463415,182,2.21951219512,302,567,6.91463414634,
Sam Lacey,TOT,1981-1982, 6-10,C,33,56,670,11.9642857143,67,154,.435,0,1,.000,27,37,.730,20,0.357142857143,87,1.55357142857,107,1.91071428571,77,1.375,22,0.392857142857,38,0.678571428571,56,1.0,139,161,2.875,
Sam Lacey,KCK,1981-1982, 6-10,C,33,2,20,10.0,3,5,.600,0,0,.000,0,2,.000,0,0.0,4,2.0,4,2.0,4,2.0,2,1.0,1,0.5,2,1.0,2,6,3.0,
Sam Lacey,NJN,1981-1982, 6-10,C,33,54,650,12.037037037,64,149,.430,0,1,.000,27,35,.771,20,0.37037037037,83,1.53703703704,103,1.90740740741,73,1.35185185185,20,0.37037037037,37,0.685185185185,54,1.0,137,155,2.87037037037,
Sam Lacey,CLE,1982-1983, 6-10,C,34,60,1232,20.5333333333,111,264,.420,2,9,.222,29,37,.784,62,1.03333333333,169,2.81666666667,231,3.85,118,1.96666666667,29,0.483333333333,25,0.416666666667,98,1.63333333333,209,253,4.21666666667,
