Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Samaki Walker,DAL,1996-1997, 6-9,PF,20,43,602,14.0,83,187,.444,0,1,.000,48,74,.649,47,1.09302325581,100,2.32558139535,147,3.41860465116,17,0.395348837209,15,0.348837209302,22,0.511627906977,39,0.906976744186,71,214,4.97674418605,
Samaki Walker,DAL,1997-1998, 6-9,PF,21,41,1027,25.0487804878,156,321,.486,0,1,.000,53,97,.546,96,2.34146341463,206,5.0243902439,302,7.36585365854,24,0.585365853659,30,0.731707317073,40,0.975609756098,61,1.48780487805,127,365,8.90243902439,
Samaki Walker,DAL,1998-1999, 6-9,PF,22,39,568,14.5641025641,88,190,.463,0,1,.000,53,98,.541,46,1.17948717949,97,2.48717948718,143,3.66666666667,6,0.153846153846,9,0.230769230769,16,0.410256410256,37,0.948717948718,87,229,5.87179487179,
Samaki Walker,SAS,1999-2000, 6-9,PF,23,71,980,13.8028169014,137,305,.449,0,0,.000,86,126,.683,77,1.08450704225,195,2.74647887324,272,3.83098591549,38,0.535211267606,10,0.140845070423,35,0.492957746479,64,0.901408450704,108,360,5.07042253521,
Samaki Walker,SAS,2000-2001, 6-9,PF,24,61,963,15.7868852459,121,252,.480,1,3,.333,78,124,.629,67,1.09836065574,176,2.88524590164,243,3.98360655738,29,0.475409836066,10,0.16393442623,41,0.672131147541,68,1.11475409836,103,321,5.26229508197,
Samaki Walker,LAL,2001-2002, 6-9,PF,25,69,1655,23.9855072464,187,365,.512,0,0,.000,86,129,.667,129,1.86956521739,352,5.10144927536,481,6.97101449275,64,0.927536231884,28,0.405797101449,88,1.27536231884,53,0.768115942029,170,460,6.66666666667,
Samaki Walker,LAL,2002-2003, 6-9,C,26,67,1243,18.552238806,115,274,.420,0,1,.000,66,101,.653,115,1.71641791045,253,3.77611940299,368,5.49253731343,64,0.955223880597,20,0.298507462687,55,0.820895522388,56,0.835820895522,143,296,4.41791044776,
Samaki Walker,MIA,2003-2004, 6-9,PF,27,33,418,12.6666666667,38,99,.384,0,2,.000,29,44,.659,42,1.27272727273,70,2.12121212121,112,3.39393939394,6,0.181818181818,9,0.272727272727,11,0.333333333333,15,0.454545454545,54,105,3.18181818182,
Samaki Walker,WAS,2004-2005, 6-9,PF,28,14,134,9.57142857143,11,31,.355,0,0,.000,2,3,.667,8,0.571428571429,10,0.714285714286,18,1.28571428571,4,0.285714285714,3,0.214285714286,7,0.5,8,0.571428571429,25,24,1.71428571429,
Samaki Walker,IND,2005-2006, 6-9,PF,29,7,22,3.14285714286,0,2,.000,0,0,.000,2,2,1.000,0,0.0,3,0.428571428571,3,0.428571428571,0,0.0,0,0.0,1,0.142857142857,2,0.285714285714,7,2,0.285714285714,
