Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Scott Brooks,PHI,1988-1989, 5-11,PG,23,82,1372,16.7317073171,156,371,.420,55,153,.359,61,69,.884,19,0.231707317073,75,0.914634146341,94,1.14634146341,306,3.73170731707,69,0.841463414634,3,0.0365853658537,65,0.792682926829,116,428,5.21951219512,
Scott Brooks,PHI,1989-1990, 5-11,PG,24,72,975,13.5416666667,119,276,.431,31,79,.392,50,57,.877,15,0.208333333333,49,0.680555555556,64,0.888888888889,207,2.875,47,0.652777777778,0,0.0,38,0.527777777778,105,319,4.43055555556,
Scott Brooks,MIN,1990-1991, 5-11,PG,25,80,980,12.25,159,370,.430,45,135,.333,61,72,.847,28,0.35,44,0.55,72,0.9,204,2.55,53,0.6625,5,0.0625,51,0.6375,122,424,5.3,
Scott Brooks,MIN,1991-1992, 5-11,PG,26,82,1082,13.1951219512,167,374,.447,32,90,.356,51,63,.810,27,0.329268292683,72,0.878048780488,99,1.20731707317,205,2.5,66,0.80487804878,7,0.0853658536585,51,0.621951219512,82,417,5.08536585366,
Scott Brooks,HOU,1992-1993, 5-11,PG,27,82,1516,18.487804878,183,385,.475,41,99,.414,112,135,.830,22,0.268292682927,77,0.939024390244,99,1.20731707317,243,2.96341463415,79,0.963414634146,3,0.0365853658537,72,0.878048780488,136,519,6.32926829268,
Scott Brooks,HOU,1993-1994, 5-11,PG,28,73,1225,16.7808219178,142,289,.491,23,61,.377,74,85,.871,10,0.13698630137,92,1.2602739726,102,1.39726027397,149,2.04109589041,51,0.698630136986,2,0.027397260274,55,0.753424657534,98,381,5.21917808219,
Scott Brooks,TOT,1994-1995, 5-11,PG,29,59,808,13.6949152542,126,275,.458,25,69,.362,64,79,.810,14,0.237288135593,52,0.881355932203,66,1.1186440678,116,1.96610169492,34,0.576271186441,4,0.0677966101695,47,0.796610169492,56,341,5.77966101695,
Scott Brooks,HOU,1994-1995, 5-11,PG,29,28,186,6.64285714286,35,65,.538,8,17,.471,18,21,.857,1,0.0357142857143,12,0.428571428571,13,0.464285714286,22,0.785714285714,8,0.285714285714,1,0.0357142857143,14,0.5,14,96,3.42857142857,
Scott Brooks,DAL,1994-1995, 5-11,PG,29,31,622,20.064516129,91,210,.433,17,52,.327,46,58,.793,13,0.41935483871,40,1.29032258065,53,1.70967741935,94,3.03225806452,26,0.838709677419,3,0.0967741935484,33,1.06451612903,42,245,7.90322580645,
Scott Brooks,DAL,1995-1996, 5-11,PG,30,69,716,10.3768115942,134,293,.457,25,62,.403,59,69,.855,11,0.159420289855,30,0.434782608696,41,0.594202898551,100,1.44927536232,42,0.608695652174,3,0.0434782608696,43,0.623188405797,53,352,5.10144927536,
Scott Brooks,NYK,1996-1997, 5-11,PG,31,38,251,6.60526315789,19,39,.487,5,12,.417,14,15,.933,6,0.157894736842,12,0.315789473684,18,0.473684210526,29,0.763157894737,21,0.552631578947,0,0.0,17,0.447368421053,35,57,1.5,
Scott Brooks,CLE,1997-1998, 5-11,PG,32,43,312,7.25581395349,28,66,.424,5,11,.455,18,20,.900,6,0.139534883721,24,0.558139534884,30,0.697674418605,49,1.13953488372,18,0.418604651163,3,0.0697674418605,12,0.279069767442,25,79,1.83720930233,
