Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Scott Burrell,CHH,1993-1994, 6-7,SF,23,51,767,15.0392156863,98,234,.419,2,6,.333,46,70,.657,46,0.901960784314,86,1.6862745098,132,2.58823529412,62,1.21568627451,37,0.725490196078,16,0.313725490196,45,0.882352941176,88,244,4.78431372549,
Scott Burrell,CHH,1994-1995, 6-7,SF,24,65,2014,30.9846153846,277,593,.467,96,235,.409,100,144,.694,96,1.47692307692,272,4.18461538462,368,5.66153846154,161,2.47692307692,75,1.15384615385,40,0.615384615385,85,1.30769230769,187,750,11.5384615385,
Scott Burrell,CHH,1995-1996, 6-7,SF,25,20,693,34.65,92,206,.447,37,98,.378,42,56,.750,26,1.3,72,3.6,98,4.9,47,2.35,27,1.35,13,0.65,43,2.15,76,263,13.15,
Scott Burrell,TOT,1996-1997, 6-7,SF,26,57,939,16.4736842105,99,272,.364,41,116,.353,57,76,.750,49,0.859649122807,109,1.91228070175,158,2.77192982456,74,1.29824561404,28,0.491228070175,19,0.333333333333,53,0.929824561404,120,296,5.19298245614,
Scott Burrell,CHH,1996-1997, 6-7,SF,26,28,482,17.2142857143,45,131,.344,19,55,.345,42,53,.792,24,0.857142857143,55,1.96428571429,79,2.82142857143,39,1.39285714286,14,0.5,11,0.392857142857,25,0.892857142857,60,151,5.39285714286,
Scott Burrell,GSW,1996-1997, 6-7,SF,26,29,457,15.7586206897,54,141,.383,22,61,.361,15,23,.652,25,0.862068965517,54,1.86206896552,79,2.72413793103,35,1.20689655172,14,0.48275862069,8,0.275862068966,28,0.965517241379,60,145,5.0,
Scott Burrell,CHI,1997-1998, 6-7,SF,27,80,1096,13.7,159,375,.424,51,144,.354,47,64,.734,80,1.0,118,1.475,198,2.475,65,0.8125,64,0.8,37,0.4625,50,0.625,131,416,5.2,
Scott Burrell,NJN,1998-1999, 6-7,SF,28,32,706,22.0625,75,208,.361,28,72,.389,34,42,.810,32,1.0,87,2.71875,119,3.71875,45,1.40625,40,1.25,11,0.34375,23,0.71875,82,212,6.625,
Scott Burrell,NJN,1999-2000, 6-7,SF,29,74,1336,18.0540540541,165,419,.394,82,232,.353,39,50,.780,65,0.878378378378,191,2.58108108108,256,3.45945945946,72,0.972972972973,67,0.905405405405,44,0.594594594595,38,0.513513513514,173,451,6.09459459459,
Scott Burrell,CHH,2000-2001, 6-7,SF,30,4,41,10.25,7,15,.467,2,6,.333,1,4,.250,1,0.25,2,0.5,3,0.75,1,0.25,3,0.75,0,0.0,0,0.0,8,17,4.25,
