Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Scott Lloyd,MIL,1976-1977, 6-10,C,24,69,1025,14.8550724638,153,324,.472,.000,.000,.000,95,126,.754,81,1.17391304348,129,1.86956521739,210,3.04347826087,33,0.478260869565,21,0.304347826087,13,0.188405797101,.000,0.0,158,401,5.8115942029,
Scott Lloyd,TOT,1977-1978, 6-10,C,25,70,678,9.68571428571,80,193,.415,.000,.000,.000,49,68,.721,52,0.742857142857,93,1.32857142857,145,2.07142857143,44,0.628571428571,14,0.2,14,0.2,43,0.614285714286,105,209,2.98571428571,
Scott Lloyd,MIL,1977-1978, 6-10,C,25,14,112,8.0,12,33,.364,.000,.000,.000,6,10,.600,7,0.5,19,1.35714285714,26,1.85714285714,9,0.642857142857,3,0.214285714286,5,0.357142857143,7,0.5,22,30,2.14285714286,
Scott Lloyd,BUF,1977-1978, 6-10,C,25,56,566,10.1071428571,68,160,.425,.000,.000,.000,43,58,.741,45,0.803571428571,74,1.32142857143,119,2.125,35,0.625,11,0.196428571429,9,0.160714285714,36,0.642857142857,83,179,3.19642857143,
Scott Lloyd,TOT,1978-1979, 6-10,C,26,72,496,6.88888888889,42,122,.344,.000,.000,.000,27,47,.574,49,0.680555555556,47,0.652777777778,96,1.33333333333,32,0.444444444444,10,0.138888888889,8,0.111111111111,51,0.708333333333,92,111,1.54166666667,
Scott Lloyd,SDC,1978-1979, 6-10,C,26,5,31,6.2,0,2,.000,.000,.000,.000,0,0,.000,1,0.2,2,0.4,3,0.6,0,0.0,1,0.2,0,0.0,8,1.6,6,0,0.0,
Scott Lloyd,CHI,1978-1979, 6-10,C,26,67,465,6.94029850746,42,120,.350,.000,.000,.000,27,47,.574,48,0.716417910448,45,0.671641791045,93,1.38805970149,32,0.477611940299,9,0.134328358209,8,0.119402985075,43,0.641791044776,86,111,1.65671641791,
Scott Lloyd,DAL,1980-1981, 6-10,C,28,72,2186,30.3611111111,245,547,.448,0,2,.000,147,205,.717,161,2.23611111111,293,4.06944444444,454,6.30555555556,159,2.20833333333,34,0.472222222222,25,0.347222222222,145,2.01388888889,269,637,8.84722222222,
Scott Lloyd,DAL,1981-1982, 6-10,PF,29,74,1047,14.1486486486,108,285,.379,2,4,.500,69,91,.758,60,0.810810810811,103,1.39189189189,163,2.2027027027,67,0.905405405405,15,0.202702702703,7,0.0945945945946,59,0.797297297297,175,287,3.87837837838,
Scott Lloyd,DAL,1982-1983, 6-10,C,30,15,206,13.7333333333,19,50,.380,0,1,.000,11,17,.647,19,1.26666666667,27,1.8,46,3.06666666667,21,1.4,6,0.4,6,0.4,6,0.4,24,49,3.26666666667,
