Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Scott Wedman,KCO,1974-1975, 6-7,SF,22,80,2554,31.925,375,806,.465,.000,.000,.000,139,170,.818,202,2.525,288,3.6,490,6.125,129,1.6125,81,1.0125,27,0.3375,.000,0.0,270,889,11.1125,
Scott Wedman,KCK,1975-1976, 6-7,SF,23,82,2968,36.1951219512,538,1181,.456,.000,.000,.000,191,245,.780,199,2.42682926829,407,4.96341463415,606,7.39024390244,199,2.42682926829,103,1.25609756098,36,0.439024390244,.000,0.0,280,1267,15.4512195122,
Scott Wedman,KCK,1976-1977, 6-7,SF,24,81,2743,33.8641975309,521,1133,.460,.000,.000,.000,206,241,.855,187,2.30864197531,319,3.93827160494,506,6.24691358025,227,2.8024691358,100,1.23456790123,23,0.283950617284,.000,0.0,226,1248,15.4074074074,
Scott Wedman,KCK,1977-1978, 6-7,SF,25,81,2961,36.5555555556,607,1192,.509,.000,.000,.000,221,254,.870,144,1.77777777778,319,3.93827160494,463,5.71604938272,201,2.48148148148,99,1.22222222222,22,0.271604938272,158,1.95061728395,242,1435,17.7160493827,
Scott Wedman,KCK,1978-1979, 6-7,SF,26,73,2498,34.2191780822,561,1050,.534,.000,.000,.000,216,271,.797,135,1.84931506849,251,3.43835616438,386,5.28767123288,144,1.97260273973,76,1.04109589041,30,0.41095890411,106,1.45205479452,239,1338,18.3287671233,
Scott Wedman,KCK,1979-1980, 6-7,SF,27,68,2347,34.5147058824,569,1112,.512,7,22,.318,145,181,.801,114,1.67647058824,272,4.0,386,5.67647058824,145,2.13235294118,84,1.23529411765,45,0.661764705882,112,1.64705882353,230,1290,18.9705882353,
Scott Wedman,KCK,1980-1981, 6-7,SF,28,81,2902,35.8271604938,685,1437,.477,25,77,.325,140,204,.686,128,1.58024691358,305,3.76543209877,433,5.34567901235,226,2.79012345679,97,1.1975308642,46,0.567901234568,161,1.98765432099,294,1535,18.950617284,
Scott Wedman,CLE,1981-1982, 6-7,SF,29,54,1638,30.3333333333,260,589,.441,5,23,.217,66,90,.733,128,2.37037037037,176,3.25925925926,304,5.62962962963,133,2.46296296296,73,1.35185185185,14,0.259259259259,73,1.35185185185,189,591,10.9444444444,
Scott Wedman,TOT,1982-1983, 6-7,SF,30,75,1793,23.9066666667,374,788,.475,10,32,.313,85,107,.794,98,1.30666666667,184,2.45333333333,282,3.76,117,1.56,43,0.573333333333,17,0.226666666667,126,1.68,228,843,11.24,
Scott Wedman,CLE,1982-1983, 6-7,SF,30,35,1290,36.8571428571,280,583,.480,9,22,.409,65,77,.844,69,1.97142857143,139,3.97142857143,208,5.94285714286,86,2.45714285714,23,0.657142857143,11,0.314285714286,94,2.68571428571,145,634,18.1142857143,
Scott Wedman,BOS,1982-1983, 6-7,SF,30,40,503,12.575,94,205,.459,1,10,.100,20,30,.667,29,0.725,45,1.125,74,1.85,31,0.775,20,0.5,6,0.15,32,0.8,83,209,5.225,
Scott Wedman,BOS,1983-1984, 6-7,SF,31,68,916,13.4705882353,148,333,.444,2,13,.154,29,35,.829,41,0.602941176471,98,1.44117647059,139,2.04411764706,67,0.985294117647,27,0.397058823529,7,0.102941176471,43,0.632352941176,107,327,4.80882352941,
Scott Wedman,BOS,1984-1985, 6-7,SF,32,78,1127,14.4487179487,220,460,.478,17,34,.500,42,55,.764,57,0.730769230769,102,1.30769230769,159,2.03846153846,94,1.20512820513,23,0.294871794872,10,0.128205128205,47,0.602564102564,111,499,6.39743589744,
Scott Wedman,BOS,1985-1986, 6-7,SF,33,79,1402,17.746835443,286,605,.473,17,48,.354,45,68,.662,66,0.835443037975,126,1.59493670886,192,2.43037974684,83,1.05063291139,38,0.481012658228,22,0.278481012658,54,0.683544303797,127,634,8.0253164557,
Scott Wedman,BOS,1986-1987, 6-7,SF,34,6,78,13.0,9,27,.333,1,2,.500,1,2,.500,3,0.5,6,1.0,9,1.5,6,1.0,2,0.333333333333,2,0.333333333333,3,0.5,6,20,3.33333333333,
