Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Sean Rooks,DAL,1992-1993, 6-10,C,23,72,2087,28.9861111111,368,747,.493,0,2,.000,234,389,.602,196,2.72222222222,340,4.72222222222,536,7.44444444444,95,1.31944444444,38,0.527777777778,81,1.125,160,2.22222222222,204,970,13.4722222222,
Sean Rooks,DAL,1993-1994, 6-10,C,24,47,1255,26.7021276596,193,393,.491,0,1,.000,150,210,.714,84,1.78723404255,175,3.72340425532,259,5.51063829787,49,1.04255319149,21,0.446808510638,44,0.936170212766,80,1.70212765957,109,536,11.4042553191,
Sean Rooks,MIN,1994-1995, 6-10,C,25,80,2405,30.0625,289,615,.470,0,5,.000,290,381,.761,165,2.0625,321,4.0125,486,6.075,97,1.2125,29,0.3625,71,0.8875,142,1.775,208,868,10.85,
Sean Rooks,TOT,1995-1996, 6-10,C,26,65,1117,17.1846153846,144,285,.505,1,7,.143,135,202,.668,81,1.24615384615,174,2.67692307692,255,3.92307692308,47,0.723076923077,23,0.353846153846,42,0.646153846154,80,1.23076923077,141,424,6.52307692308,
Sean Rooks,MIN,1995-1996, 6-10,C,26,49,902,18.4081632653,112,227,.493,1,6,.167,106,159,.667,60,1.22448979592,144,2.9387755102,204,4.16326530612,38,0.775510204082,19,0.387755102041,28,0.571428571429,49,1.0,106,331,6.75510204082,
Sean Rooks,ATL,1995-1996, 6-10,C,26,16,215,13.4375,32,58,.552,0,1,.000,29,43,.674,21,1.3125,30,1.875,51,3.1875,9,0.5625,4,0.25,14,0.875,31,1.9375,35,93,5.8125,
Sean Rooks,LAL,1996-1997, 6-10,C,27,69,735,10.652173913,87,185,.470,0,1,.000,91,130,.700,56,0.811594202899,107,1.55072463768,163,2.36231884058,42,0.608695652174,17,0.246376811594,38,0.550724637681,51,0.739130434783,123,265,3.84057971014,
Sean Rooks,LAL,1997-1998, 6-10,C,28,41,425,10.3658536585,46,101,.455,0,0,.000,47,79,.595,46,1.12195121951,72,1.75609756098,118,2.87804878049,24,0.585365853659,2,0.0487804878049,23,0.560975609756,19,0.463414634146,68,139,3.39024390244,
Sean Rooks,LAL,1998-1999, 6-10,C,29,36,315,8.75,32,79,.405,0,2,.000,34,48,.708,33,0.916666666667,39,1.08333333333,72,2.0,9,0.25,2,0.0555555555556,9,0.25,21,0.583333333333,61,98,2.72222222222,
Sean Rooks,DAL,1999-2000, 6-10,C,30,71,1001,14.0985915493,122,283,.431,0,0,.000,65,89,.730,82,1.15492957746,166,2.33802816901,248,3.49295774648,68,0.957746478873,29,0.408450704225,52,0.732394366197,70,0.985915492958,169,309,4.35211267606,
Sean Rooks,LAC,2000-2001, 6-10,C,31,82,1553,18.9390243902,169,395,.428,1,2,.500,107,143,.748,91,1.10975609756,212,2.58536585366,303,3.69512195122,77,0.939024390244,34,0.414634146341,64,0.780487804878,73,0.890243902439,197,446,5.43902439024,
Sean Rooks,LAC,2001-2002, 6-10,C,32,61,728,11.9344262295,81,194,.418,0,0,.000,21,29,.724,32,0.524590163934,92,1.50819672131,124,2.03278688525,25,0.409836065574,12,0.196721311475,21,0.344262295082,20,0.327868852459,114,183,3.0,
Sean Rooks,LAC,2002-2003, 6-10,C,33,70,1344,19.2,125,297,.421,0,1,.000,47,58,.810,53,0.757142857143,163,2.32857142857,216,3.08571428571,69,0.985714285714,34,0.485714285714,44,0.628571428571,66,0.942857142857,174,297,4.24285714286,
Sean Rooks,TOT,2003-2004, 6-10,C,34,55,595,10.8181818182,54,151,.358,0,1,.000,33,37,.892,24,0.436363636364,73,1.32727272727,97,1.76363636364,29,0.527272727273,14,0.254545454545,10,0.181818181818,22,0.4,89,141,2.56363636364,
Sean Rooks,NOH,2003-2004, 6-10,C,34,35,325,9.28571428571,34,94,.362,0,0,.000,12,15,.800,10,0.285714285714,40,1.14285714286,50,1.42857142857,11,0.314285714286,9,0.257142857143,5,0.142857142857,15,0.428571428571,48,80,2.28571428571,
Sean Rooks,ORL,2003-2004, 6-10,C,34,20,270,13.5,20,57,.351,0,1,.000,21,22,.955,14,0.7,33,1.65,47,2.35,18,0.9,5,0.25,5,0.25,7,0.35,41,61,3.05,
