Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Shane Battier,MEM,2001-2002, 6-8,SF,23,78,3097,39.7051282051,412,961,.429,103,276,.373,198,283,.700,180,2.30769230769,238,3.05128205128,418,5.35897435897,216,2.76923076923,121,1.55128205128,81,1.03846153846,155,1.98717948718,215,1125,14.4230769231,
Shane Battier,MEM,2002-2003, 6-8,SF,24,78,2383,30.5512820513,275,569,.483,86,216,.398,120,145,.828,128,1.64102564103,217,2.78205128205,345,4.42307692308,105,1.34615384615,102,1.30769230769,88,1.12820512821,68,0.871794871795,207,756,9.69230769231,
Shane Battier,MEM,2003-2004, 6-8,SF,25,79,1947,24.6455696203,242,543,.446,65,186,.349,120,164,.732,102,1.29113924051,201,2.54430379747,303,3.83544303797,101,1.27848101266,101,1.27848101266,58,0.73417721519,56,0.708860759494,187,669,8.46835443038,
Shane Battier,MEM,2004-2005, 6-8,SG,26,80,2516,31.45,271,613,.442,70,177,.395,180,228,.789,158,1.975,255,3.1875,413,5.1625,126,1.575,91,1.1375,77,0.9625,75,0.9375,201,792,9.9,
Shane Battier,MEM,2005-2006, 6-8,SF,27,81,2839,35.049382716,303,621,.488,65,165,.394,147,208,.707,164,2.02469135802,265,3.27160493827,429,5.2962962963,136,1.67901234568,92,1.13580246914,114,1.40740740741,90,1.11111111111,223,818,10.0987654321,
Shane Battier,HOU,2006-2007, 6-8,SF,28,82,2988,36.4390243902,292,654,.446,157,373,.421,88,113,.779,67,0.817073170732,271,3.30487804878,338,4.12195121951,175,2.13414634146,79,0.963414634146,60,0.731707317073,72,0.878048780488,190,829,10.1097560976,
Shane Battier,HOU,2007-2008, 6-8,SF,29,80,2907,36.3375,265,619,.428,139,369,.377,75,101,.743,131,1.6375,276,3.45,407,5.0875,155,1.9375,77,0.9625,90,1.125,78,0.975,196,744,9.3,
Shane Battier,HOU,2008-2009, 6-8,SG,30,60,2031,33.85,145,354,.410,91,237,.384,55,67,.821,52,0.866666666667,233,3.88333333333,285,4.75,137,2.28333333333,48,0.8,54,0.9,49,0.816666666667,114,436,7.26666666667,
Shane Battier,HOU,2009-2010, 6-8,SG,31,67,2168,32.3582089552,178,447,.398,101,279,.362,77,106,.726,74,1.10447761194,238,3.55223880597,312,4.65671641791,164,2.44776119403,53,0.791044776119,76,1.13432835821,64,0.955223880597,139,534,7.97014925373,
Shane Battier,TOT,2010-2011, 6-8,SF,32,82,2375,28.9634146341,229,509,.450,102,267,.382,64,93,.688,90,1.09756097561,283,3.4512195122,373,4.5487804878,185,2.25609756098,69,0.841463414634,81,0.987804878049,79,0.963414634146,158,624,7.60975609756,
Shane Battier,HOU,2010-2011, 6-8,SF,32,59,1818,30.813559322,186,408,.456,88,225,.391,49,76,.645,58,0.983050847458,223,3.77966101695,281,4.76271186441,153,2.59322033898,53,0.898305084746,71,1.20338983051,63,1.06779661017,127,509,8.62711864407,
Shane Battier,MEM,2010-2011, 6-8,SF,32,23,557,24.2173913043,43,101,.426,14,42,.333,15,17,.882,32,1.39130434783,60,2.60869565217,92,4.0,32,1.39130434783,16,0.695652173913,10,0.434782608696,16,0.695652173913,31,115,5.0,
Shane Battier,MIA,2011-2012, 6-8,SF,33,65,1499,23.0615384615,113,292,.387,62,183,.339,23,37,.622,56,0.861538461538,100,1.53846153846,156,2.4,82,1.26153846154,64,0.984615384615,33,0.507692307692,37,0.569230769231,105,311,4.78461538462,
Shane Battier,MIA,2012-2013, 6-8,SF,34,56,1378,24.6071428571,116,279,.416,105,247,.425,22,26,.846,32,0.571428571429,99,1.76785714286,131,2.33928571429,52,0.928571428571,29,0.517857142857,39,0.696428571429,27,0.482142857143,121,359,6.41071428571,
