Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Shawn Bradley,PHI,1993-1994, 7-6,C,21,49,1385,28.2653061224,201,491,.409,0,3,.000,102,168,.607,98,2.0,208,4.24489795918,306,6.24489795918,98,2.0,45,0.918367346939,147,3.0,148,3.02040816327,170,504,10.2857142857,
Shawn Bradley,PHI,1994-1995, 7-6,C,22,82,2365,28.8414634146,315,693,.455,0,3,.000,148,232,.638,243,2.96341463415,416,5.07317073171,659,8.03658536585,53,0.646341463415,54,0.658536585366,274,3.34146341463,142,1.73170731707,338,778,9.48780487805,
Shawn Bradley,TOT,1995-1996, 7-6,C,23,79,2329,29.4810126582,387,873,.443,1,4,.250,169,246,.687,221,2.79746835443,417,5.27848101266,638,8.07594936709,63,0.79746835443,49,0.620253164557,288,3.64556962025,179,2.26582278481,286,944,11.9493670886,
Shawn Bradley,PHI,1995-1996, 7-6,C,23,12,334,27.8333333333,43,97,.443,0,0,.000,19,25,.760,34,2.83333333333,72,6.0,106,8.83333333333,8,0.666666666667,8,0.666666666667,38,3.16666666667,31,2.58333333333,42,105,8.75,
Shawn Bradley,NJN,1995-1996, 7-6,C,23,67,1995,29.776119403,344,776,.443,1,4,.250,150,221,.679,187,2.79104477612,345,5.14925373134,532,7.94029850746,55,0.820895522388,41,0.611940298507,250,3.73134328358,148,2.20895522388,244,839,12.5223880597,
Shawn Bradley,TOT,1996-1997, 7-6,C,24,73,2288,31.3424657534,406,905,.449,0,8,.000,149,228,.654,221,3.02739726027,390,5.34246575342,611,8.3698630137,52,0.712328767123,40,0.547945205479,248,3.39726027397,134,1.83561643836,237,961,13.1643835616,
Shawn Bradley,NJN,1996-1997, 7-6,C,24,40,1228,30.7,199,456,.436,0,5,.000,81,122,.664,118,2.95,207,5.175,325,8.125,20,0.5,23,0.575,160,4.0,64,1.6,122,479,11.975,
Shawn Bradley,DAL,1996-1997, 7-6,C,24,33,1060,32.1212121212,207,449,.461,0,3,.000,68,106,.642,103,3.12121212121,183,5.54545454545,286,8.66666666667,32,0.969696969697,17,0.515151515152,88,2.66666666667,70,2.12121212121,115,482,14.6060606061,
Shawn Bradley,DAL,1997-1998, 7-6,C,25,64,1822,28.46875,300,711,.422,1,3,.333,130,180,.722,164,2.5625,354,5.53125,518,8.09375,60,0.9375,51,0.796875,214,3.34375,96,1.5,214,731,11.421875,
Shawn Bradley,DAL,1998-1999, 7-6,C,26,49,1294,26.4081632653,167,348,.480,0,4,.000,86,115,.748,130,2.65306122449,262,5.34693877551,392,8.0,40,0.816326530612,35,0.714285714286,159,3.24489795918,56,1.14285714286,153,420,8.57142857143,
Shawn Bradley,DAL,1999-2000, 7-6,C,27,77,1901,24.6883116883,266,555,.479,1,5,.200,114,149,.765,160,2.07792207792,337,4.37662337662,497,6.45454545455,60,0.779220779221,71,0.922077922078,190,2.46753246753,74,0.961038961039,260,647,8.4025974026,
Shawn Bradley,DAL,2000-2001, 7-6,C,28,82,2001,24.4024390244,219,447,.490,1,6,.167,140,178,.787,160,1.9512195122,448,5.46341463415,608,7.41463414634,38,0.463414634146,36,0.439024390244,228,2.78048780488,88,1.07317073171,256,579,7.06097560976,
Shawn Bradley,DAL,2001-2002, 7-6,C,29,53,757,14.2830188679,78,163,.479,0,1,.000,59,64,.922,53,1.0,123,2.32075471698,176,3.32075471698,20,0.377358490566,28,0.528301886792,64,1.20754716981,25,0.471698113208,128,215,4.05660377358,
Shawn Bradley,DAL,2002-2003, 7-6,C,30,81,1731,21.3703703704,201,375,.536,0,1,.000,141,175,.806,151,1.86419753086,325,4.01234567901,476,5.87654320988,54,0.666666666667,65,0.802469135802,170,2.0987654321,67,0.827160493827,242,543,6.7037037037,
Shawn Bradley,DAL,2003-2004, 7-6,C,31,66,773,11.7121212121,89,188,.473,0,1,.000,41,49,.837,72,1.09090909091,101,1.5303030303,173,2.62121212121,20,0.30303030303,33,0.5,74,1.12121212121,17,0.257575757576,130,219,3.31818181818,
Shawn Bradley,DAL,2004-2005, 7-6,C,32,77,885,11.4935064935,84,186,.452,0,0,.000,43,63,.683,70,0.909090909091,144,1.87012987013,214,2.77922077922,15,0.194805194805,25,0.324675324675,63,0.818181818182,33,0.428571428571,153,211,2.74025974026,
