Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Shawn Marion,PHO,1999-2000, 6-7,SF,21,51,1260,24.7058823529,222,471,.471,4,22,.182,72,85,.847,105,2.05882352941,227,4.45098039216,332,6.50980392157,69,1.35294117647,38,0.745098039216,53,1.03921568627,51,1.0,113,520,10.1960784314,
Shawn Marion,PHO,2000-2001, 6-7,SF,22,79,2857,36.164556962,557,1160,.480,21,82,.256,234,289,.810,220,2.78481012658,628,7.94936708861,848,10.7341772152,160,2.0253164557,132,1.67088607595,108,1.36708860759,129,1.63291139241,211,1369,17.3291139241,
Shawn Marion,PHO,2001-2002, 6-7,SF,23,81,3109,38.3827160494,654,1395,.469,48,122,.393,191,226,.845,211,2.6049382716,592,7.30864197531,803,9.91358024691,162,2.0,149,1.83950617284,86,1.06172839506,144,1.77777777778,214,1547,19.0987654321,
Shawn Marion,PHO,2002-2003, 6-7,SF,24,81,3373,41.6419753086,662,1466,.452,141,364,.387,251,295,.851,199,2.45679012346,574,7.08641975309,773,9.54320987654,198,2.44444444444,185,2.28395061728,95,1.17283950617,157,1.93827160494,208,1716,21.1851851852,
Shawn Marion,PHO,2003-2004, 6-7,SF,25,79,3217,40.7215189873,590,1341,.440,90,265,.340,228,268,.851,212,2.6835443038,525,6.64556962025,737,9.32911392405,214,2.70886075949,167,2.11392405063,104,1.3164556962,156,1.9746835443,203,1498,18.9620253165,
Shawn Marion,PHO,2004-2005, 6-7,PF,26,81,3146,38.8395061728,613,1289,.476,114,341,.334,229,275,.833,235,2.9012345679,680,8.3950617284,915,11.2962962963,154,1.9012345679,163,2.01234567901,119,1.46913580247,125,1.54320987654,199,1569,19.3703703704,
Shawn Marion,PHO,2005-2006, 6-7,C,27,81,3263,40.2839506173,716,1365,.525,96,290,.331,241,298,.809,249,3.07407407407,710,8.76543209877,959,11.8395061728,143,1.76543209877,160,1.97530864198,137,1.69135802469,125,1.54320987654,223,1769,21.8395061728,
Shawn Marion,PHO,2006-2007, 6-7,SF,28,80,3010,37.625,561,1071,.524,80,252,.317,201,248,.810,172,2.15,613,7.6625,785,9.8125,134,1.675,156,1.95,122,1.525,114,1.425,216,1403,17.5375,
Shawn Marion,TOT,2007-2008, 6-7,PF,29,63,2315,36.746031746,400,787,.508,66,198,.333,106,150,.707,136,2.15873015873,507,8.04761904762,643,10.2063492063,138,2.19047619048,125,1.98412698413,85,1.34920634921,86,1.36507936508,150,972,15.4285714286,
Shawn Marion,PHO,2007-2008, 6-7,PF,29,47,1713,36.4468085106,304,578,.526,58,167,.347,77,108,.713,86,1.82978723404,378,8.04255319149,464,9.87234042553,98,2.08510638298,95,2.02127659574,70,1.48936170213,49,1.04255319149,117,743,15.8085106383,
Shawn Marion,MIA,2007-2008, 6-7,PF,29,16,602,37.625,96,209,.459,8,31,.258,29,42,.690,50,3.125,129,8.0625,179,11.1875,40,2.5,30,1.875,15,0.9375,37,2.3125,33,229,14.3125,
Shawn Marion,TOT,2008-2009, 6-7,SF,30,69,2470,35.7971014493,382,788,.485,10,53,.189,117,147,.796,180,2.60869565217,409,5.92753623188,589,8.53623188406,139,2.01449275362,88,1.27536231884,66,0.95652173913,105,1.52173913043,132,891,12.9130434783,
Shawn Marion,MIA,2008-2009, 6-7,SF,30,42,1516,36.0952380952,215,446,.482,8,40,.200,67,85,.788,107,2.54761904762,258,6.14285714286,365,8.69047619048,77,1.83333333333,57,1.35714285714,45,1.07142857143,56,1.33333333333,92,505,12.0238095238,
Shawn Marion,TOR,2008-2009, 6-7,SF,30,27,954,35.3333333333,167,342,.488,2,13,.154,50,62,.806,73,2.7037037037,151,5.59259259259,224,8.2962962963,62,2.2962962963,31,1.14814814815,21,0.777777777778,49,1.81481481481,40,386,14.2962962963,
Shawn Marion,DAL,2009-2010, 6-7,SF,31,75,2385,31.8,395,778,.508,3,19,.158,105,139,.755,158,2.10666666667,319,4.25333333333,477,6.36,107,1.42666666667,69,0.92,61,0.813333333333,99,1.32,141,898,11.9733333333,
Shawn Marion,DAL,2010-2011, 6-7,SF,32,80,2253,28.1625,434,834,.520,5,33,.152,126,164,.768,168,2.1,383,4.7875,551,6.8875,110,1.375,68,0.85,50,0.625,130,1.625,144,999,12.4875,
Shawn Marion,DAL,2011-2012, 6-7,SF,33,63,1919,30.4603174603,288,646,.446,20,68,.294,74,93,.796,145,2.30158730159,320,5.07936507937,465,7.38095238095,132,2.09523809524,67,1.06349206349,36,0.571428571429,98,1.55555555556,87,670,10.6349206349,
Shawn Marion,DAL,2012-2013, 6-7,PF,34,53,1583,29.8679245283,270,536,.504,18,60,.300,60,74,.811,118,2.22641509434,301,5.67924528302,419,7.90566037736,127,2.39622641509,51,0.962264150943,36,0.679245283019,83,1.56603773585,87,618,11.6603773585,
