Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Sidney Moncrief,MIL,1979-1980, 6-3,SG,22,77,1557,20.2207792208,211,451,.468,0,1,.000,232,292,.795,154,2.0,184,2.38961038961,338,4.38961038961,133,1.72727272727,72,0.935064935065,16,0.207792207792,117,1.51948051948,106,654,8.49350649351,
Sidney Moncrief,MIL,1980-1981, 6-3,SG,23,80,2417,30.2125,400,739,.541,2,9,.222,320,398,.804,186,2.325,220,2.75,406,5.075,264,3.3,90,1.125,37,0.4625,145,1.8125,156,1122,14.025,
Sidney Moncrief,MIL,1981-1982, 6-3,SG,24,80,2980,37.25,556,1063,.523,1,14,.071,468,573,.817,221,2.7625,313,3.9125,534,6.675,382,4.775,138,1.725,22,0.275,208,2.6,206,1581,19.7625,
Sidney Moncrief,MIL,1982-1983, 6-3,SG,25,76,2710,35.6578947368,606,1156,.524,1,10,.100,499,604,.826,192,2.52631578947,245,3.22368421053,437,5.75,300,3.94736842105,113,1.48684210526,23,0.302631578947,197,2.59210526316,180,1712,22.5263157895,
Sidney Moncrief,MIL,1983-1984, 6-3,SG,26,79,3075,38.9240506329,560,1125,.498,5,18,.278,529,624,.848,215,2.72151898734,313,3.96202531646,528,6.6835443038,358,4.53164556962,108,1.36708860759,27,0.341772151899,217,2.74683544304,204,1654,20.9367088608,
Sidney Moncrief,MIL,1984-1985, 6-3,PG,27,73,2734,37.4520547945,561,1162,.483,9,33,.273,454,548,.828,149,2.04109589041,242,3.31506849315,391,5.35616438356,382,5.23287671233,117,1.60273972603,39,0.534246575342,184,2.52054794521,197,1585,21.7123287671,
Sidney Moncrief,MIL,1985-1986, 6-3,PG,28,73,2567,35.1643835616,470,962,.489,33,103,.320,498,580,.859,115,1.57534246575,219,3.0,334,4.57534246575,357,4.8904109589,103,1.41095890411,18,0.246575342466,174,2.38356164384,178,1471,20.1506849315,
Sidney Moncrief,MIL,1986-1987, 6-3,SG,29,39,992,25.4358974359,158,324,.488,8,31,.258,136,162,.840,57,1.46153846154,70,1.79487179487,127,3.25641025641,121,3.10256410256,27,0.692307692308,10,0.25641025641,63,1.61538461538,73,460,11.7948717949,
Sidney Moncrief,MIL,1987-1988, 6-3,SG,30,56,1428,25.5,217,444,.489,5,31,.161,164,196,.837,58,1.03571428571,122,2.17857142857,180,3.21428571429,204,3.64285714286,41,0.732142857143,14,0.25,86,1.53571428571,109,603,10.7678571429,
Sidney Moncrief,MIL,1988-1989, 6-3,PG,31,62,1594,25.7096774194,261,532,.491,25,73,.342,205,237,.865,46,0.741935483871,126,2.03225806452,172,2.77419354839,188,3.03225806452,65,1.04838709677,13,0.209677419355,94,1.51612903226,114,752,12.1290322581,
Sidney Moncrief,ATL,1990-1991, 6-3,SG,33,72,1096,15.2222222222,117,240,.488,21,64,.328,82,105,.781,31,0.430555555556,97,1.34722222222,128,1.77777777778,104,1.44444444444,50,0.694444444444,9,0.125,66,0.916666666667,112,337,4.68055555556,
