Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Sidney Wicks,POR,1971-1972, 6-8,PF,22,82,3245,39.5731707317,784,1837,.427,.000,.000,.000,441,621,.710,.000,0.0,.000,0.0,943,11.5,350,4.26829268293,.000,0.0,.000,0.0,.000,0.0,186,2009,24.5,
Sidney Wicks,POR,1972-1973, 6-8,PF,23,80,3152,39.4,761,1684,.452,.000,.000,.000,384,531,.723,.000,0.0,.000,0.0,870,10.875,440,5.5,.000,0.0,.000,0.0,.000,0.0,253,1906,23.825,
Sidney Wicks,POR,1973-1974, 6-8,PF,24,75,2853,38.04,685,1492,.459,.000,.000,.000,314,412,.762,196,2.61333333333,488,6.50666666667,684,9.12,326,4.34666666667,90,1.2,63,0.84,.000,0.0,214,1684,22.4533333333,
Sidney Wicks,POR,1974-1975, 6-8,PF,25,82,3162,38.5609756098,692,1391,.497,.000,.000,.000,394,558,.706,231,2.81707317073,646,7.87804878049,877,10.6951219512,287,3.5,108,1.31707317073,80,0.975609756098,.000,0.0,289,1778,21.6829268293,
Sidney Wicks,POR,1975-1976, 6-8,PF,26,79,3044,38.5316455696,580,1201,.483,.000,.000,.000,345,512,.674,245,3.10126582278,467,5.91139240506,712,9.01265822785,244,3.08860759494,77,0.974683544304,53,0.670886075949,.000,0.0,250,1505,19.0506329114,
Sidney Wicks,BOS,1976-1977, 6-8,PF,27,82,2642,32.2195121951,464,1012,.458,.000,.000,.000,310,464,.668,268,3.26829268293,556,6.78048780488,824,10.0487804878,169,2.06097560976,64,0.780487804878,61,0.743902439024,.000,0.0,331,1238,15.0975609756,
Sidney Wicks,BOS,1977-1978, 6-8,PF,28,81,2413,29.7901234568,433,927,.467,.000,.000,.000,217,329,.660,223,2.75308641975,450,5.55555555556,673,8.30864197531,171,2.11111111111,67,0.827160493827,46,0.567901234568,226,2.79012345679,318,1083,13.3703703704,
Sidney Wicks,SDC,1978-1979, 6-8,PF,29,79,2022,25.5949367089,312,676,.462,.000,.000,.000,147,226,.650,159,2.01265822785,246,3.11392405063,405,5.12658227848,126,1.59493670886,70,0.886075949367,36,0.455696202532,180,2.27848101266,274,771,9.75949367089,
Sidney Wicks,SDC,1979-1980, 6-8,PF,30,71,2146,30.2253521127,210,496,.423,0,1,.000,83,152,.546,138,1.94366197183,271,3.81690140845,409,5.76056338028,213,3.0,76,1.07042253521,52,0.732394366197,167,2.35211267606,241,503,7.08450704225,
Sidney Wicks,SDC,1980-1981, 6-8,PF,31,49,1083,22.1020408163,125,286,.437,0,1,.000,76,150,.507,79,1.61224489796,144,2.9387755102,223,4.55102040816,111,2.26530612245,40,0.816326530612,40,0.816326530612,94,1.91836734694,168,326,6.65306122449,
