Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Stacey Augmon,ATL,1991-1992, 6-6,SG,23,82,2505,30.5487804878,440,899,.489,1,6,.167,213,320,.666,191,2.32926829268,229,2.79268292683,420,5.12195121951,201,2.4512195122,124,1.51219512195,27,0.329268292683,181,2.20731707317,161,1094,13.3414634146,
Stacey Augmon,ATL,1992-1993, 6-6,SG,24,73,2112,28.9315068493,397,792,.501,0,4,.000,227,307,.739,141,1.93150684932,146,2.0,287,3.93150684932,170,2.32876712329,91,1.24657534247,18,0.246575342466,157,2.15068493151,141,1021,13.9863013699,
Stacey Augmon,ATL,1993-1994, 6-6,SG,25,82,2605,31.7682926829,439,861,.510,1,7,.143,333,436,.764,178,2.17073170732,216,2.63414634146,394,4.80487804878,187,2.28048780488,149,1.81707317073,45,0.548780487805,147,1.79268292683,179,1212,14.7804878049,
Stacey Augmon,ATL,1994-1995, 6-6,SG,26,76,2362,31.0789473684,397,876,.453,7,26,.269,252,346,.728,157,2.06578947368,211,2.77631578947,368,4.84210526316,197,2.59210526316,100,1.31578947368,47,0.618421052632,152,2.0,163,1053,13.8552631579,
Stacey Augmon,ATL,1995-1996, 6-6,SF,27,77,2294,29.7922077922,362,738,.491,1,4,.250,251,317,.792,137,1.77922077922,167,2.16883116883,304,3.94805194805,137,1.77922077922,106,1.37662337662,31,0.402597402597,138,1.79220779221,188,976,12.6753246753,
Stacey Augmon,TOT,1996-1997, 6-6,SG,28,60,942,15.7,105,220,.477,0,0,.000,69,97,.711,47,0.783333333333,91,1.51666666667,138,2.3,56,0.933333333333,42,0.7,17,0.283333333333,64,1.06666666667,87,279,4.65,
Stacey Augmon,DET,1996-1997, 6-6,SG,28,20,292,14.6,31,77,.403,0,0,.000,28,41,.683,14,0.7,35,1.75,49,2.45,15,0.75,10,0.5,10,0.5,27,1.35,29,90,4.5,
Stacey Augmon,POR,1996-1997, 6-6,SG,28,40,650,16.25,74,143,.517,0,0,.000,41,56,.732,33,0.825,56,1.4,89,2.225,41,1.025,32,0.8,7,0.175,37,0.925,58,189,4.725,
Stacey Augmon,POR,1997-1998, 6-6,SG,29,71,1445,20.3521126761,154,372,.414,1,7,.143,94,156,.603,104,1.46478873239,131,1.84507042254,235,3.30985915493,88,1.23943661972,57,0.802816901408,32,0.450704225352,81,1.14084507042,144,403,5.67605633803,
Stacey Augmon,POR,1998-1999, 6-6,SF,30,48,874,18.2083333333,78,174,.448,0,2,.000,52,76,.684,47,0.979166666667,78,1.625,125,2.60416666667,58,1.20833333333,57,1.1875,18,0.375,30,0.625,81,208,4.33333333333,
Stacey Augmon,POR,1999-2000, 6-6,SG,31,59,692,11.7288135593,83,175,.474,0,2,.000,37,55,.673,42,0.71186440678,74,1.25423728814,116,1.96610169492,53,0.898305084746,27,0.457627118644,11,0.186440677966,38,0.64406779661,69,203,3.4406779661,
Stacey Augmon,POR,2000-2001, 6-6,SG,32,66,1182,17.9090909091,127,266,.477,0,4,.000,57,87,.655,60,0.909090909091,99,1.5,159,2.40909090909,98,1.48484848485,48,0.727272727273,21,0.318181818182,48,0.727272727273,105,311,4.71212121212,
Stacey Augmon,CHH,2001-2002, 6-6,SG,33,77,1319,17.1298701299,140,328,.427,0,3,.000,77,101,.762,59,0.766233766234,166,2.15584415584,225,2.92207792208,103,1.33766233766,56,0.727272727273,12,0.155844155844,54,0.701298701299,115,357,4.63636363636,
Stacey Augmon,NOH,2002-2003, 6-6,SG,34,70,862,12.3142857143,79,192,.411,0,7,.000,54,72,.750,26,0.371428571429,93,1.32857142857,119,1.7,69,0.985714285714,27,0.385714285714,9,0.128571428571,40,0.571428571429,80,212,3.02857142857,
Stacey Augmon,NOH,2003-2004, 6-6,SF,35,69,1416,20.5217391304,143,347,.412,1,7,.143,110,139,.791,52,0.753623188406,122,1.76811594203,174,2.52173913043,85,1.23188405797,55,0.797101449275,15,0.217391304348,76,1.10144927536,114,397,5.75362318841,
Stacey Augmon,ORL,2004-2005, 6-6,SF,36,55,663,12.0545454545,68,167,.407,0,0,.000,57,77,.740,45,0.818181818182,54,0.981818181818,99,1.8,36,0.654545454545,23,0.418181818182,8,0.145454545455,31,0.563636363636,83,193,3.50909090909,
Stacey Augmon,ORL,2005-2006, 6-6,SF,37,36,385,10.6944444444,25,73,.342,0,0,.000,21,30,.700,18,0.5,35,0.972222222222,53,1.47222222222,23,0.638888888889,12,0.333333333333,6,0.166666666667,11,0.305555555556,40,71,1.97222222222,
