Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Stephen Jackson,NJN,2000-2001, 6-8,SF,22,77,1660,21.5584415584,243,572,.425,52,155,.335,97,135,.719,41,0.532467532468,167,2.16883116883,208,2.7012987013,140,1.81818181818,86,1.11688311688,14,0.181818181818,130,1.68831168831,166,635,8.24675324675,
Stephen Jackson,SAS,2001-2002, 6-8,SF,23,23,227,9.86956521739,34,91,.374,9,36,.250,12,17,.706,3,0.130434782609,23,1.0,26,1.13043478261,11,0.478260869565,15,0.652173913043,3,0.130434782609,23,1.0,29,89,3.86956521739,
Stephen Jackson,SAS,2002-2003, 6-8,SG,24,80,2254,28.175,356,818,.435,95,297,.320,139,183,.760,66,0.825,220,2.75,286,3.575,183,2.2875,125,1.5625,30,0.375,176,2.2,202,946,11.825,
Stephen Jackson,ATL,2003-2004, 6-8,SF,25,80,2940,36.75,536,1261,.425,145,427,.340,233,297,.785,97,1.2125,273,3.4125,370,4.625,244,3.05,142,1.775,20,0.25,223,2.7875,216,1450,18.125,
Stephen Jackson,IND,2004-2005, 6-8,SF,26,51,1806,35.4117647059,330,819,.403,103,286,.360,190,229,.830,44,0.862745098039,206,4.03921568627,250,4.90196078431,119,2.33333333333,64,1.25490196078,14,0.274509803922,123,2.41176470588,154,953,18.6862745098,
Stephen Jackson,IND,2005-2006, 6-8,SG,27,81,2910,35.9259259259,472,1148,.411,117,339,.345,268,341,.786,48,0.592592592593,264,3.25925925926,312,3.85185185185,225,2.77777777778,104,1.28395061728,43,0.530864197531,203,2.50617283951,195,1329,16.4074074074,
Stephen Jackson,TOT,2006-2007, 6-8,SF,28,75,2479,33.0533333333,409,944,.433,100,311,.322,243,299,.813,61,0.813333333333,161,2.14666666667,222,2.96,287,3.82666666667,84,1.12,34,0.453333333333,183,2.44,200,1161,15.48,
Stephen Jackson,IND,2006-2007, 6-8,SG,28,37,1186,32.0540540541,180,430,.419,41,138,.297,120,146,.822,17,0.459459459459,78,2.10810810811,95,2.56756756757,114,3.08108108108,33,0.891891891892,20,0.540540540541,81,2.18918918919,87,521,14.0810810811,
Stephen Jackson,GSW,2006-2007, 6-8,SF,28,38,1293,34.0263157895,229,514,.446,59,173,.341,123,153,.804,44,1.15789473684,83,2.18421052632,127,3.34210526316,173,4.55263157895,51,1.34210526316,14,0.368421052632,102,2.68421052632,113,640,16.8421052632,
Stephen Jackson,GSW,2007-2008, 6-8,SF,29,73,2855,39.1095890411,488,1204,.405,182,501,.363,308,370,.832,67,0.917808219178,251,3.43835616438,318,4.35616438356,300,4.1095890411,92,1.2602739726,29,0.397260273973,197,2.69863013699,171,1466,20.0821917808,
Stephen Jackson,GSW,2008-2009, 6-8,SF,30,59,2339,39.6440677966,413,997,.414,103,305,.338,294,356,.826,70,1.18644067797,233,3.94915254237,303,5.13559322034,381,6.45762711864,88,1.49152542373,31,0.525423728814,229,3.8813559322,153,1223,20.7288135593,
Stephen Jackson,TOT,2009-2010, 6-8,SG,31,81,3129,38.6296296296,600,1418,.423,129,393,.328,338,434,.779,78,0.962962962963,323,3.98765432099,401,4.95061728395,300,3.7037037037,132,1.62962962963,43,0.530864197531,259,3.1975308642,197,1667,20.5802469136,
Stephen Jackson,GSW,2009-2010, 6-8,PF,31,9,300,33.3333333333,56,133,.421,11,40,.275,26,37,.703,6,0.666666666667,29,3.22222222222,35,3.88888888889,42,4.66666666667,14,1.55555555556,6,0.666666666667,26,2.88888888889,16,149,16.5555555556,
Stephen Jackson,CHA,2009-2010, 6-8,SG,31,72,2829,39.2916666667,544,1285,.423,118,353,.334,312,397,.786,72,1.0,294,4.08333333333,366,5.08333333333,258,3.58333333333,118,1.63888888889,37,0.513888888889,233,3.23611111111,181,1518,21.0833333333,
Stephen Jackson,CHA,2010-2011, 6-8,SG,32,67,2405,35.8955223881,435,1059,.411,121,359,.337,249,305,.816,53,0.791044776119,251,3.74626865672,304,4.53731343284,241,3.59701492537,80,1.19402985075,28,0.417910447761,209,3.11940298507,161,1240,18.5074626866,
Stephen Jackson,TOT,2011-2012, 6-8,SF,33,47,1212,25.7872340426,159,425,.374,49,170,.288,94,114,.825,22,0.468085106383,141,3.0,163,3.46808510638,118,2.51063829787,54,1.14893617021,13,0.276595744681,103,2.1914893617,99,461,9.8085106383,
Stephen Jackson,MIL,2011-2012, 6-8,SF,33,26,712,27.3846153846,97,272,.357,30,108,.278,50,60,.833,16,0.615384615385,66,2.53846153846,82,3.15384615385,77,2.96153846154,26,1.0,6,0.230769230769,66,2.53846153846,61,274,10.5384615385,
Stephen Jackson,SAS,2011-2012, 6-8,SF,33,21,500,23.8095238095,62,153,.405,19,62,.306,44,54,.815,6,0.285714285714,75,3.57142857143,81,3.85714285714,41,1.95238095238,28,1.33333333333,7,0.333333333333,37,1.7619047619,38,187,8.90476190476,
Stephen Jackson,SAS,2012-2013, 6-8,SF,34,44,898,20.4090909091,101,267,.378,37,134,.276,45,66,.682,19,0.431818181818,116,2.63636363636,135,3.06818181818,66,1.5,30,0.681818181818,12,0.272727272727,63,1.43181818182,74,284,6.45454545455,
