Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Steve Francis,HOU,1999-2000, 6-3,PG,22,77,2776,36.0519480519,497,1117,.445,107,310,.345,287,365,.786,152,1.97402597403,257,3.33766233766,409,5.31168831169,507,6.58441558442,118,1.53246753247,29,0.376623376623,306,3.97402597403,231,1388,18.025974026,
Steve Francis,HOU,2000-2001, 6-3,PG,23,80,3194,39.925,550,1219,.451,133,336,.396,358,438,.817,190,2.375,363,4.5375,553,6.9125,517,6.4625,141,1.7625,31,0.3875,265,3.3125,274,1591,19.8875,
Steve Francis,HOU,2001-2002, 6-3,PG,24,57,2343,41.1052631579,420,1007,.417,68,210,.324,326,422,.773,102,1.78947368421,299,5.24561403509,401,7.0350877193,362,6.35087719298,71,1.24561403509,25,0.438596491228,221,3.87719298246,172,1234,21.649122807,
Steve Francis,HOU,2002-2003, 6-3,PG,25,81,3318,40.962962963,571,1312,.435,85,240,.354,476,595,.800,159,1.96296296296,340,4.1975308642,499,6.16049382716,502,6.1975308642,141,1.74074074074,41,0.506172839506,299,3.69135802469,251,1703,21.024691358,
Steve Francis,HOU,2003-2004, 6-3,PG,26,79,3194,40.4303797468,450,1117,.403,73,250,.292,337,435,.775,116,1.46835443038,317,4.01265822785,433,5.48101265823,493,6.24050632911,139,1.75949367089,35,0.443037974684,294,3.72151898734,257,1310,16.582278481,
Steve Francis,ORL,2004-2005, 6-3,PG,27,78,2978,38.1794871795,563,1330,.423,38,127,.299,499,606,.823,126,1.61538461538,324,4.15384615385,450,5.76923076923,547,7.01282051282,112,1.4358974359,28,0.358974358974,317,4.0641025641,273,1663,21.3205128205,
Steve Francis,TOT,2005-2006, 6-3,PG,28,70,2393,34.1857142857,333,765,.435,25,83,.301,314,399,.787,74,1.05714285714,216,3.08571428571,290,4.14285714286,345,4.92857142857,74,1.05714285714,17,0.242857142857,214,3.05714285714,204,1005,14.3571428571,
Steve Francis,ORL,2005-2006, 6-3,PG,28,46,1734,37.6956521739,249,575,.433,18,70,.257,231,290,.797,60,1.30434782609,159,3.45652173913,219,4.76086956522,262,5.69565217391,51,1.10869565217,11,0.239130434783,156,3.39130434783,142,747,16.2391304348,
Steve Francis,NYK,2005-2006, 6-3,SG,28,24,659,27.4583333333,84,190,.442,7,13,.538,83,109,.761,14,0.583333333333,57,2.375,71,2.95833333333,83,3.45833333333,23,0.958333333333,6,0.25,58,2.41666666667,62,258,10.75,
Steve Francis,NYK,2006-2007, 6-3,SG,29,44,1237,28.1136363636,140,343,.408,42,111,.378,175,211,.829,33,0.75,124,2.81818181818,157,3.56818181818,170,3.86363636364,41,0.931818181818,12,0.272727272727,100,2.27272727273,126,497,11.2954545455,
Steve Francis,HOU,2007-2008, 6-3,PG,30,10,199,19.9,19,57,.333,4,17,.235,13,23,.565,8,0.8,15,1.5,23,2.3,30,3.0,9,0.9,5,0.5,14,1.4,25,55,5.5,
