Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Steve Jones,OAK,1967-1968, 6-5,SG,25,76,1950,25.6578947368,278,665,.418,23,54,.426,186,233,.798,.000,0.0,.000,0.0,343,4.51315789474,111,1.46052631579,.000,0.0,.000,0.0,135,1.77631578947,239,765,10.0657894737,
Steve Jones,NOB,1968-1969, 6-5,SG,26,78,3024,38.7692307692,576,1372,.420,52,151,.344,348,437,.796,149,1.91025641026,244,3.12820512821,393,5.03846153846,226,2.89743589744,.000,0.0,.000,0.0,192,2.46153846154,280,1552,19.8974358974,
Steve Jones,NOB,1969-1970, 6-5,SG,27,84,3116,37.0952380952,689,1558,.442,15,66,.227,412,495,.832,142,1.69047619048,246,2.92857142857,388,4.61904761905,195,2.32142857143,.000,0.0,.000,0.0,251,2.9880952381,290,1805,21.4880952381,
Steve Jones,MMP,1970-1971, 6-5,SG,28,83,2923,35.2168674699,732,1556,.470,40,108,.370,332,400,.830,113,1.36144578313,186,2.24096385542,299,3.60240963855,182,2.19277108434,.000,0.0,.000,0.0,180,2.1686746988,234,1836,22.1204819277,
Steve Jones,DLC,1971-1972, 6-5,SG,29,84,3091,36.7976190476,572,1343,.426,26,78,.333,367,422,.870,74,0.880952380952,243,2.89285714286,317,3.77380952381,237,2.82142857143,.000,0.0,.000,0.0,205,2.44047619048,268,1537,18.2976190476,
Steve Jones,TOT,1972-1973, 6-5,SG,30,80,2129,26.6125,430,883,.487,13,31,.419,200,247,.810,56,0.7,168,2.1,224,2.8,119,1.4875,.000,0.0,.000,0.0,150,1.875,220,1073,13.4125,
Steve Jones,DLC,1972-1973, 6-5,SG,30,13,459,35.3076923077,82,187,.439,2,3,.667,55,69,.797,6,0.461538461538,40,3.07692307692,46,3.53846153846,35,2.69230769231,.000,0.0,.000,0.0,40,3.07692307692,43,221,17.0,
Steve Jones,CAR,1972-1973, 6-5,SG,30,67,1670,24.9253731343,348,696,.500,11,28,.393,145,178,.815,50,0.746268656716,128,1.91044776119,178,2.65671641791,84,1.25373134328,.000,0.0,.000,0.0,110,1.64179104478,177,852,12.7164179104,
Steve Jones,TOT,1973-1974, 6-5,SG,31,86,2092,24.3255813953,400,899,.445,13,43,.302,128,168,.762,62,0.720930232558,172,2.0,234,2.72093023256,185,2.1511627907,26,0.302325581395,15,0.174418604651,175,2.03488372093,223,941,10.9418604651,
Steve Jones,CAR,1973-1974, 6-5,SG,31,44,935,21.25,161,365,.441,0,7,.000,44,59,.746,30,0.681818181818,65,1.47727272727,95,2.15909090909,57,1.29545454545,13,0.295454545455,9,0.204545454545,66,1.5,96,366,8.31818181818,
Steve Jones,DNR,1973-1974, 6-5,SG,31,42,1157,27.5476190476,239,534,.448,13,36,.361,84,109,.771,32,0.761904761905,107,2.54761904762,139,3.30952380952,128,3.04761904762,13,0.309523809524,6,0.142857142857,109,2.59523809524,127,575,13.6904761905,
Steve Jones,SSL,1974-1975, 6-5,SG,32,69,1884,27.3043478261,287,654,.439,4,19,.211,171,206,.830,43,0.623188405797,151,2.1884057971,194,2.8115942029,197,2.85507246377,53,0.768115942029,7,0.101449275362,147,2.13043478261,131,749,10.8550724638,
Steve Jones,POR,1975-1976, 6-5,SG,33,64,819,12.796875,168,380,.442,.000,.000,.000,78,94,.830,13,0.203125,62,0.96875,75,1.171875,63,0.984375,17,0.265625,6,0.09375,.000,0.0,96,414,6.46875,
