Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Steve Nash,PHO,1996-1997, 6-3,PG,22,65,684,10.5230769231,74,175,.423,23,55,.418,42,51,.824,16,0.246153846154,47,0.723076923077,63,0.969230769231,138,2.12307692308,20,0.307692307692,0,0.0,63,0.969230769231,92,213,3.27692307692,
Steve Nash,PHO,1997-1998, 6-3,PG,23,76,1664,21.8947368421,268,584,.459,81,195,.415,74,86,.860,32,0.421052631579,128,1.68421052632,160,2.10526315789,262,3.44736842105,63,0.828947368421,4,0.0526315789474,98,1.28947368421,145,691,9.09210526316,
Steve Nash,DAL,1998-1999, 6-3,PG,24,40,1269,31.725,114,314,.363,49,131,.374,38,46,.826,32,0.8,82,2.05,114,2.85,219,5.475,37,0.925,2,0.05,83,2.075,98,315,7.875,
Steve Nash,DAL,1999-2000, 6-3,PG,25,56,1532,27.3571428571,173,363,.477,60,149,.403,75,85,.882,34,0.607142857143,87,1.55357142857,121,2.16071428571,272,4.85714285714,37,0.660714285714,3,0.0535714285714,102,1.82142857143,122,481,8.58928571429,
Steve Nash,DAL,2000-2001, 6-3,PG,26,70,2387,34.1,386,792,.487,89,219,.406,231,258,.895,46,0.657142857143,177,2.52857142857,223,3.18571428571,509,7.27142857143,72,1.02857142857,5,0.0714285714286,205,2.92857142857,158,1092,15.6,
Steve Nash,DAL,2001-2002, 6-3,PG,27,82,2837,34.5975609756,525,1088,.483,156,343,.455,260,293,.887,50,0.609756097561,204,2.48780487805,254,3.09756097561,634,7.73170731707,53,0.646341463415,4,0.0487804878049,229,2.79268292683,164,1466,17.8780487805,
Steve Nash,DAL,2002-2003, 6-3,PG,28,82,2711,33.0609756098,518,1114,.465,111,269,.413,308,339,.909,63,0.768292682927,171,2.08536585366,234,2.85365853659,598,7.29268292683,85,1.03658536585,6,0.0731707317073,192,2.34146341463,134,1455,17.743902439,
Steve Nash,DAL,2003-2004, 6-3,PG,29,78,2612,33.4871794872,397,845,.470,104,257,.405,230,251,.916,59,0.75641025641,173,2.21794871795,232,2.97435897436,687,8.80769230769,67,0.858974358974,8,0.102564102564,209,2.67948717949,139,1128,14.4615384615,
Steve Nash,PHO,2004-2005, 6-3,PG,30,75,2573,34.3066666667,430,857,.502,94,218,.431,211,238,.887,57,0.76,192,2.56,249,3.32,861,11.48,74,0.986666666667,6,0.08,245,3.26666666667,136,1165,15.5333333333,
Steve Nash,PHO,2005-2006, 6-3,PG,31,79,2796,35.3924050633,541,1056,.512,150,342,.439,257,279,.921,47,0.594936708861,286,3.62025316456,333,4.21518987342,826,10.4556962025,61,0.772151898734,12,0.151898734177,276,3.49367088608,120,1489,18.8481012658,
Steve Nash,PHO,2006-2007, 6-3,PG,32,76,2682,35.2894736842,517,971,.532,156,343,.455,222,247,.899,30,0.394736842105,239,3.14473684211,269,3.53947368421,884,11.6315789474,57,0.75,6,0.0789473684211,287,3.77631578947,117,1412,18.5789473684,
Steve Nash,PHO,2007-2008, 6-3,PG,33,81,2780,34.3209876543,485,962,.504,179,381,.470,222,245,.906,28,0.345679012346,254,3.13580246914,282,3.48148148148,898,11.0864197531,53,0.654320987654,5,0.0617283950617,295,3.64197530864,113,1371,16.9259259259,
Steve Nash,PHO,2008-2009, 6-3,PG,34,74,2484,33.5675675676,428,851,.503,108,246,.439,196,210,.933,19,0.256756756757,204,2.75675675676,223,3.01351351351,717,9.68918918919,55,0.743243243243,10,0.135135135135,248,3.35135135135,108,1160,15.6756756757,
Steve Nash,PHO,2009-2010, 6-3,PG,35,81,2660,32.8395061728,499,985,.507,124,291,.426,211,225,.938,34,0.41975308642,234,2.88888888889,268,3.30864197531,892,11.012345679,42,0.518518518519,12,0.148148148148,295,3.64197530864,108,1333,16.4567901235,
Steve Nash,PHO,2010-2011, 6-3,PG,36,75,2497,33.2933333333,399,811,.492,81,205,.395,227,249,.912,40,0.533333333333,220,2.93333333333,260,3.46666666667,855,11.4,48,0.64,4,0.0533333333333,265,3.53333333333,87,1106,14.7466666667,
Steve Nash,PHO,2011-2012, 6-3,PG,37,62,1961,31.6290322581,295,555,.532,55,141,.390,127,142,.894,26,0.41935483871,160,2.58064516129,186,3.0,664,10.7096774194,38,0.612903225806,8,0.129032258065,229,3.6935483871,53,772,12.4516129032,
Steve Nash,LAL,2012-2013, 6-3,PG,38,42,1392,33.1428571429,195,389,.501,49,113,.434,80,88,.909,18,0.428571428571,96,2.28571428571,114,2.71428571429,280,6.66666666667,26,0.619047619048,4,0.0952380952381,107,2.54761904762,58,519,12.3571428571,
