Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Swen Nater,TOT,1973-1974, 6-11,C,24,79,2375,30.0632911392,467,846,.552,0,1,.000,180,254,.709,286,3.62025316456,712,9.01265822785,998,12.6329113924,129,1.63291139241,32,0.405063291139,63,0.79746835443,200,2.53164556962,214,1114,14.1012658228,
Swen Nater,VIR,1973-1974, 6-11,C,24,17,374,22.0,84,151,.556,0,0,.000,46,73,.630,38,2.23529411765,116,6.82352941176,154,9.05882352941,17,1.0,6,0.352941176471,15,0.882352941176,47,2.76470588235,37,214,12.5882352941,
Swen Nater,SAA,1973-1974, 6-11,C,24,62,2001,32.2741935484,383,695,.551,0,1,.000,134,181,.740,248,4.0,596,9.61290322581,844,13.6129032258,112,1.8064516129,26,0.41935483871,48,0.774193548387,153,2.46774193548,177,900,14.5161290323,
Swen Nater,SAA,1974-1975, 6-11,C,25,78,2713,34.7820512821,495,914,.542,0,1,.000,185,246,.752,369,4.73076923077,910,11.6666666667,1279,16.3974358974,97,1.24358974359,43,0.551282051282,87,1.11538461538,185,2.37179487179,240,1175,15.0641025641,
Swen Nater,TOT,1975-1976, 6-11,C,26,76,1790,23.5526315789,320,651,.492,0,4,.000,108,155,.697,229,3.01315789474,537,7.06578947368,766,10.0789473684,55,0.723684210526,31,0.407894736842,51,0.671052631579,170,2.23684210526,238,748,9.84210526316,
Swen Nater,NYA,1975-1976, 6-11,C,26,43,1016,23.6279069767,160,330,.485,0,3,.000,56,78,.718,139,3.23255813953,302,7.02325581395,441,10.2558139535,19,0.441860465116,18,0.418604651163,26,0.604651162791,94,2.18604651163,142,376,8.74418604651,
Swen Nater,VIR,1975-1976, 6-11,C,26,33,774,23.4545454545,160,321,.498,0,1,.000,52,77,.675,90,2.72727272727,235,7.12121212121,325,9.84848484848,36,1.09090909091,13,0.393939393939,25,0.757575757576,76,2.30303030303,96,372,11.2727272727,
Swen Nater,MIL,1976-1977, 6-11,C,27,72,1960,27.2222222222,383,725,.528,.000,.000,.000,172,228,.754,266,3.69444444444,599,8.31944444444,865,12.0138888889,108,1.5,54,0.75,51,0.708333333333,.000,0.0,214,938,13.0277777778,
Swen Nater,BUF,1977-1978, 6-11,C,28,78,2778,35.6153846154,501,994,.504,.000,.000,.000,208,272,.765,278,3.5641025641,751,9.62820512821,1029,13.1923076923,216,2.76923076923,40,0.512820512821,47,0.602564102564,225,2.88461538462,274,1210,15.5128205128,
Swen Nater,SDC,1978-1979, 6-11,C,29,79,2006,25.3924050633,357,627,.569,.000,.000,.000,132,165,.800,218,2.75949367089,483,6.11392405063,701,8.87341772152,140,1.77215189873,38,0.481012658228,29,0.367088607595,170,2.15189873418,244,846,10.7088607595,
Swen Nater,SDC,1979-1980, 6-11,C,30,81,2860,35.3086419753,443,799,.554,0,2,.000,196,273,.718,352,4.34567901235,864,10.6666666667,1216,15.012345679,233,2.87654320988,45,0.555555555556,37,0.456790123457,257,3.17283950617,259,1082,13.3580246914,
Swen Nater,SDC,1980-1981, 6-11,C,31,82,2809,34.256097561,517,935,.553,0,0,.000,244,307,.795,295,3.59756097561,722,8.80487804878,1017,12.4024390244,199,2.42682926829,49,0.59756097561,46,0.560975609756,211,2.57317073171,295,1278,15.5853658537,
Swen Nater,SDC,1981-1982, 6-11,C,32,21,575,27.380952381,101,175,.577,1,1,1.000,59,79,.747,46,2.19047619048,146,6.95238095238,192,9.14285714286,30,1.42857142857,6,0.285714285714,9,0.428571428571,48,2.28571428571,64,262,12.4761904762,
Swen Nater,SDC,1982-1983, 6-11,C,33,7,51,7.28571428571,6,20,.300,0,0,.000,4,4,1.000,2,0.285714285714,11,1.57142857143,13,1.85714285714,1,0.142857142857,1,0.142857142857,0,0.0,3,0.428571428571,1,16,2.28571428571,
Swen Nater,LAL,1983-1984, 6-11,C,34,69,829,12.0144927536,124,253,.490,0,1,.000,63,91,.692,81,1.17391304348,183,2.65217391304,264,3.82608695652,27,0.391304347826,25,0.36231884058,7,0.101449275362,68,0.985507246377,150,311,4.50724637681,
