Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Tayshaun Prince,DET,2002-2003, 6-9,SF,22,42,435,10.3571428571,53,118,.449,20,47,.426,11,17,.647,5,0.119047619048,40,0.952380952381,45,1.07142857143,24,0.571428571429,10,0.238095238095,14,0.333333333333,21,0.5,25,137,3.2619047619,
Tayshaun Prince,DET,2003-2004, 6-9,SF,23,82,2701,32.9390243902,338,723,.467,57,157,.363,108,141,.766,93,1.13414634146,297,3.62195121951,390,4.75609756098,191,2.32926829268,63,0.768292682927,69,0.841463414634,119,1.4512195122,149,841,10.256097561,
Tayshaun Prince,DET,2004-2005, 6-9,SF,24,82,3039,37.0609756098,469,963,.487,47,138,.341,221,274,.807,133,1.62195121951,302,3.68292682927,435,5.30487804878,247,3.01219512195,56,0.682926829268,71,0.865853658537,135,1.64634146341,161,1206,14.7073170732,
Tayshaun Prince,DET,2005-2006, 6-9,SF,25,82,2898,35.3414634146,455,999,.455,64,183,.350,182,238,.765,104,1.26829268293,242,2.9512195122,346,4.21951219512,186,2.26829268293,62,0.756097560976,39,0.475609756098,91,1.10975609756,96,1156,14.0975609756,
Tayshaun Prince,DET,2006-2007, 6-9,SF,26,82,3001,36.5975609756,459,997,.460,81,210,.386,172,224,.768,144,1.75609756098,285,3.4756097561,429,5.23170731707,227,2.76829268293,51,0.621951219512,55,0.670731707317,98,1.19512195122,116,1171,14.2804878049,
Tayshaun Prince,DET,2007-2008, 6-9,SF,27,82,2694,32.8536585366,421,940,.448,53,146,.363,185,241,.768,109,1.32926829268,289,3.5243902439,398,4.85365853659,268,3.26829268293,42,0.512195121951,33,0.40243902439,91,1.10975609756,90,1080,13.1707317073,
Tayshaun Prince,DET,2008-2009, 6-9,SF,28,82,3057,37.2804878049,459,1020,.450,56,141,.397,189,243,.778,128,1.56097560976,348,4.24390243902,476,5.80487804878,253,3.08536585366,44,0.536585365854,51,0.621951219512,101,1.23170731707,104,1163,14.1829268293,
Tayshaun Prince,DET,2009-2010, 6-9,SF,29,49,1664,33.9591836735,282,580,.486,27,73,.370,70,98,.714,71,1.44897959184,177,3.61224489796,248,5.0612244898,161,3.28571428571,34,0.69387755102,22,0.448979591837,60,1.22448979592,77,661,13.4897959184,
Tayshaun Prince,DET,2010-2011, 6-9,SF,30,78,2562,32.8461538462,473,1001,.473,34,98,.347,118,168,.702,78,1.0,251,3.21794871795,329,4.21794871795,215,2.75641025641,30,0.384615384615,41,0.525641025641,82,1.05128205128,90,1098,14.0769230769,
Tayshaun Prince,DET,2011-2012, 6-9,SF,31,63,2087,33.126984127,336,798,.421,37,104,.356,89,115,.774,72,1.14285714286,209,3.31746031746,281,4.46031746032,153,2.42857142857,27,0.428571428571,33,0.52380952381,74,1.1746031746,77,798,12.6666666667,
Tayshaun Prince,TOT,2012-2013, 6-9,SF,32,63,2023,32.1111111111,293,657,.446,30,71,.423,81,108,.750,59,0.936507936508,226,3.5873015873,285,4.52380952381,157,2.49206349206,33,0.52380952381,20,0.31746031746,71,1.12698412698,66,697,11.0634920635,
Tayshaun Prince,DET,2012-2013, 6-9,SF,32,45,1457,32.3777777778,215,484,.444,23,53,.434,74,93,.796,43,0.955555555556,166,3.68888888889,209,4.64444444444,111,2.46666666667,21,0.466666666667,13,0.288888888889,54,1.2,45,527,11.7111111111,
Tayshaun Prince,MEM,2012-2013, 6-9,,32,18,566,31.4444444444,78,173,.451,7,18,.389,7,15,.467,16,0.888888888889,60,3.33333333333,76,4.22222222222,46,2.55555555556,12,0.666666666667,7,0.388888888889,17,0.944444444444,21,170,9.44444444444,
