Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Terrell Brandon,CLE,1991-1992, 5-11,PG,21,82,1605,19.5731707317,252,601,.419,1,23,.043,100,124,.806,49,0.59756097561,113,1.37804878049,162,1.9756097561,316,3.85365853659,81,0.987804878049,22,0.268292682927,136,1.65853658537,107,605,7.37804878049,
Terrell Brandon,CLE,1992-1993, 5-11,PG,22,82,1622,19.7804878049,297,621,.478,13,42,.310,118,143,.825,37,0.451219512195,142,1.73170731707,179,2.18292682927,302,3.68292682927,79,0.963414634146,27,0.329268292683,107,1.30487804878,122,725,8.84146341463,
Terrell Brandon,CLE,1993-1994, 5-11,PG,23,73,1548,21.2054794521,230,548,.420,7,32,.219,139,162,.858,38,0.520547945205,121,1.65753424658,159,2.17808219178,277,3.79452054795,84,1.15068493151,16,0.219178082192,111,1.52054794521,108,606,8.30136986301,
Terrell Brandon,CLE,1994-1995, 5-11,PG,24,67,1961,29.2686567164,341,762,.448,48,121,.397,159,186,.855,35,0.522388059701,151,2.25373134328,186,2.77611940299,363,5.41791044776,107,1.59701492537,14,0.208955223881,144,2.14925373134,118,889,13.2686567164,
Terrell Brandon,CLE,1995-1996, 5-11,PG,25,75,2570,34.2666666667,510,1096,.465,91,235,.387,338,381,.887,47,0.626666666667,201,2.68,248,3.30666666667,487,6.49333333333,132,1.76,33,0.44,142,1.89333333333,146,1449,19.32,
Terrell Brandon,CLE,1996-1997, 5-11,PG,26,78,2868,36.7692307692,575,1313,.438,101,271,.373,268,297,.902,48,0.615384615385,253,3.24358974359,301,3.85897435897,490,6.28205128205,138,1.76923076923,30,0.384615384615,178,2.28205128205,177,1519,19.4743589744,
Terrell Brandon,MIL,1997-1998, 5-11,PG,27,50,1784,35.68,339,731,.464,31,93,.333,132,156,.846,23,0.46,153,3.06,176,3.52,387,7.74,111,2.22,17,0.34,145,2.9,120,841,16.82,
Terrell Brandon,TOT,1998-1999, 5-11,PG,28,36,1217,33.8055555556,212,507,.418,12,47,.255,65,78,.833,27,0.75,107,2.97222222222,134,3.72222222222,309,8.58333333333,63,1.75,10,0.277777777778,74,2.05555555556,82,501,13.9166666667,
Terrell Brandon,MIL,1998-1999, 5-11,PG,28,15,505,33.6666666667,85,208,.409,7,28,.250,26,31,.839,11,0.733333333333,42,2.8,53,3.53333333333,104,6.93333333333,24,1.6,3,0.2,36,2.4,25,203,13.5333333333,
Terrell Brandon,MIN,1998-1999, 5-11,PG,28,21,712,33.9047619048,127,299,.425,5,19,.263,39,47,.830,16,0.761904761905,65,3.09523809524,81,3.85714285714,205,9.7619047619,39,1.85714285714,7,0.333333333333,38,1.80952380952,57,298,14.1904761905,
Terrell Brandon,MIN,1999-2000, 5-11,PG,29,71,2587,36.4366197183,486,1042,.466,53,132,.402,187,208,.899,44,0.619718309859,194,2.7323943662,238,3.35211267606,629,8.85915492958,134,1.88732394366,30,0.422535211268,184,2.59154929577,158,1212,17.0704225352,
Terrell Brandon,MIN,2000-2001, 5-11,PG,30,78,2821,36.1666666667,511,1134,.451,33,91,.363,195,224,.871,60,0.769230769231,238,3.05128205128,298,3.82051282051,583,7.47435897436,161,2.0641025641,21,0.269230769231,155,1.98717948718,138,1250,16.0256410256,
Terrell Brandon,MIN,2001-2002, 5-11,PG,31,32,962,30.0625,155,365,.425,4,23,.174,83,84,.988,17,0.53125,76,2.375,93,2.90625,264,8.25,52,1.625,6,0.1875,43,1.34375,49,397,12.40625,
