Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Terry Davis,MIA,1989-1990, 6-9,PF,22,63,884,14.0317460317,122,262,.466,0,1,.000,54,87,.621,93,1.47619047619,136,2.15873015873,229,3.63492063492,25,0.396825396825,25,0.396825396825,28,0.444444444444,68,1.07936507937,171,298,4.73015873016,
Terry Davis,MIA,1990-1991, 6-9,PF,23,55,996,18.1090909091,115,236,.487,1,2,.500,69,124,.556,107,1.94545454545,159,2.89090909091,266,4.83636363636,39,0.709090909091,18,0.327272727273,28,0.509090909091,36,0.654545454545,129,300,5.45454545455,
Terry Davis,DAL,1991-1992, 6-9,PF,24,68,2149,31.6029411765,256,531,.482,0,5,.000,181,285,.635,228,3.35294117647,444,6.52941176471,672,9.88235294118,57,0.838235294118,26,0.382352941176,29,0.426470588235,117,1.72058823529,202,693,10.1911764706,
Terry Davis,DAL,1992-1993, 6-9,PF,25,75,2462,32.8266666667,393,863,.455,2,8,.250,167,281,.594,259,3.45333333333,442,5.89333333333,701,9.34666666667,68,0.906666666667,36,0.48,28,0.373333333333,160,2.13333333333,199,955,12.7333333333,
Terry Davis,DAL,1993-1994, 6-9,PF,26,15,286,19.0666666667,24,59,.407,0,0,.000,8,12,.667,30,2.0,44,2.93333333333,74,4.93333333333,6,0.4,9,0.6,1,0.0666666666667,5,0.333333333333,27,56,3.73333333333,
Terry Davis,DAL,1994-1995, 6-9,PF,27,46,580,12.6086956522,49,113,.434,0,2,.000,42,66,.636,63,1.36956521739,93,2.02173913043,156,3.39130434783,10,0.217391304348,6,0.130434782609,3,0.0652173913043,30,0.652173913043,76,140,3.04347826087,
Terry Davis,DAL,1995-1996, 6-9,PF,28,28,501,17.8928571429,55,108,.509,0,0,.000,27,47,.574,43,1.53571428571,74,2.64285714286,117,4.17857142857,21,0.75,10,0.357142857143,4,0.142857142857,25,0.892857142857,66,137,4.89285714286,
Terry Davis,WAS,1997-1998, 6-9,PF,30,74,1705,23.0405405405,127,256,.496,0,1,.000,69,119,.580,209,2.82432432432,271,3.66216216216,480,6.48648648649,30,0.405405405405,41,0.554054054054,24,0.324324324324,56,0.756756756757,193,323,4.36486486486,
Terry Davis,WAS,1998-1999, 6-9,C,31,37,578,15.6216216216,49,92,.533,0,0,.000,28,38,.737,50,1.35135135135,89,2.40540540541,139,3.75675675676,10,0.27027027027,11,0.297297297297,3,0.0810810810811,16,0.432432432432,79,126,3.40540540541,
Terry Davis,DEN,2000-2001, 6-9,PF,33,19,228,12.0,12,25,.480,0,0,.000,9,22,.409,24,1.26315789474,29,1.52631578947,53,2.78947368421,7,0.368421052632,1,0.0526315789474,1,0.0526315789474,5,0.263157894737,34,33,1.73684210526,
