Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Terry Porter,POR,1985-1986, 6-3,PG,22,79,1214,15.3670886076,212,447,.474,13,42,.310,125,155,.806,35,0.443037974684,82,1.03797468354,117,1.48101265823,198,2.50632911392,81,1.0253164557,1,0.0126582278481,106,1.3417721519,136,562,7.11392405063,
Terry Porter,POR,1986-1987, 6-3,PG,23,80,2714,33.925,376,770,.488,13,60,.217,280,334,.838,70,0.875,267,3.3375,337,4.2125,715,8.9375,159,1.9875,9,0.1125,255,3.1875,192,1045,13.0625,
Terry Porter,POR,1987-1988, 6-3,PG,24,82,2991,36.4756097561,462,890,.519,24,69,.348,274,324,.846,65,0.792682926829,313,3.81707317073,378,4.60975609756,831,10.1341463415,150,1.82926829268,16,0.19512195122,244,2.9756097561,204,1222,14.9024390244,
Terry Porter,POR,1988-1989, 6-3,PG,25,81,3102,38.2962962963,540,1146,.471,79,219,.361,272,324,.840,85,1.04938271605,282,3.48148148148,367,4.53086419753,770,9.50617283951,146,1.8024691358,8,0.0987654320988,248,3.06172839506,187,1431,17.6666666667,
Terry Porter,POR,1989-1990, 6-3,PG,26,80,2781,34.7625,448,969,.462,89,238,.374,421,472,.892,59,0.7375,213,2.6625,272,3.4,726,9.075,151,1.8875,4,0.05,245,3.0625,150,1406,17.575,
Terry Porter,POR,1990-1991, 6-3,PG,27,81,2665,32.9012345679,486,944,.515,130,313,.415,279,339,.823,52,0.641975308642,230,2.83950617284,282,3.48148148148,649,8.01234567901,158,1.95061728395,12,0.148148148148,189,2.33333333333,151,1381,17.049382716,
Terry Porter,POR,1991-1992, 6-3,PG,28,82,2784,33.9512195122,521,1129,.461,128,324,.395,315,368,.856,51,0.621951219512,204,2.48780487805,255,3.10975609756,477,5.81707317073,127,1.5487804878,12,0.146341463415,188,2.29268292683,155,1485,18.1097560976,
Terry Porter,POR,1992-1993, 6-3,PG,29,81,2883,35.5925925926,503,1108,.454,143,345,.414,327,388,.843,58,0.716049382716,258,3.18518518519,316,3.9012345679,419,5.17283950617,101,1.24691358025,10,0.123456790123,199,2.45679012346,122,1476,18.2222222222,
Terry Porter,POR,1993-1994, 6-3,PG,30,77,2074,26.9350649351,348,836,.416,110,282,.390,204,234,.872,45,0.584415584416,170,2.20779220779,215,2.79220779221,401,5.20779220779,79,1.02597402597,18,0.233766233766,166,2.15584415584,132,1010,13.1168831169,
Terry Porter,POR,1994-1995, 6-3,PG,31,35,770,22.0,105,267,.393,44,114,.386,58,82,.707,18,0.514285714286,63,1.8,81,2.31428571429,133,3.8,30,0.857142857143,2,0.0571428571429,58,1.65714285714,60,312,8.91428571429,
Terry Porter,MIN,1995-1996, 6-3,PG,32,82,2072,25.2682926829,269,608,.442,71,226,.314,164,209,.785,36,0.439024390244,176,2.14634146341,212,2.58536585366,452,5.51219512195,89,1.08536585366,15,0.182926829268,173,2.10975609756,154,773,9.42682926829,
Terry Porter,MIN,1996-1997, 6-3,PG,33,82,1568,19.1219512195,187,449,.416,67,200,.335,127,166,.765,31,0.378048780488,145,1.76829268293,176,2.14634146341,295,3.59756097561,54,0.658536585366,11,0.134146341463,128,1.56097560976,104,568,6.92682926829,
Terry Porter,MIN,1997-1998, 6-3,PG,34,82,1786,21.7804878049,259,577,.449,92,233,.395,167,195,.856,37,0.451219512195,131,1.59756097561,168,2.0487804878,271,3.30487804878,63,0.768292682927,16,0.19512195122,104,1.26829268293,103,777,9.4756097561,
Terry Porter,MIA,1998-1999, 6-3,PG,35,50,1365,27.3,172,370,.465,58,141,.411,123,148,.831,13,0.26,127,2.54,140,2.8,146,2.92,48,0.96,11,0.22,74,1.48,97,525,10.5,
Terry Porter,SAS,1999-2000, 6-3,PG,36,68,1613,23.7205882353,207,463,.447,90,207,.435,137,170,.806,24,0.352941176471,167,2.45588235294,191,2.80882352941,221,3.25,50,0.735294117647,9,0.132352941176,100,1.47058823529,79,641,9.42647058824,
Terry Porter,SAS,2000-2001, 6-3,PG,37,80,1678,20.975,197,440,.448,87,205,.424,92,116,.793,24,0.3,177,2.2125,201,2.5125,251,3.1375,52,0.65,11,0.1375,104,1.3,88,573,7.1625,
Terry Porter,SAS,2001-2002, 6-3,PG,38,72,1294,17.9722222222,136,321,.424,59,142,.415,68,83,.819,12,0.166666666667,152,2.11111111111,164,2.27777777778,205,2.84722222222,45,0.625,16,0.222222222222,85,1.18055555556,89,399,5.54166666667,
