Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Terry Tyler,DET,1978-1979, 6-7,PF,22,82,2560,31.2195121951,456,946,.482,.000,.000,.000,144,219,.658,211,2.57317073171,437,5.32926829268,648,7.90243902439,89,1.08536585366,104,1.26829268293,201,2.4512195122,141,1.71951219512,254,1056,12.8780487805,
Terry Tyler,DET,1979-1980, 6-7,SF,23,82,2670,32.5609756098,430,925,.465,2,12,.167,143,187,.765,228,2.78048780488,399,4.86585365854,627,7.64634146341,129,1.57317073171,107,1.30487804878,220,2.68292682927,175,2.13414634146,237,1005,12.256097561,
Terry Tyler,DET,1980-1981, 6-7,SF,24,82,2549,31.0853658537,476,895,.532,0,8,.000,148,250,.592,198,2.41463414634,369,4.5,567,6.91463414634,136,1.65853658537,112,1.36585365854,180,2.19512195122,163,1.98780487805,215,1100,13.4146341463,
Terry Tyler,DET,1981-1982, 6-7,PF,25,82,1989,24.256097561,336,643,.523,1,4,.250,142,192,.740,154,1.87804878049,339,4.13414634146,493,6.01219512195,126,1.53658536585,77,0.939024390244,160,1.9512195122,121,1.4756097561,182,815,9.93902439024,
Terry Tyler,DET,1982-1983, 6-7,SF,26,82,2543,31.012195122,421,880,.478,2,15,.133,146,196,.745,180,2.19512195122,360,4.39024390244,540,6.58536585366,157,1.91463414634,103,1.25609756098,160,1.9512195122,120,1.46341463415,221,990,12.0731707317,
Terry Tyler,DET,1983-1984, 6-7,SF,27,82,1602,19.5365853659,313,691,.453,2,13,.154,94,132,.712,104,1.26829268293,181,2.20731707317,285,3.4756097561,76,0.926829268293,63,0.768292682927,59,0.719512195122,78,0.951219512195,151,722,8.80487804878,
Terry Tyler,DET,1984-1985, 6-7,SF,28,82,2004,24.4390243902,422,855,.494,0,8,.000,106,148,.716,148,1.80487804878,275,3.35365853659,423,5.15853658537,63,0.768292682927,49,0.59756097561,90,1.09756097561,76,0.926829268293,192,950,11.5853658537,
Terry Tyler,SAC,1985-1986, 6-7,SF,29,71,1651,23.2535211268,295,649,.455,0,3,.000,84,112,.750,109,1.53521126761,204,2.87323943662,313,4.40845070423,94,1.32394366197,64,0.901408450704,108,1.52112676056,94,1.32394366197,159,674,9.49295774648,
Terry Tyler,SAC,1986-1987, 6-7,SF,30,82,1930,23.5365853659,329,664,.495,1,3,.333,101,140,.721,116,1.41463414634,212,2.58536585366,328,4.0,73,0.890243902439,55,0.670731707317,78,0.951219512195,78,0.951219512195,151,760,9.26829268293,
Terry Tyler,SAC,1987-1988, 6-7,SF,31,74,1185,16.0135135135,184,407,.452,1,7,.143,41,64,.641,87,1.17567567568,155,2.09459459459,242,3.27027027027,56,0.756756756757,43,0.581081081081,47,0.635135135135,43,0.581081081081,85,410,5.54054054054,
Terry Tyler,DAL,1988-1989, 6-7,SF,32,70,1057,15.1,169,360,.469,1,9,.111,47,62,.758,74,1.05714285714,135,1.92857142857,209,2.98571428571,40,0.571428571429,24,0.342857142857,39,0.557142857143,51,0.728571428571,90,386,5.51428571429,
