Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Theo Ratliff,DET,1995-1996, 6-10,C,22,75,1305,17.4,128,230,.557,0,1,.000,85,120,.708,110,1.46666666667,187,2.49333333333,297,3.96,13,0.173333333333,16,0.213333333333,116,1.54666666667,56,0.746666666667,144,341,4.54666666667,
Theo Ratliff,DET,1996-1997, 6-10,C,23,76,1292,17.0,179,337,.531,0,0,.000,81,116,.698,109,1.43421052632,147,1.93421052632,256,3.36842105263,13,0.171052631579,29,0.381578947368,111,1.46052631579,56,0.736842105263,181,439,5.77631578947,
Theo Ratliff,TOT,1997-1998, 6-10,C,24,82,2447,29.8414634146,306,597,.513,0,0,.000,197,281,.701,221,2.69512195122,326,3.9756097561,547,6.67073170732,57,0.69512195122,50,0.609756097561,258,3.14634146341,116,1.41463414634,292,809,9.86585365854,
Theo Ratliff,DET,1997-1998, 6-10,C,24,24,586,24.4166666667,57,111,.514,0,0,.000,43,63,.683,46,1.91666666667,75,3.125,121,5.04166666667,15,0.625,12,0.5,55,2.29166666667,34,1.41666666667,83,157,6.54166666667,
Theo Ratliff,PHI,1997-1998, 6-10,C,24,58,1861,32.0862068966,249,486,.512,0,0,.000,154,218,.706,175,3.01724137931,251,4.3275862069,426,7.34482758621,42,0.724137931034,38,0.655172413793,203,3.5,82,1.41379310345,209,652,11.2413793103,
Theo Ratliff,PHI,1998-1999, 6-10,PF,25,50,1627,32.54,197,419,.470,0,0,.000,166,229,.725,139,2.78,268,5.36,407,8.14,30,0.6,45,0.9,149,2.98,92,1.84,180,560,11.2,
Theo Ratliff,PHI,1999-2000, 6-10,PF,26,57,1795,31.4912280702,247,491,.503,0,0,.000,182,236,.771,140,2.45614035088,295,5.17543859649,435,7.63157894737,36,0.631578947368,32,0.561403508772,171,3.0,108,1.89473684211,185,676,11.8596491228,
Theo Ratliff,PHI,2000-2001, 6-10,C,27,50,1800,36.0,228,457,.499,0,0,.000,165,217,.760,125,2.5,288,5.76,413,8.26,58,1.16,30,0.6,187,3.74,126,2.52,165,621,12.42,
Theo Ratliff,ATL,2001-2002, 6-10,C,28,3,82,27.3333333333,10,20,.500,0,0,.000,6,11,.545,5,1.66666666667,11,3.66666666667,16,5.33333333333,1,0.333333333333,1,0.333333333333,8,2.66666666667,7,2.33333333333,8,26,8.66666666667,
Theo Ratliff,ATL,2002-2003, 6-10,C,29,81,2518,31.0864197531,276,595,.464,0,0,.000,154,214,.720,154,1.9012345679,453,5.59259259259,607,7.49382716049,73,0.901234567901,56,0.691358024691,262,3.23456790123,137,1.69135802469,271,706,8.71604938272,
