Player,Team,Season,Height,Position,Age,G,MIN,MINPG,FGM,FGA,FGP,TPM,TPA,TPP,FTM,FTA,FTP,ORB,ORBPG,DRB,DRBPG,TRB,TRBPG,AST,ASTPG,STL,STLPG,BLK,BLKPG,TO,TOPG,PF,PTS,PTSPG,
Todd Day,MIL,1992-1993, 6-6,SG,23,71,1931,27.1971830986,358,828,.432,54,184,.293,213,297,.717,144,2.02816901408,147,2.07042253521,291,4.0985915493,117,1.64788732394,75,1.05633802817,48,0.676056338028,118,1.66197183099,222,983,13.8450704225,
Todd Day,MIL,1993-1994, 6-6,SG,24,76,2127,27.9868421053,351,845,.415,33,148,.223,231,331,.698,115,1.51315789474,195,2.56578947368,310,4.07894736842,138,1.81578947368,103,1.35526315789,52,0.684210526316,129,1.69736842105,221,966,12.7105263158,
Todd Day,MIL,1994-1995, 6-6,SG,25,82,2717,33.1341463415,445,1049,.424,163,418,.390,257,341,.754,95,1.15853658537,227,2.76829268293,322,3.92682926829,134,1.63414634146,104,1.26829268293,63,0.768292682927,157,1.91463414634,283,1310,15.9756097561,
Todd Day,TOT,1995-1996, 6-6,SG,26,79,1807,22.8734177215,299,817,.366,100,302,.331,224,287,.780,70,0.886075949367,154,1.94936708861,224,2.83544303797,107,1.35443037975,81,1.0253164557,51,0.645569620253,109,1.37974683544,225,922,11.6708860759,
Todd Day,MIL,1995-1996, 6-6,SG,26,8,171,21.375,22,71,.310,5,25,.200,24,26,.923,8,1.0,14,1.75,22,2.75,5,0.625,4,0.5,3,0.375,11,1.375,27,73,9.125,
Todd Day,BOS,1995-1996, 6-6,SG,26,71,1636,23.0422535211,277,746,.371,95,277,.343,200,261,.766,62,0.87323943662,140,1.97183098592,202,2.84507042254,102,1.43661971831,77,1.08450704225,48,0.676056338028,98,1.38028169014,198,849,11.9577464789,
Todd Day,BOS,1996-1997, 6-6,SG,27,81,2277,28.1111111111,398,999,.398,126,348,.362,256,331,.773,109,1.34567901235,221,2.72839506173,330,4.07407407407,117,1.44444444444,108,1.33333333333,48,0.592592592593,127,1.56790123457,208,1178,14.5432098765,
Todd Day,MIA,1997-1998, 6-6,SG,28,5,69,13.8,11,31,.355,2,12,.167,6,9,.667,4,0.8,2,0.4,6,1.2,7,1.4,7,1.4,0,0.0,3,0.6,10,30,6.0,
Todd Day,PHO,1999-2000, 6-6,SG,30,58,941,16.224137931,130,330,.394,64,165,.388,72,108,.667,31,0.534482758621,98,1.68965517241,129,2.22413793103,65,1.12068965517,44,0.758620689655,22,0.379310344828,50,0.862068965517,127,396,6.8275862069,
Todd Day,MIN,2000-2001, 6-6,SG,31,31,345,11.1290322581,44,118,.373,26,69,.377,18,23,.783,10,0.322580645161,27,0.870967741935,37,1.1935483871,28,0.903225806452,10,0.322580645161,7,0.225806451613,24,0.774193548387,52,132,4.25806451613,
